日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2023-09-24,ST,grass,好,1400,043,08,極速之子,13,13,9,57.48,58.52,0.02,23.81,0.66,82.33,0.68,10 10 10 8,黃腳鱲,神虎龍駒,勇敢夢想,董明朗,潘明輝,3,119,118
2023-10-15,ST,grass,好,1800,087,14,極速之子,13,13,14,84.68,84.92,1.42,25.24,1.24,110.16,2.66,12 7 2 3 14,安騁,禾道福星,博才,希威森,潘明輝,3,121,118
2023-11-11,ST,grass,好,1600,161,10,極速之子,13,13,4,72.32,73.2,2.3,22.93,-0.87,96.13,1.43,10 10 11 10,發財大師,一定美麗,銀皇興標,潘明輝,潘明輝,3,117,118
2023-12-03,ST,dirt,好,1800,215,10,極速之子,13,13,13,85.36,86.36,1.46,23.67,0.02,110.03,1.48,14 14 14 14 10,開心三多,世澤歆星,雪山神駒,董明朗,潘明輝,4,133,118
2023-12-23,ST,dirt,好,1650,273,06,極速之子,13,13,7,75.3,75.9,0.65,24.31,0.51,100.21,1.16,6 6 8 6,雪山神駒,歡喜福星,世澤歆星,董明朗,潘明輝,4,133,118
2024-01-24,ST,dirt,好,1800,361,06,極速之子,13,13,2,85.37,85.37,0.47,25.13,1.48,110.5,1.95,8 7 1 1 6,世澤歆星,逐步贏,大道至正,布文,潘明輝,4,129,118
2024-02-18,ST,dirt,好,1650,431,10,極速之子,13,13,11,75.21,76.09,0.84,24.46,0.66,100.55,1.5,12 12 12 10,縱橫大進,皇者烽火,滿冠熊,潘明輝,潘明輝,4,125,118
2024-03-27,HV,grass,好,1650,536,04,極速之子,13,13,8,75.56,76.48,0.63,24.11,-0.14,100.59,0.49,10 10 10 4,錢多多,川河首駒,都靈勇士,潘明輝,潘明輝,4,123,118
2024-04-10,HV,grass,好,1650,575,07,極速之子,13,13,12,78.05,78.29,2.44,24.09,-0.16,102.38,2.28,5 3 4 7,川河首駒,領創動力,耀寶駒,潘明輝,潘明輝,4,123,118
2024-05-01,HV,grass,好/黏,1650,632,07,極速之子,13,13,3,75.69,76.29,0.44,25.23,0.98,101.52,1.42,6 6 6 7,銀進,富喜來,包裝至善,蔡明紹,潘明輝,4,122,118
2024-05-22,HV,grass,好,1650,687,08,極速之子,13,13,3,75.9,76.3,0.45,24.88,0.63,101.18,1.08,5 5 4 8,好好紛,美麗歡聲,燊榮之星,潘明輝,潘明輝,4,119,118
2024-06-05,HV,grass,好/黏,1650,727,05,極速之子,13,13,3,77.89,78.45,2.6,24.13,-0.12,102.58,2.48,5 5 5 5,大千眼界,獎星,堅闖,湯普新,潘明輝,4,119,118
2024-06-26,HV,grass,好,1650,777,12,極速之子,13,13,10,75.16,75.96,0.11,25.41,1.16,101.37,1.27,10 9 9 12,駟跑得,我做到,獎星,賀銘年,潘明輝,4,118,118
2024-07-10,HV,grass,好/快,1800,813,06,極速之子,13,13,9,85.23,85.83,0.28,24.51,0.11,110.34,0.39,8 8 8 8 6,瀧澤飛駒,上市魅力,滿載歸來,黃智弘,潘明輝,5,127,118
2024-09-08,ST,grass,好/黏,1600,001,05,極速之子,13,13,11,71.13,72.17,0.57,23.23,-0.62,95.4,-0.05,10 11 11 5,上市魅力,樂天派,富喜來,班德禮,潘明輝,5,130,118
2024-09-22,ST,dirt,濕慢,1650,038,07,極速之子,13,13,8,74.59,75.07,-0.38,25.73,1.73,100.8,1.35,8 9 9 7,堅有利,上市魅力,豐盛多彩,班德禮,潘明輝,5,129,118
2024-10-20,ST,grass,好/快,1600,111,12,極速之子,13,13,12,70.9,71.66,0.06,24.64,0.79,96.3,0.85,7 7 10 12,青春力量,領航傳祺,巴基之友,蔡明紹,潘明輝,5,128,118
2024-11-03,ST,grass,好,1800,147,04,極速之子,13,13,12,83.67,83.87,-0.38,25.03,0.83,108.9,0.45,3 2 2 2 4,竣誠駒,永勝金駒,滿載歸來,蔡明紹,潘明輝,5,127,118
2024-11-27,HV,grass,好,1800,212,06,極速之子,13,13,4,84.72,84.72,-0.83,25.09,0.69,109.81,-0.14,8 8 6 1 6,大將,上市魅力,樂天派,蔡明紹,潘明輝,5,122,118
2024-12-15,ST,grass,好,1400,260,01,極速之子,13,13,7,58.02,58.54,-0.41,23.85,0.5,82.39,0.09,7 8 8 1,極速之子,旋風飛颺,星運皇爵,貝知仁,潘明輝,5,122,118
2025-01-26,ST,grass,好,1400,377,14,極速之子,13,13,2,58.44,59.04,0.09,25.66,2.31,84.7,2.4,7 8 9 14,好運寶馬,帝豪歡星,神速馬車,貝知仁,潘明輝,5,127,118
2025-03-19,HV,grass,好/快,1650,515,08,極速之子,13,13,10,75.02,76.14,0.09,24.43,0.18,100.57,0.27,10 9 9 8,威威父子,風雲,朗日雪峰,湯普新,潘明輝,5,127,118
2025-03-26,ST,dirt,好,1800,534,10,極速之子,13,13,9,83.79,84.11,-1.09,25.64,1.39,109.75,0.3,6 4 2 2 10,精明選擇,星雲浩騰,大利好運,湯普新,潘明輝,5,127,118
