日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2023-09-13,HV,grass,好,1200,018,06,八駿巨昇,6,5,5,45.87,46.55,-0.5,24.11,1.56,70.66,1.06,6 6 6,量化歡騰,鈁糖武士,穿甲鷹,鍾易禮,蔡明紹,3,126,119
2023-12-13,HV,grass,好,1200,250,09,八駿巨昇,6,5,7,45.85,45.85,-1.2,24.9,2.35,70.75,1.15,1 1 9,合夥雄心,勇敢巨星,有財有勢,鍾易禮,蔡明紹,3,130,119
2024-01-04,HV,grass,好,1200,313,03,八駿巨昇,6,5,2,45.86,45.86,-1.19,24.04,1.49,69.9,0.3,1 1 3,一代天嬌,美麗第一,八駿巨昇,鍾易禮,蔡明紹,3,129,119
2024-01-31,HV,grass,好,1200,385,12,八駿巨昇,6,5,12,45.71,46.03,-1.02,25.99,3.44,72.02,2.42,3 3 12,常常有餘,人和家興,連連歡呼,鍾易禮,蔡明紹,3,130,119
2024-02-28,HV,grass,好,1200,460,04,八駿巨昇,6,5,4,47.38,47.42,0.37,23.46,0.91,70.88,1.28,2 2 4,精算暴雪,電源之駒,撼天鐵翼,鍾易禮,蔡明紹,3,130,119
2024-03-13,HV,grass,好,1200,495,07,八駿巨昇,6,5,6,46.25,46.25,-0.8,24.77,2.22,71.02,1.42,1 1 7,天足貓,常常有餘,無限美麗,鍾易禮,蔡明紹,3,127,119
2024-04-17,HV,grass,好,1200,595,01,八駿巨昇,6,5,4,46.52,46.52,-0.53,23.31,0.76,69.83,0.23,1 1 1,八駿巨昇,無限美麗,家樂龍駒,鍾易禮,蔡明紹,3,130,119
2024-05-22,HV,grass,好,1200,693,01,八駿巨昇,6,5,5,45.54,45.54,-1.41,24.26,1.91,69.8,0.5,1 1 1,八駿巨昇,晶晶日上,人和家興,蔡明紹,蔡明紹,2,123,119
2024-06-26,HV,grass,好,1200,779,03,八駿巨昇,6,5,1,46.33,46.61,-0.34,22.59,0.24,69.2,-0.1,4 3 3,合夥奔馳,人和家興,八駿巨昇,蔡明紹,蔡明紹,2,132,119
2024-07-14,ST,grass,好/快,1200,822,05,八駿巨昇,6,5,3,45.34,45.5,-0.9,23.03,0.78,68.53,-0.12,2 2 5,美麗第一,龍之輝,韋小寶,鍾易禮,蔡明紹,2,126,119
2024-09-08,ST,grass,好/黏,1200,003,03,八駿巨昇,6,5,1,46.01,46.25,0.05,22.28,0.03,68.53,0.08,4 4 3,嘉應高昇,美麗第一,八駿巨昇,鍾易禮,蔡明紹,1,115,119
2024-09-22,ST,grass,黏,1200,046,02,八駿巨昇,6,5,1,45.68,45.68,-0.72,23.89,1.64,69.57,0.92,1 1 2,人和家興,八駿巨昇,合夥奔馳,鍾易禮,蔡明紹,2,127,119
2024-10-13,ST,grass,好/快,1200,102,13,八駿巨昇,6,5,6,45.65,46.13,-0.27,24.4,2.15,70.53,1.88,5 8 13,氣勢,天天同樂,華麗再勝,鍾易禮,蔡明紹,2,128,119
2024-10-27,HV,grass,好,1200,138,12,八駿巨昇,6,5,3,45.76,46.24,-0.71,24.87,2.52,71.11,1.81,7 8 12,合夥奔馳,幸運遇見,精算暴雪,布文,蔡明紹,2,133,119
2024-12-22,ST,grass,好,1200,286,13,八駿巨昇,6,5,8,45.41,45.81,-0.59,27.85,5.6,73.66,5.01,3 7 13,精算暴雪,華麗再勝,天天同樂,鍾易禮,蔡明紹,2,128,119
2025-01-26,ST,grass,好,1200,383,08,八駿巨昇,6,5,3,45.45,45.61,-0.79,24.25,2.0,69.86,1.21,2 2 8,華麗再勝,水晶酒杯,同祥和順,鍾易禮,蔡明紹,2,128,119
2025-02-12,ST,dirt,濕慢,1200,424,05,八駿巨昇,6,5,9,45.96,46.08,-0.32,25.17,3.22,71.25,2.9,6 3 5,喜至寶,同祥和順,昇瀧駒,巴度,蔡明紹,2,125,119
2025-02-23,ST,grass,好,1000,448,07,八駿巨昇,6,5,6,33.79,34.27,-1.18,22.81,2.21,57.08,1.03,8 8 7,魔術控制,占士德,同祥和順,蔡明紹,蔡明紹,2,123,119
2025-03-19,HV,grass,好/快,1200,523,08,八駿巨昇,6,5,3,45.46,45.46,-1.49,23.95,1.6,69.41,0.11,1 1 8,美麗緣分,晨曦儷人,魅力寶駒,鍾易禮,蔡明紹,2,122,119
2025-03-30,ST,grass,好,1200,544,06,八駿巨昇,6,5,1,45.78,45.78,-0.62,23.73,1.48,69.51,0.86,1 1 6,舉步生風,天天同樂,星際快車,鍾易禮,蔡明紹,2,119,119
2025-04-20,ST,dirt,好,1200,607,08,八駿巨昇,6,5,8,45.68,46.56,0.16,22.71,0.76,69.27,0.92,6 9 8,天天同樂,昇瀧駒,美麗第一,鍾易禮,蔡明紹,2,112,119
2025-05-07,HV,grass,好,1200,658,05,八駿巨昇,6,5,12,45.92,45.92,-1.13,24.23,1.68,70.15,0.55,1 1 5,飲杯,安康萬里,無限美麗,鍾易禮,蔡明紹,3,132,119
2025-05-21,HV,grass,好/快,1200,696,07,八駿巨昇,6,5,11,45.76,45.76,-1.29,23.94,1.39,69.7,0.1,1 1 7,騰龍四海,電源之駒,金牌活力,鍾易禮,蔡明紹,3,132,119
2025-06-04,HV,grass,好/黏,1200,733,06,八駿巨昇,6,5,10,46.03,46.43,-0.62,24.36,1.81,70.79,1.19,4 4 6,風雲武士,勇霸龍,日馳千里,鍾易禮,蔡明紹,3,132,119
2025-06-25,HV,grass,好/快,1000,782,01,八駿巨昇,6,5,3,33.55,33.95,-1.7,22.49,1.49,56.44,-0.21,3 3 1,八駿巨昇,年少多好,富心星,蔡明紹,蔡明紹,3,130,119
2025-07-09,HV,grass,好/快,1000,824,05,八駿巨昇,6,5,7,33.05,33.29,-2.36,23.75,2.75,57.04,0.39,5 3 5,狀元及第,燭光晚餐,路路勁,蔡明紹,蔡明紹,3,134,119
2025-09-17,HV,grass,好/快,1000,035,01,八駿巨昇,6,5,1,33.44,34.04,-1.61,22.37,1.37,56.41,-0.24,4 4 1,八駿巨昇,年少多好,超力量,蔡明紹,蔡明紹,3,135,119
2025-10-22,HV,grass,好,1000,119,03,八駿巨昇,6,5,6,33.3,33.66,-1.74,22.8,1.8,56.46,0.06,4 2 3,年少多好,顏色之皇,八駿巨昇,蔡明紹,蔡明紹,2,129,119
2025-11-02,HV,grass,好/快,1200,149,11,八駿巨昇,6,5,9,45.45,46.49,-0.46,23.67,1.32,70.16,0.86,8 8 11,風雲武士,顏色之皇,晨曦儷人,蔡明紹,蔡明紹,2,125,119
2025-11-30,ST,grass,好,1000,224,14,八駿巨昇,6,5,3,33.73,34.05,-1.4,23.72,3.12,57.77,1.72,3 5 14,顏色之皇,翠紅,水晶酒杯,蔡明紹,蔡明紹,2,117,119
2026-01-14,HV,grass,好,1200,352,09,八駿巨昇,6,5,3,45.05,45.49,-1.46,24.32,1.97,69.81,0.51,3 2 9,風雲武士,至尊瑰寶,勇敢巨星,鍾易禮,蔡明紹,2,120,119
