日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2025-04-13,ST,grass,好,1000,589,09,久久為軍,3,2,9,33.78,34.86,-0.94,22.47,1.82,57.33,0.88,13 13 9,實現夢想,駿皇金,飛來閃耀,鍾易禮,鍾易禮 (-2),3,119,133
2025-04-30,HV,grass,好/快,1200,638,11,久久為軍,3,2,6,46.13,47.33,0.28,22.95,0.4,70.28,0.68,11 12 11,鈦易搵,樂勝天下,金牌活力,蔡明紹,鍾易禮 (-2),3,120,133
2025-05-14,HV,grass,好/快,1200,677,06,久久為軍,3,2,7,46.09,47.01,-0.04,23.0,0.45,70.01,0.41,10 11 6,翠紅,風雲武士,勇霸龍,鍾易禮,鍾易禮 (-2),3,119,133
2025-06-08,ST,grass,好/快,1400,742,01,久久為軍,3,2,2,58.74,59.06,0.46,22.96,-0.44,82.02,0.02,4 5 3 1,久久為軍,多彩多姿,同心同樂,鍾易禮,鍾易禮 (-2),4,132,133
2025-06-22,ST,grass,好,1400,777,14,久久為軍,3,2,11,57.8,58.2,-0.3,24.99,1.84,83.19,1.54,2 2 7 14,非凡豪傑,綠野飛馳,一定超,鍾易禮,鍾易禮 (-2),3,122,133
2025-09-14,ST,grass,好/快,1400,028,10,久久為軍,3,2,6,59.69,60.41,1.91,22.18,-0.97,82.59,0.94,7 8 7 10,勇冠群英,金勝名駒,春風萬里,鍾易禮,鍾易禮 (-2),3,121,133
2025-10-04,ST,grass,好/快,1200,074,12,久久為軍,3,2,13,45.44,46.64,-0.01,23.22,0.87,69.86,0.86,12 12 12,燈胆將軍,晒冷,運高八斗,鍾易禮,鍾易禮 (-2),3,119,133
2025-10-19,ST,grass,好/快,1200,111,08,久久為軍,3,2,7,46.07,47.07,0.42,22.34,-0.01,69.41,0.41,11 11 8,錶之星河,天賜喜,晒冷,鍾易禮,鍾易禮 (-2),3,118,133
2025-11-23,ST,grass,好,1400,202,05,久久為軍,3,2,4,57.87,59.07,0.57,22.76,-0.39,81.83,0.18,9 10 11 5,白鷺金剛,光年八十,超勁赤兔,鍾易禮,鍾易禮 (-2),3,117,133
2025-12-07,ST,dirt,好,1650,243,12,久久為軍,3,2,13,74.26,74.78,-0.07,25.76,2.01,100.54,1.94,6 5 7 12,不同世界,堅有利,凱明神駒,鍾易禮,鍾易禮 (-2),3,118,133
2025-12-27,ST,grass,好,1400,298,02,久久為軍,3,2,5,58.16,58.92,0.32,23.21,-0.19,82.13,0.13,14 13 11 2,開心老闆,久久為軍,友瑩亮,鍾易禮,鍾易禮 (-2),4,132,133
2026-01-11,ST,grass,好/快,1400,338,04,久久為軍,3,2,12,58.17,59.41,0.81,22.97,-0.43,82.38,0.38,13 14 12 4,機械之星,龍城強將,跨境駿馬,鍾易禮,鍾易禮 (-2),4,133,133
2026-02-01,ST,grass,好,1400,402,11,久久為軍,3,2,8,58.01,58.57,-0.03,24.37,0.97,82.94,0.94,5 7 6 11,金滙千帥,綫路萬里,嵐臣,潘頓,鍾易禮 (-2),4,135,133
