日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2025-01-01,ST,grass,好,1200,307,10,盛勢威楓,14,9,1,45.6,46.28,-0.62,24.82,2.37,71.1,1.75,5 5 10,中環精英,喆喆友福,同喜,布文,潘明輝,4,128,116
2025-04-02,HV,grass,好/快,1200,559,09,盛勢威楓,14,9,5,46.36,47.28,0.08,22.86,0.16,70.14,0.24,10 10 9,騰龍四海,新力,夢幻駿駒,霍宏聲,潘明輝,4,128,116
2025-04-16,HV,grass,好/快,1200,598,10,盛勢威楓,14,9,12,46.11,47.27,0.07,23.13,0.43,70.4,0.5,12 11 10,決一劍,光輝所願,洛河,巴度,潘明輝,4,126,116
2025-05-07,HV,grass,好,1200,655,05,盛勢威楓,14,9,11,46.63,47.39,0.19,23.37,0.67,70.76,0.86,8 8 5,電訊驕陽,喆喆友福,比特星,潘明輝,潘明輝,4,124,116
2025-05-21,HV,grass,好/快,1200,688,10,盛勢威楓,14,9,1,46.04,46.4,-0.8,23.72,1.02,70.12,0.22,4 4 10,新力,寶進,安都,潘明輝,潘明輝,4,122,116
2025-10-22,HV,grass,好,1200,120,08,盛勢威楓,14,9,12,46.99,48.27,1.07,22.8,0.1,71.07,1.17,12 12 8,銀刺勇士,金運來,鴻圖新星,潘明輝,潘明輝,4,120,116
2025-11-05,HV,grass,好,1200,153,09,盛勢威楓,14,9,4,45.93,46.77,-0.43,23.35,0.65,70.12,0.22,10 10 9,飛輪霸,祥龍駒,機不可失,田泰安,潘明輝,4,117,116
2025-11-19,HV,grass,好,1200,191,10,盛勢威楓,14,9,8,46.3,47.1,-0.25,24.82,2.07,71.92,1.82,8 9 10,焦點,電訊驕陽,快馬加鞭,奧爾民,潘明輝,5,133,116
2025-12-07,ST,dirt,好,1200,236,09,盛勢威楓,14,9,1,45.55,45.83,-1.17,23.98,1.63,69.81,0.46,3 4 9,飛雲,多彩多姿,謙謙君子,奧爾民,潘明輝,5,133,116
2025-12-20,ST,grass,好,1400,275,06,盛勢威楓,14,9,5,58.23,58.55,-0.4,24.11,0.76,82.66,0.36,4 4 4 6,常常感恩,籐王駒,全神貫注,奧爾民,潘明輝,5,131,116
2026-01-11,ST,grass,好/快,1200,334,02,盛勢威楓,14,9,10,46.69,46.89,-0.26,23.02,0.62,69.91,0.36,3 3 2,凌風傲雪,盛勢威楓,首駿,潘明輝,潘明輝,5,129,116
2026-02-01,ST,grass,好,1200,395,01,盛勢威楓,14,9,9,46.17,46.17,-0.98,23.17,0.77,69.34,-0.21,1 1 1,盛勢威楓,果然僥倖,駿馬之星,潘明輝,潘明輝,5,130,116
2026-02-14,ST,grass,好/快,1200,434,03,盛勢威楓,14,9,3,45.8,46.08,-0.82,23.31,0.86,69.39,0.04,5 5 3,暴風一族,非凡時刻,盛勢威楓,艾兆禮,潘明輝,4,116,116
