日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-03-10,ST,grass,好,1200,486,10,無極勇將,11,3,7,46.81,47.49,0.84,23.63,1.28,71.12,2.12,8 10 10,實力派,光年八十,爵登,巫顯東,金誠剛,3,119,120
2024-04-07,ST,grass,好,1200,563,08,無極勇將,11,3,2,46.26,46.86,0.21,23.78,1.43,70.64,1.64,7 7 8,綠族豐收,加州得力,愛馬善,潘明輝,金誠剛,3,120,120
2024-04-20,ST,grass,好,1200,605,11,無極勇將,11,3,9,46.04,46.92,0.27,24.23,1.88,71.15,2.15,11 12 11,實力派,愛馬善,樂滿貫,巫顯東,金誠剛,3,117,120
2024-05-01,HV,grass,好/黏,1650,632,12,無極勇將,11,3,7,75.69,77.09,1.24,26.45,2.2,103.54,3.44,9 9 12 12,銀進,富喜來,包裝至善,黃智弘,金誠剛,4,124,120
2024-06-23,ST,grass,好/快,1400,766,14,無極勇將,11,3,12,58.96,60.52,1.92,23.93,0.53,84.45,2.45,13 11 11 14,綠族光芒,勇霸龍,遙遙領先,巫顯東,金誠剛,4,130,120
2024-10-16,HV,grass,好,1650,105,06,無極勇將,11,3,6,75.25,76.01,0.16,24.05,-0.2,100.06,-0.04,11 11 6 6,得意佳作,領創動力,獎星,何澤堯,金誠剛,4,129,120
2024-11-06,HV,grass,好,1650,160,07,無極勇將,11,3,8,75.85,76.33,0.48,24.5,0.25,100.83,0.73,7 7 6 7,大力猴王,得意佳作,北海盜,何澤堯,金誠剛,4,128,120
2024-11-20,HV,grass,好/黏,1650,194,04,無極勇將,11,3,2,75.11,76.03,0.18,24.05,-0.2,100.08,-0.02,8 8 9 4,先到先得,瀧澤飛駒,紅海勁,艾兆禮,金誠剛,4,126,120
2024-12-11,HV,grass,好,1800,254,10,無極勇將,11,3,7,84.01,85.17,-0.13,24.66,0.31,109.83,0.18,10 10 11 11 10,獎星,喜勝威龍,北海盜,艾兆禮,金誠剛,4,125,120
2025-01-08,HV,grass,好,1650,330,04,無極勇將,11,3,3,76.23,76.67,0.82,24.14,-0.11,100.81,0.71,5 5 5 4,三軍勇將,追風,寶成智星,貝知仁,金誠剛,4,120,120
2025-02-16,ST,grass,好/快,1800,432,11,無極勇將,11,3,4,83.01,83.17,-0.48,25.25,1.05,108.42,0.57,8 7 4 3 11,發財秘笈,風火恆雲,一起美麗,田泰安,金誠剛,4,121,120
2025-03-26,ST,dirt,好,1650,536,08,無極勇將,11,3,12,74.61,75.49,0.24,23.81,0.01,99.3,0.25,12 12 11 8,超加加,時間寶,幻影旋風,田泰安,金誠剛,4,118,120
2025-04-23,HV,grass,好,1800,612,06,無極勇將,11,3,4,85.65,86.09,0.54,24.49,0.09,110.58,0.63,4 4 5 5 6,皮具大師,同寶寶,凱旋七福,田泰安,金誠剛,5,135,120
2025-05-21,HV,grass,好/快,1650,689,06,無極勇將,11,3,8,76.19,77.27,1.22,23.42,-0.83,100.69,0.39,10 10 11 6,至旺財,威威父子,型到爆,鍾易禮,金誠剛,5,130,120
2025-06-14,ST,grass,好,1600,757,03,無極勇將,11,3,3,72.73,73.09,1.49,22.88,-0.97,95.97,0.52,7 7 5 3,美麗多盈,勝得福,無極勇將,艾道拿,金誠剛,5,131,120
2025-07-05,ST,grass,好/快,1600,811,03,無極勇將,11,3,7,71.48,71.96,0.36,23.34,-0.51,95.3,-0.15,9 9 8 3,佳福駒,駿彩飛馳,無極勇將,艾道拿,金誠剛,5,131,120
2025-07-13,ST,grass,好/快,1400,829,09,無極勇將,11,3,4,58.08,58.52,-0.43,24.16,0.81,82.68,0.38,6 6 7 9,綫路神驊,朗日雪峰,快樂老撾,奧爾民,金誠剛,5,131,120
2025-09-07,ST,grass,好,1600,002,04,無極勇將,11,3,9,70.88,71.32,-0.28,24.06,0.21,95.38,-0.07,10 9 7 4,桃花多,富裕君子,同寶寶,艾道拿,金誠剛,5,126,120
2025-09-28,ST,grass,好,1600,047,08,無極勇將,11,3,9,70.47,71.39,-0.21,23.82,-0.03,95.21,-0.24,10 12 11 8,瀧澤飛駒,桃花多,武林至尊,奧爾民,金誠剛,5,125,120
2025-10-15,HV,grass,好/快,1650,095,01,無極勇將,11,3,5,75.11,75.51,-0.54,24.21,-0.04,99.72,-0.58,7 7 7 1,無極勇將,魔法速遞,瀧澤飛駒,周俊樂,金誠剛,5,123,120
2025-11-12,HV,grass,好,1650,170,02,無極勇將,11,3,5,75.53,76.05,0.0,23.68,-0.57,99.73,-0.57,6 6 5 2,幸運福星,無極勇將,快樂老撾,周俊樂,金誠剛,5,130,120
2025-11-19,HV,grass,好,1650,190,01,無極勇將,11,3,1,75.73,76.09,0.04,24.59,0.34,100.68,0.38,6 5 4 1,無極勇將,至旺財,魔法速遞,周俊樂,金誠剛,5,132,120
2026-01-11,ST,grass,好/快,1400,338,14,無極勇將,11,3,14,58.17,59.65,1.05,25.13,1.73,84.78,2.78,14 13 14 14,機械之星,龍城強將,跨境駿馬,紀仁安,金誠剛,4,120,120
2026-02-22,ST,grass,好,1400,461,10,無極勇將,11,3,3,58.86,59.26,0.66,23.28,-0.12,82.54,0.54,6 7 6 10,亨驥,精明選擇,大回報,金誠剛,金誠剛,4,120,120
