日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2025-05-04,ST,grass,好/快,1000,639,05,知道穩勝,10,12,5,34.01,34.09,-1.21,23.98,3.38,58.07,2.17,2 2 5,不勞而獲,快活精神,馬達,班德禮,班德禮,0,121,122
2025-05-25,ST,grass,好,1200,697,05,知道穩勝,10,12,4,47.28,47.64,1.69,22.87,0.67,70.51,2.36,4 5 5,光年程祥,不勞而獲,快活精神,班德禮,班德禮,0,121,122
2025-06-14,ST,grass,好,1000,756,11,知道穩勝,10,12,5,33.46,34.26,-1.04,22.82,2.22,57.08,1.18,11 9 11,渾身解數,馬達,過關勇士,班德禮,班德禮,0,121,122
2025-09-14,ST,grass,好/快,1200,024,10,知道穩勝,10,12,13,45.71,46.51,-0.39,23.11,0.66,69.62,0.27,12 13 10,有你有我,皇金合,海綠寶,班德禮,班德禮,4,130,122
2025-10-01,ST,grass,好/快,1400,061,14,知道穩勝,10,12,2,58.42,58.42,-0.18,24.73,1.33,83.15,1.15,1 1 1 14,白鷺金剛,如蝶翩翩,銀騰,班德禮,班德禮,4,125,122
2025-10-12,ST,grass,好,1200,086,10,知道穩勝,10,12,3,45.65,46.25,-0.65,24.36,1.91,70.61,1.26,3 3 10,快活英雄,非凡時刻,亨驥,班德禮,班德禮,4,125,122
2025-11-02,HV,grass,好/快,1200,145,07,知道穩勝,10,12,12,46.84,47.84,0.64,22.75,0.05,70.59,0.69,10 12 7,當家精彩,幸運愉快,星辰千帥,班德禮,班德禮,4,118,122
2025-11-19,HV,grass,好,1200,189,01,知道穩勝,10,12,8,46.16,46.52,-0.68,23.16,0.46,69.68,-0.22,4 4 1,知道穩勝,凌風傲雪,三強,班德禮,班德禮,4,117,122
2025-12-10,HV,grass,好,1200,250,07,知道穩勝,10,12,11,46.11,46.67,-0.53,23.82,1.12,70.49,0.59,10 9 7,三強,東來欣賞,紅錢到,班德禮,班德禮,4,122,122
2026-01-28,HV,grass,好/快,1200,390,11,知道穩勝,10,12,12,46.79,47.75,0.55,22.73,0.03,70.48,0.58,10 12 11,福星小子,喵喵怪,雷神太保,班德禮,班德禮,4,123,122
2026-02-22,ST,grass,好,1400,461,08,知道穩勝,10,12,12,58.86,59.54,0.94,22.69,-0.71,82.23,0.23,12 12 12 8,亨驥,精明選擇,大回報,班德禮,班德禮,4,122,122
