日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2023-12-23,ST,grass,好,1200,270,03,翹峯,8,2,5,47.11,47.55,0.65,23.25,0.8,70.8,1.45,4 5 3,勝利神駒,紅海風帆,翹峯,周俊樂,田泰安,4,125,123
2024-01-13,ST,grass,好,1400,337,13,翹峯,8,2,8,59.62,60.26,1.66,24.55,1.15,84.81,2.81,7 7 9 13,風火恆雲,馬梟雄,手錶之星,周俊樂,田泰安,4,126,123
2024-02-25,ST,grass,好,1200,450,08,翹峯,8,2,7,46.34,47.22,0.32,23.1,0.65,70.32,0.97,11 11 8,龍之輝,增強,新力好,周俊樂,田泰安,4,126,123
2024-03-24,ST,grass,好,1400,523,12,翹峯,8,2,9,58.88,59.28,0.68,23.26,-0.14,82.54,0.54,5 5 4 12,獨步天下,綠族威,金勝名駒,周俊樂,田泰安,4,122,123
2024-04-14,ST,grass,好/快,1400,580,02,翹峯,8,2,6,58.3,58.66,0.06,23.34,-0.06,82.0,0.0,4 6 5 2,金勝名駒,翹峯,競駿天下,周俊樂,田泰安,4,121,123
2024-05-05,ST,grass,好,1400,642,04,翹峯,8,2,3,57.78,58.02,-0.58,24.13,0.73,82.15,0.15,3 4 3 4,美麗邂逅,勇霸龍,艾莉奧,班德禮,田泰安,4,121,123
2024-05-26,ST,grass,好,1400,699,01,翹峯,8,2,6,58.59,58.99,0.39,22.68,-0.72,81.67,-0.33,3 5 4 1,翹峯,博愛先鋒,聰明導彈,周俊樂,田泰安,4,121,123
2024-06-23,ST,grass,好/快,1400,767,01,翹峯,8,2,7,57.86,58.26,-0.34,23.33,-0.07,81.59,-0.41,4 6 5 1,翹峯,連連歡呼,一起美麗,周俊樂,田泰安,4,127,123
2024-07-14,ST,grass,好,1400,827,02,翹峯,8,2,12,58.81,58.93,0.33,23.38,-0.02,82.31,0.31,5 2 2 2,遙遙領先,翹峯,聚風雲,周俊樂,田泰安,4,133,123
2024-09-15,ST,grass,好/快,1400,025,10,翹峯,8,2,5,58.87,59.19,0.59,25.65,2.25,84.84,2.84,1 2 7 10,十二神將,騰龍四海,鐵三角,周俊樂,田泰安,4,133,123
2024-12-01,ST,grass,好,1400,230,14,翹峯,8,2,14,57.88,58.4,-0.1,26.07,2.92,84.47,2.82,3 5 5 14,祝願,遙遙領先,鐵金剛,班德禮,田泰安,3,120,123
2025-02-23,ST,grass,好,1400,447,14,翹峯,8,2,13,58.4,58.88,0.28,26.21,2.81,85.09,3.09,3 6 9 14,始終如一,勁沙塵,超旺財,周俊樂,田泰安,4,133,123
2025-03-30,ST,grass,好,1200,546,04,翹峯,8,2,1,46.1,46.78,-0.12,22.79,0.34,69.57,0.22,9 8 4,小鳥天堂,特別美麗,笑喜喜,周俊樂,田泰安,4,133,123
2025-04-23,HV,grass,好,1200,613,05,翹峯,8,2,3,46.65,47.21,0.01,23.11,0.41,70.32,0.42,8 9 5,旌鷹,電訊驕陽,運來伍寶,布文,田泰安,4,134,123
2025-05-14,HV,grass,好/快,1200,674,02,翹峯,8,2,6,46.33,46.97,-0.23,23.09,0.39,70.06,0.16,5 5 2,天外迎天,翹峯,心裡有數,周俊樂,田泰安,4,130,123
2025-06-08,ST,grass,好/快,1400,742,10,翹峯,8,2,5,58.74,59.34,0.74,23.93,0.53,83.27,1.27,6 7 7 10,久久為軍,多彩多姿,同心同樂,周俊樂,田泰安,4,129,123
2025-10-26,ST,grass,好/快,1200,125,14,翹峯,8,2,1,45.8,46.12,-0.78,23.97,1.52,70.09,0.74,6 6 14,金創福威,新力驕,做好自己,田泰安,田泰安,4,128,123
2025-11-15,ST,grass,好,1400,183,05,翹峯,8,2,9,58.72,58.72,0.12,23.91,0.51,82.63,0.63,1 1 1 5,鬥志波,黃金騎士,大數據,田泰安,田泰安,4,129,123
2025-12-07,ST,grass,好,1400,238,02,翹峯,8,2,3,58.89,59.09,0.49,24.07,0.67,83.16,1.16,2 5 3 2,首飾悟空,翹峯,發財金戈,田泰安,田泰安,4,125,123
2025-12-27,ST,grass,好,1400,298,05,翹峯,8,2,7,58.16,58.16,-0.44,24.29,0.89,82.45,0.45,1 1 1 5,開心老闆,久久為軍,友瑩亮,田泰安,田泰安,4,125,123
2026-01-25,ST,grass,好/快,1400,378,11,翹峯,8,2,13,57.92,58.4,-0.2,24.22,0.82,82.62,0.62,4 5 6 11,都靈冠星,威武年代,幸運愉快,田泰安,田泰安,4,125,123
