日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-06-26,HV,grass,好,1200,778,01,包裝天將,10,8,2,46.23,46.91,-0.29,22.8,0.1,69.71,-0.19,5 5 1,包裝天將,砂漿金剛,精選威,潘頓,班德禮,4,128,126
2024-07-14,ST,grass,好,1200,829,01,包裝天將,10,8,8,46.09,46.09,-0.56,22.66,0.31,68.75,-0.25,2 1 1,包裝天將,花果猴王,時尚風趣,潘頓,班德禮,3,119,126
2024-10-20,ST,grass,好/快,1200,118,01,包裝天將,10,8,12,46.67,46.79,0.14,22.3,-0.05,69.09,0.09,2 2 1,包裝天將,河好運,穿甲戰鷹,潘頓,班德禮,3,129,126
2024-11-09,ST,grass,好/快,1400,172,02,包裝天將,10,8,9,57.22,57.62,-0.73,22.88,-0.22,80.5,-0.95,2 4 4 2,堅又威,包裝天將,飛鷹翱翔,希威森,班德禮,2,115,126
2024-12-08,ST,grass,好,1400,249,01,包裝天將,10,8,10,58.49,58.85,0.5,22.44,-0.66,81.29,-0.16,7 8 8 1,包裝天將,球星,潮州精神,莫雷拉,班德禮,2,118,126
2025-01-12,ST,grass,好,1400,343,04,包裝天將,10,8,11,57.87,58.75,0.4,22.38,-0.72,81.13,-0.32,12 12 12 4,球星,競駿輝煌,玩笑,希威森,班德禮,2,130,126
2025-03-23,ST,grass,好/快,1400,525,01,包裝天將,10,8,5,57.06,57.46,-0.89,22.46,-0.64,79.92,-1.53,5 5 4 1,包裝天將,競駿輝煌,開心寶寶,莫雷拉,班德禮,2,128,126
2025-05-25,ST,grass,好,1400,700,01,包裝天將,10,8,3,58.59,58.67,0.32,22.54,-0.56,81.21,-0.24,3 2 2 1,包裝天將,舞林密碼,競駿輝煌,潘頓,班德禮,2,135,126
2025-06-22,ST,grass,好,1400,772,03,包裝天將,10,8,7,58.78,59.42,1.17,21.88,-0.97,81.3,0.2,6 6 8 3,合夥奔馳,越駿歡欣,包裝天將,潘明輝,班德禮,0,126,126
2025-09-28,ST,grass,好/快,1400,052,04,包裝天將,10,8,7,58.24,58.4,0.15,22.65,-0.2,81.05,-0.05,3 3 3 4,祝願,合夥奔馳,越駿歡欣,艾道拿,班德禮,0,132,126
2025-10-26,ST,grass,好/快,1200,130,03,包裝天將,10,8,8,44.68,45.28,-0.67,22.44,0.24,67.72,-0.43,6 8 3,好友心得,精算暴雪,包裝天將,潘頓,班德禮,0,121,126
2026-01-01,ST,grass,好,1400,310,09,包裝天將,10,8,3,56.89,57.57,-0.68,23.77,0.92,81.34,0.24,6 6 9 9,風雲武士,舞林密碼,手機錶霸,紀仁安,班德禮,0,133,126
