日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2023-12-03,ST,grass,好,1200,216,01,嘉應高昇,1,3,8,46.95,46.99,0.09,22.49,0.04,69.48,0.13,2 2 1,嘉應高昇,龍城強將,電訊龍駒,潘頓,潘頓,4,127,126
2024-01-01,ST,grass,好,1200,305,02,嘉應高昇,1,3,2,46.44,47.0,0.35,22.12,-0.23,69.12,0.12,5 5 2,氣勢,嘉應高昇,綠族無限,潘頓,潘頓,3,118,126
2024-01-21,ST,grass,好,1200,353,02,嘉應高昇,1,3,10,45.67,45.67,-0.98,23.28,0.93,68.95,-0.05,1 1 2,氣勢,嘉應高昇,以戰得勝,潘頓,潘頓,3,122,126
2024-02-12,ST,grass,好,1200,413,01,嘉應高昇,1,3,2,46.06,46.26,-0.39,22.69,0.34,68.95,-0.05,5 4 1,嘉應高昇,愛馬善,光年八十,潘頓,潘頓,3,129,126
2024-03-24,ST,grass,好/快,1200,526,01,嘉應高昇,1,3,11,45.65,45.69,-0.96,22.5,0.15,68.19,-0.81,2 2 1,嘉應高昇,龍之輝,實力派,潘頓,潘頓,3,135,126
2024-05-05,ST,grass,好,1200,645,01,嘉應高昇,1,3,5,46.5,46.54,0.14,22.27,0.02,68.81,0.16,2 2 1,嘉應高昇,包裝必勝,華麗再勝,潘頓,潘頓,2,119,126
2024-06-02,ST,grass,好/快,1200,720,01,嘉應高昇,1,3,6,45.84,46.04,0.09,21.96,-0.24,68.0,-0.15,4 4 1,嘉應高昇,威力奔騰,嫡愛心,田泰安,潘頓,0,115,126
2024-09-08,ST,grass,好/黏,1200,003,01,嘉應高昇,1,3,7,46.01,46.09,-0.11,21.94,-0.31,68.03,-0.42,2 2 1,嘉應高昇,美麗第一,八駿巨昇,潘頓,潘頓,1,135,126
2024-10-20,ST,grass,好/快,1200,117,01,嘉應高昇,1,3,9,45.21,45.37,-0.58,22.2,0.0,67.57,-0.58,3 3 1,嘉應高昇,驕陽明駒,加州星球,潘頓,潘頓,0,128,126
2024-11-17,ST,grass,好,1200,188,01,嘉應高昇,1,3,10,45.09,45.29,-0.66,22.14,-0.06,67.43,-0.72,3 3 1,嘉應高昇,嫡愛心,驕陽明駒,潘頓,潘頓,0,123,126
2024-12-08,ST,grass,好,1200,244,01,嘉應高昇,1,3,11,45.65,45.73,-0.22,22.42,0.22,68.15,0.0,3 2 1,嘉應高昇,驕陽明駒,里見夢境,潘頓,潘頓,0,126,126
2025-01-19,ST,grass,好,1200,361,01,嘉應高昇,1,3,8,44.84,44.84,-1.11,22.36,0.16,67.2,-0.95,1 1 1,嘉應高昇,驕陽明駒,嫡愛心,潘頓,潘頓,0,126,126
2025-02-23,ST,grass,好,1400,451,01,嘉應高昇,1,3,9,57.73,57.73,-0.52,22.6,-0.25,80.33,-0.77,2 2 2 1,嘉應高昇,驕陽明駒,嫡愛心,田泰安,潘頓,0,126,126
2025-03-30,ST,grass,好,1200,549,01,嘉應高昇,1,3,6,46.3,46.3,0.35,21.88,-0.32,68.18,0.03,2 1 1,嘉應高昇,驕陽明駒,幸運有您,潘頓,潘頓,0,128,126
2025-04-27,ST,grass,好,1200,624,01,嘉應高昇,1,3,4,45.78,46.1,0.15,21.78,-0.42,67.88,-0.27,5 5 1,嘉應高昇,里見夢境,驕陽明駒,潘頓,潘頓,0,126,126
2025-09-07,ST,grass,好,1200,003,01,嘉應高昇,1,3,4,44.57,44.69,-1.51,22.94,0.69,67.63,-0.82,2 2 1,嘉應高昇,金鑽貴人,開心寶寶,潘頓,潘頓,1,135,126
2025-11-23,ST,grass,好/快,1200,203,01,嘉應高昇,1,3,10,45.31,45.31,-0.64,22.02,-0.18,67.33,-0.82,2 1 1,嘉應高昇,舉步生風,驕陽明駒,潘頓,潘頓,0,128,126
2025-12-14,ST,grass,好,1200,258,01,嘉應高昇,1,3,1,45.16,45.16,-0.79,22.54,0.34,67.7,-0.45,1 1 1,嘉應高昇,精算暴雪,舉步生風,潘頓,潘頓,0,126,126
2026-01-25,ST,grass,好/快,1200,379,01,嘉應高昇,1,3,4,45.72,45.72,-0.23,21.94,-0.26,67.66,-0.49,2 1 1,嘉應高昇,驕陽明駒,舉步生風,潘頓,潘頓,0,126,126
