日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2023-09-10,ST,grass,黏,1200,004,02,金鑽貴人,2,1,6,48.47,48.63,2.43,21.64,-0.61,70.27,1.82,5 2 2,維港智能,金鑽貴人,順勢而飛,潘頓,梁家俊,1,135,126
2023-10-22,ST,grass,好,1200,107,02,金鑽貴人,2,1,5,45.86,45.94,-0.01,22.34,0.14,68.28,0.13,2 2 2,好眼光,金鑽貴人,韋小寶,潘頓,梁家俊,0,135,126
2023-11-19,ST,grass,好/快,1200,182,01,金鑽貴人,2,1,5,45.86,46.14,0.19,22.28,0.08,68.42,0.27,4 4 1,金鑽貴人,維港智能,福逸,潘頓,梁家俊,0,128,126
2023-12-10,ST,grass,好,1200,236,01,金鑽貴人,2,1,5,46.29,46.41,0.46,22.84,0.64,69.25,1.1,4 3 1,金鑽貴人,幸運有您,福逸,潘頓,梁家俊,0,126,126
2024-01-28,ST,grass,好,1200,376,06,金鑽貴人,2,1,5,47.25,48.13,2.18,21.98,-0.22,70.11,1.96,10 11 6,維港智能,幸運有您,福逸,潘頓,梁家俊,0,126,126
2024-03-10,ST,grass,好,1400,490,05,金鑽貴人,2,1,8,59.55,59.99,1.74,22.41,-0.44,82.4,1.3,7 10 8 5,加州星球,錶之銀河,紅運帝王,麥道朗,梁家俊,0,126,126
2024-04-07,ST,grass,好,1200,565,01,金鑽貴人,2,1,7,45.79,46.31,0.36,22.86,0.66,69.17,1.02,9 8 1,金鑽貴人,賢者無敵,威力奔騰,布文,梁家俊,0,128,126
2025-04-27,ST,grass,好,1200,624,06,金鑽貴人,2,1,7,45.78,46.46,0.51,22.47,0.27,68.93,0.78,10 11 6,嘉應高昇,里見夢境,驕陽明駒,麥道朗,梁家俊,0,126,126
2025-05-31,ST,grass,好,1200,724,04,金鑽貴人,2,1,9,45.45,45.89,-0.06,22.72,0.52,68.61,0.46,10 9 4,驕陽明駒,賢者無敵,手機錶霸,梁家俊,梁家俊,0,135,126
2025-09-07,ST,grass,好,1200,003,02,金鑽貴人,2,1,5,44.57,45.21,-0.99,22.77,0.52,67.98,-0.47,7 7 2,嘉應高昇,金鑽貴人,開心寶寶,梁家俊,梁家俊,1,126,126
2025-11-23,ST,grass,好/快,1200,203,04,金鑽貴人,2,1,5,45.31,45.83,-0.12,22.24,0.04,68.07,-0.08,6 7 4,嘉應高昇,舉步生風,驕陽明駒,梁家俊,梁家俊,0,123,126
2025-12-14,ST,grass,好,1200,258,04,金鑽貴人,2,1,8,45.16,46.16,0.21,22.25,0.05,68.41,0.26,11 10 4,嘉應高昇,精算暴雪,舉步生風,梁家俊,梁家俊,0,126,126
2026-01-25,ST,grass,好/快,1600,381,02,金鑽貴人,2,1,8,69.95,69.95,-0.7,22.94,-0.31,92.89,-1.01,3 1 1 2,浪漫勇士,金鑽貴人,遨遊氣泡,梁家俊,梁家俊,0,126,126
