日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2023-11-19,ST,grass,好/快,1200,179,01,驕陽明駒,3,5,4,46.3,46.62,0.22,21.87,-0.38,68.49,-0.16,6 5 1,驕陽明駒,包裝必勝,威力奔騰,艾道拿,布文,2,122,126
2023-12-10,ST,grass,好,1400,241,03,驕陽明駒,3,5,12,59.11,59.71,1.36,22.71,-0.39,82.42,0.97,10 10 10 3,神虎龍駒,舞林密碼,驕陽明駒,艾道拿,布文,2,123,126
2024-01-07,ST,grass,好,1600,324,01,驕陽明駒,3,5,5,71.06,71.42,0.62,23.06,-0.39,94.48,0.23,5 6 6 1,驕陽明駒,駿馬快車,桃花雲,布文,布文,2,127,126
2024-10-20,ST,grass,好/快,1200,117,02,驕陽明駒,3,5,13,45.21,46.05,0.1,21.74,-0.46,67.79,-0.36,13 12 2,嘉應高昇,驕陽明駒,加州星球,巴度,布文,0,115,126
2024-11-17,ST,grass,好,1200,188,03,驕陽明駒,3,5,6,45.09,45.81,-0.14,22.15,-0.05,67.96,-0.19,9 8 3,嘉應高昇,嫡愛心,驕陽明駒,布文,布文,0,123,126
2024-12-08,ST,grass,好,1200,244,02,驕陽明駒,3,5,1,45.65,46.25,0.3,22.0,-0.2,68.25,0.1,11 10 2,嘉應高昇,驕陽明駒,里見夢境,布文,布文,0,126,126
2025-01-19,ST,grass,好,1200,361,02,驕陽明駒,3,5,7,44.84,45.72,-0.23,22.01,-0.19,67.73,-0.42,8 7 2,嘉應高昇,驕陽明駒,嫡愛心,布文,布文,0,126,126
2025-02-23,ST,grass,好,1400,451,02,驕陽明駒,3,5,2,57.73,57.97,-0.28,22.59,-0.26,80.56,-0.54,5 5 5 2,嘉應高昇,驕陽明駒,嫡愛心,布文,布文,0,126,126
2025-03-30,ST,grass,好,1200,549,02,驕陽明駒,3,5,1,46.3,46.66,0.71,22.01,-0.19,68.67,0.52,6 5 2,嘉應高昇,驕陽明駒,幸運有您,布文,布文,0,123,126
2025-04-27,ST,grass,好,1200,624,03,驕陽明駒,3,5,13,45.78,46.66,0.71,21.6,-0.6,68.26,0.11,13 13 3,嘉應高昇,里見夢境,驕陽明駒,布文,布文,0,126,126
2025-05-31,ST,grass,好,1200,724,01,驕陽明駒,3,5,11,45.45,46.13,0.18,22.01,-0.19,68.14,-0.01,11 11 1,驕陽明駒,賢者無敵,手機錶霸,布文,布文,0,123,126
2025-10-26,ST,grass,好/快,1200,130,05,驕陽明駒,3,5,2,44.68,45.44,-0.51,22.61,0.41,68.05,-0.1,8 9 5,好友心得,精算暴雪,包裝天將,布文,布文,0,135,126
2025-11-23,ST,grass,好/快,1200,203,03,驕陽明駒,3,5,3,45.31,45.87,-0.08,22.18,-0.02,68.05,-0.1,7 8 3,嘉應高昇,舉步生風,驕陽明駒,布文,布文,0,123,126
2025-12-14,ST,grass,好,1200,258,05,驕陽明駒,3,5,6,45.16,45.92,-0.03,22.54,0.34,68.46,0.31,9 8 5,嘉應高昇,精算暴雪,舉步生風,布文,布文,0,126,126
2026-01-25,ST,grass,好/快,1200,379,02,驕陽明駒,3,5,1,45.72,46.0,0.05,21.86,-0.34,67.86,-0.29,5 4 2,嘉應高昇,驕陽明駒,舉步生風,布文,布文,0,126,126
