日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2025-05-25,ST,grass,好,1200,699,02,合夥飛馳,8,1,12,46.9,46.9,0.0,22.93,0.48,69.83,0.48,1 1 2,遨遊波士,合夥飛馳,綫路光驊,潘頓,艾兆禮,4,127,121
2025-06-28,ST,grass,好,1200,790,01,合夥飛馳,8,1,3,47.08,47.08,0.18,22.57,0.12,69.65,0.3,1 1 1,合夥飛馳,嫡愛好,金創福威,潘頓,艾兆禮,4,129,121
2025-07-16,HV,grass,好/快,1200,847,11,合夥飛馳,8,1,9,45.43,45.43,-1.62,24.87,2.32,70.3,0.7,1 1 11,至尊瑰寶,勇霸龍,維港激流,潘明輝,艾兆禮,3,117,121
2025-09-28,ST,grass,好/快,1400,054,05,合夥飛馳,8,1,3,58.66,58.98,0.48,22.99,-0.16,81.97,0.32,1 3 4 5,同樣美麗,南區之星,醒目先駒,田泰安,艾兆禮,3,120,121
2025-10-19,ST,grass,好/快,1200,111,09,合夥飛馳,8,1,12,46.07,46.27,-0.38,23.15,0.8,69.42,0.42,2 2 9,錶之星河,天賜喜,晒冷,田泰安,艾兆禮,3,117,121
2025-11-05,HV,grass,好/快,1200,158,12,合夥飛馳,8,1,8,45.83,46.07,-0.98,25.03,2.48,71.1,1.5,2 3 12,至尊瑰寶,椒椒醒,盈妍威楓,田泰安,艾兆禮,3,120,121
2025-11-23,ST,grass,好,1200,198,13,合夥飛馳,8,1,11,46.0,46.16,-0.74,24.14,1.69,70.3,0.95,2 2 13,馬寶寶,亨驥,福聚,田泰安,艾兆禮,4,134,121
2025-12-20,ST,grass,好,1200,277,11,合夥飛馳,8,1,9,46.35,46.83,-0.07,23.92,1.47,70.75,1.4,3 4 11,會當凌,葳莉非凡,實力加,紀仁安,艾兆禮,4,132,121
2026-01-28,HV,grass,好/快,1000,388,01,合夥飛馳,8,1,6,34.0,34.72,-1.18,22.23,0.93,56.95,-0.25,10 10 1,合夥飛馳,凝聚美麗,品德寶寶,布文,艾兆禮,4,129,121
2026-02-22,ST,grass,好,1200,463,08,合夥飛馳,8,1,1,46.22,46.66,0.01,22.78,0.43,69.44,0.44,6 7 8,冷娃,健康快車,包裝明將,艾兆禮,艾兆禮,3,121,121
