日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-05-19,ST,grass,好,1200,678,06,天天耍樂,9,10,6,45.79,46.51,-0.39,23.53,1.08,70.04,0.69,6 6 6,輝煌精英,鑽石星空,獎金大少,何澤堯,潘明輝,4,127,121
2024-06-15,ST,grass,軟,1200,755,03,天天耍樂,9,10,1,46.26,46.26,-0.64,23.98,1.53,70.24,0.89,2 1 3,旭日昇,極速贏,天天耍樂,何澤堯,潘明輝,4,127,121
2024-07-06,ST,grass,好/快,1200,806,03,天天耍樂,9,10,5,45.34,45.5,-1.4,23.31,0.86,68.81,-0.54,2 2 3,超平凡,勝多多,天天耍樂,何澤堯,潘明輝,4,130,121
2024-09-22,ST,grass,好,1200,039,04,天天耍樂,9,10,11,45.77,45.77,-1.13,23.63,1.18,69.4,0.05,1 1 4,糖不甩,紫荊歡呼,勇霸龍,何澤堯,潘明輝,4,130,121
2024-10-06,ST,grass,好/快,1200,079,02,天天耍樂,9,10,9,46.48,46.48,-0.42,22.99,0.54,69.47,0.12,1 1 2,運高八斗,天天耍樂,太陽昇,何澤堯,潘明輝,4,130,121
2025-01-12,ST,dirt,好,1200,339,06,天天耍樂,9,10,7,45.13,45.29,-1.56,24.49,2.39,69.78,0.83,1 3 6,皇龍飛將,星火燎原,贏得自然,梁家俊,潘明輝,4,130,121
2025-01-31,ST,grass,好,1200,393,03,天天耍樂,9,10,2,46.23,46.23,-0.67,23.67,1.22,69.9,0.55,1 1 3,怡昌光輝,騰龍四海,天天耍樂,苗傑美,潘明輝,4,132,121
2025-02-26,HV,grass,好,1200,462,06,天天耍樂,9,10,1,46.29,46.29,-0.91,24.19,1.49,70.48,0.58,1 1 6,輕功猛男,飛黃,勁者,希威森,潘明輝,4,132,121
2025-03-19,HV,grass,好/快,1000,520,09,天天耍樂,9,10,7,33.74,34.14,-1.76,23.15,1.85,57.29,0.09,3 4 9,辣得金,勝萬金,鄉村樂韻,霍宏聲,潘明輝,4,126,121
2025-04-20,ST,dirt,好,1200,603,02,天天耍樂,9,10,3,45.27,45.31,-1.54,24.14,2.04,69.45,0.5,2 2 2,實力哥,天天耍樂,機械騎士,潘頓,潘明輝,4,124,121
2025-05-18,ST,dirt,好,1200,680,01,天天耍樂,9,10,8,45.45,45.45,-1.4,23.68,1.58,69.13,0.18,1 1 1,天天耍樂,扶搖勢勁,機械騎士,潘頓,潘明輝,4,126,121
2025-06-14,ST,dirt,濕快,1200,759,04,天天耍樂,9,10,5,45.26,45.34,-1.51,23.9,1.8,69.24,0.29,2 2 4,火神神樂,怡昌奇兵,川河型駒,潘頓,潘明輝,4,133,121
2025-07-13,ST,grass,好/快,1200,830,10,天天耍樂,9,10,13,45.83,45.83,-1.07,24.24,1.79,70.07,0.72,1 1 10,亨驥,藍爵爺,佳運發,黃智弘,潘明輝,4,130,121
2025-09-28,ST,dirt,好,1200,048,01,天天耍樂,9,10,5,44.95,44.95,-1.9,24.38,2.28,69.33,0.38,2 1 1,天天耍樂,開心五月,日日獎,潘頓,潘明輝,4,135,121
2025-10-30,ST,dirt,好,1200,139,03,天天耍樂,9,10,2,45.57,45.57,-0.93,23.99,1.94,69.56,1.01,1 1 3,時尚風趣,肯佩斯,天天耍樂,潘明輝,潘明輝,3,117,121
2025-11-30,ST,dirt,好,1200,222,08,天天耍樂,9,10,4,45.04,45.04,-1.46,24.28,2.23,69.32,0.77,1 1 8,樂勝天下,錶之極光,時尚風趣,黃智弘,潘明輝,3,117,121
2026-01-04,ST,dirt,好,1200,322,10,天天耍樂,9,10,4,45.55,45.55,-0.95,23.53,1.48,69.08,0.53,1 1 10,樂勝天下,駿步騰飛,熾烈神駒,潘明輝,潘明輝,3,118,121
2026-01-18,ST,grass,好,1000,356,07,天天耍樂,9,10,1,33.96,33.96,-1.84,23.83,3.18,57.79,1.34,2 2 7,國千金,三甲之星,魅力寶駒,梁家俊,潘明輝,3,119,121
