日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-09-15,ST,grass,好/快,1000,027,09,連連幸運,2,2,6,34.15,34.59,-1.21,21.95,1.3,56.54,0.09,8 8 9,魔術控制,星際快車,寰宇豐采,鍾易禮,黃智弘 (-5),3,116,133
2024-09-25,HV,grass,好,1000,054,02,連連幸運,2,2,8,34.01,34.53,-1.12,22.52,1.52,57.05,0.4,9 5 2,紅逸舍,連連幸運,巴薩諾瓦,希威森,黃智弘 (-5),3,123,133
2024-10-27,HV,grass,好,1000,137,03,連連幸運,2,2,8,34.13,34.37,-1.28,22.69,1.69,57.06,0.41,2 3 3,馬力,雅典武士,連連幸運,希威森,黃智弘 (-5),3,123,133
2024-11-27,HV,grass,好,1000,219,02,連連幸運,2,2,12,33.32,33.92,-1.73,22.91,1.91,56.83,0.18,4 4 2,添開心,連連幸運,年少多好,麥道朗,黃智弘 (-5),3,126,133
2025-01-08,HV,grass,好,1200,335,01,連連幸運,2,2,7,45.86,46.58,-0.47,22.98,0.43,69.56,-0.04,5 5 1,連連幸運,椒椒醒,競駿非凡,布文,黃智弘 (-5),3,127,133
2025-01-22,HV,grass,好,1200,375,04,連連幸運,2,2,4,45.98,46.58,-0.47,23.18,0.63,69.76,0.16,5 6 4,觀天下,有財有勢,多利彩駒,布文,黃智弘 (-5),3,135,133
2025-02-05,HV,grass,好,1000,404,02,連連幸運,2,2,8,33.23,34.03,-1.62,22.74,1.74,56.77,0.12,10 8 2,紅逸舍,連連幸運,英雄豪邁,黃智弘,黃智弘 (-5),3,126,133
2025-02-19,HV,grass,好,1200,445,09,連連幸運,2,2,11,46.77,47.41,0.36,23.43,0.88,70.84,1.24,8 7 9,得道猴王,椒椒醒,實力加,黃智弘,黃智弘 (-5),3,128,133
2025-02-26,HV,grass,好,1000,465,04,連連幸運,2,2,5,33.31,34.99,-0.66,21.86,0.86,56.85,0.2,9 9 4,紅逸舍,年少多好,人和家興,莫雅,黃智弘 (-5),3,127,133
2025-04-09,HV,grass,好/快,1000,576,07,連連幸運,2,2,7,33.21,33.89,-1.76,23.05,2.05,56.94,0.29,4 4 7,顏色之皇,年少多好,領航君子,巫顯東,黃智弘 (-5),3,129,133
2025-04-30,HV,grass,好/快,1200,638,10,連連幸運,2,2,7,46.13,46.53,-0.52,23.63,1.08,70.16,0.56,3 4 10,鈦易搵,樂勝天下,金牌活力,潘頓,黃智弘 (-5),3,130,133
2025-05-14,HV,grass,好/快,1000,670,02,連連幸運,2,2,4,33.32,33.76,-1.89,22.81,1.81,56.57,-0.08,4 4 2,四季醒,連連幸運,星際快車,黃智弘,黃智弘 (-5),3,122,133
2025-06-04,HV,grass,好/黏,1200,733,05,連連幸運,2,2,12,46.03,46.03,-1.02,24.76,2.21,70.79,1.19,1 1 5,風雲武士,勇霸龍,日馳千里,黃智弘,黃智弘 (-5),3,124,133
2025-11-02,HV,grass,好/快,1000,147,02,連連幸運,2,2,7,33.45,33.89,-1.76,22.8,1.8,56.69,0.04,5 4 2,人和家興,連連幸運,川河石駒,布文,黃智弘 (-5),3,127,133
2025-12-03,HV,grass,好,1000,233,05,連連幸運,2,2,1,33.66,33.9,-1.75,23.17,2.17,57.07,0.42,4 3 5,藍地球,好好戀愛,手到齊來,潘頓,黃智弘 (-5),3,132,133
2025-12-17,HV,grass,好,1000,271,05,連連幸運,2,2,11,34.03,34.35,-1.3,22.73,1.73,57.08,0.43,6 4 5,燭光晚餐,添開心,精彩福星,布文,黃智弘 (-5),3,130,133
2026-01-07,HV,grass,好,1000,331,03,連連幸運,2,2,3,33.53,33.81,-1.84,23.21,2.21,57.02,0.37,5 3 3,好好戀愛,手到齊來,連連幸運,黃智弘,黃智弘 (-5),3,118,133
2026-02-04,HV,grass,好/快,1000,410,02,連連幸運,2,2,8,33.4,33.72,-1.93,22.64,1.64,56.36,-0.29,3 2 2,燭光晚餐,連連幸運,好好戀愛,黃智弘,黃智弘 (-5),3,123,133
