日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-06-15,ST,grass,軟,1200,756,08,富貴駒,7,7,6,47.37,48.09,1.44,24.94,2.59,73.03,4.03,6 6 8,龍之輝,駿奕快車,維港激流,巴度,潘明輝,3,120,125
2024-07-10,HV,grass,好/快,1000,819,09,富貴駒,7,7,7,33.18,34.3,-1.35,23.52,2.52,57.82,1.17,9 8 9,巴薩諾瓦,紅逸舍,年少多好,湯普新,潘明輝,3,120,125
2025-01-15,HV,grass,好,1000,351,12,富貴駒,7,7,8,34.07,35.31,-0.59,22.99,1.69,58.3,1.1,11 11 12,勝萬金,知道長勝,萬眾開心,艾道拿,潘明輝,4,135,125
2025-02-16,ST,grass,好/快,1400,430,10,富貴駒,7,7,3,57.79,58.55,-0.05,23.96,0.56,82.51,0.51,7 8 9 10,鐵金剛,博愛先鋒,勝得福,湯普新,潘明輝,4,133,125
2025-03-09,ST,grass,好/快,1400,490,13,富貴駒,7,7,9,58.33,59.41,0.81,24.59,1.19,84.0,2.0,14 14 13 13,豐辰,威武年代,嘉應巨昇,麥當能,潘明輝,4,132,125
2025-03-30,ST,grass,好,1400,550,13,富貴駒,7,7,11,57.81,59.93,1.33,23.61,0.21,83.54,1.54,13 14 14 13,南區之星,開心宇宙,劍無名,湯普新,潘明輝,4,129,125
2025-04-09,HV,grass,好/快,1200,577,07,富貴駒,7,7,7,46.34,47.02,-0.18,23.29,0.59,70.31,0.41,10 10 7,紫荊歡呼,凝聚美麗,酷霸王,潘明輝,潘明輝,4,126,125
2025-04-30,HV,grass,好/快,1200,633,06,富貴駒,7,7,5,46.05,46.97,-0.23,23.03,0.33,70.0,0.1,9 7 6,廚神,幸運旅程,獵寶勤,田泰安,潘明輝,4,123,125
2025-05-14,HV,grass,好/快,1200,674,12,富貴駒,7,7,4,46.33,47.21,0.01,23.52,0.82,70.73,0.83,9 9 12,天外迎天,翹峯,心裡有數,潘明輝,潘明輝,4,122,125
2025-05-28,HV,grass,好/快,1200,713,12,富貴駒,7,7,10,46.36,47.24,0.04,23.55,0.85,70.79,0.89,12 11 12,競駿非凡,好節拍,加州得力,田泰安,潘明輝,4,120,125
2025-11-12,HV,grass,好,1200,171,09,富貴駒,7,7,11,45.92,46.92,-0.43,23.72,0.97,70.64,0.54,11 10 9,東方寶寶,同喜,皇金合,奧爾民,潘明輝,5,134,125
2025-12-03,HV,grass,好,1000,227,11,富貴駒,7,7,2,34.03,34.87,-1.08,22.84,1.44,57.71,0.36,10 10 11,友得盈,賢心星,有心意,奧爾民,潘明輝,5,132,125
2026-01-01,ST,grass,好,1200,305,05,富貴駒,7,7,7,46.48,47.0,-0.15,23.09,0.69,70.09,0.54,8 6 5,同喜,首駿,金快飛飛,潘明輝,潘明輝,5,129,125
2026-01-21,ST,dirt,好,1200,365,12,富貴駒,7,7,12,45.94,46.74,-0.26,24.47,2.12,71.21,1.86,9 10 12,魅力星,銳一,銀亮濠俠,奧爾民,潘明輝,5,127,125
