日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2023-10-22,ST,grass,好,1200,102,05,快馬加鞭,12,3,8,45.98,46.94,0.04,23.01,0.56,69.95,0.6,12 13 5,電訊龍駒,寶麗生輝,嘉應喝彩,賀銘年,班德禮,4,122,117
2023-11-26,ST,grass,好,1400,200,12,快馬加鞭,12,3,4,59.75,60.07,1.47,23.54,0.14,83.61,1.61,6 5 5 12,時尚歡欣,佳福駒,時時稱心,賀銘年,班德禮,4,120,117
2024-01-07,ST,grass,好,1200,316,05,快馬加鞭,12,3,2,46.11,46.59,-0.31,23.62,1.17,70.21,0.86,8 5 5,福國寶,仁心星,手機錶霸,巴度,班德禮,4,117,117
2024-01-28,ST,grass,好,1200,371,06,快馬加鞭,12,3,11,47.0,47.88,0.98,22.71,0.26,70.59,1.24,12 11 6,高進明駒,忠誠寶寶,獨步天下,巴度,班德禮,4,116,117
2024-02-12,ST,grass,好,1400,408,06,快馬加鞭,12,3,6,58.4,59.08,0.13,24.04,0.69,83.12,0.82,11 10 6 6,荃程路通,綠族威,美麗多盈,潘頓,班德禮,5,134,117
2024-03-06,HV,grass,好,1200,475,11,快馬加鞭,12,3,10,47.29,48.65,1.3,23.48,0.73,72.13,2.03,9 8 11,上校,競駿天下,怪獸豪俠,布文,班德禮,5,133,117
2024-05-15,HV,grass,好,1200,666,02,快馬加鞭,12,3,5,47.22,47.66,0.31,22.82,0.07,70.48,0.38,6 6 2,日新月著,快馬加鞭,鼓浪精綵,田泰安,班德禮,5,130,117
2024-06-15,ST,grass,黏,1200,752,07,快馬加鞭,12,3,5,47.52,47.92,0.77,23.81,1.41,71.73,2.18,6 5 7,智勝攻略,上校,可愛新星,田泰安,班德禮,5,130,117
2024-07-06,ST,dirt,好,1200,803,01,快馬加鞭,12,3,10,45.98,46.42,-0.58,23.37,1.02,69.79,0.44,4 6 1,快馬加鞭,錢途光明,連連勝利,蔡明紹,班德禮,5,130,117
2024-09-15,ST,dirt,好,1200,024,04,快馬加鞭,12,3,5,46.06,47.1,0.25,22.6,0.5,69.7,0.75,6 8 4,勁先生,新強福盈,寶麗生輝,鍾易禮,班德禮,4,114,117
