日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2023-09-27,HV,grass,好/快,1200,052,02,佳運發,7,1,6,46.44,46.44,-0.76,23.21,0.51,69.65,-0.25,1 1 2,幸運之神,佳運發,宏才,希威森,黃智弘 (-5),4,127,126
2023-10-11,HV,grass,好,1200,079,06,佳運發,7,1,1,46.13,46.41,-0.79,24.26,1.56,70.67,0.77,4 3 6,財駿,金哥兒,至尊高飛,潘頓,黃智弘 (-5),4,129,126
2023-11-05,ST,grass,好,1200,139,04,佳運發,7,1,4,45.56,45.88,-1.02,23.7,1.25,69.58,0.23,3 3 4,我為您,大利好運,戰鬥英雄,希威森,黃智弘 (-5),4,133,126
2023-11-19,ST,grass,好,1200,178,08,佳運發,7,1,9,45.69,45.89,-1.01,24.12,1.67,70.01,0.66,2 2 8,精算暴雪,龍城強將,華麗再勝,希威森,黃智弘 (-5),4,128,126
2024-02-25,ST,grass,好,1200,450,04,佳運發,7,1,11,46.34,46.66,-0.24,23.4,0.95,70.06,0.71,3 5 4,龍之輝,增強,新力好,田泰安,黃智弘 (-5),4,130,126
2024-03-16,ST,grass,好,1200,508,02,佳運發,7,1,12,46.25,46.33,-0.57,23.42,0.97,69.75,0.4,2 2 2,快狠準,佳運發,新力,班德禮,黃智弘 (-5),4,127,126
2024-03-31,ST,grass,好,1200,548,02,佳運發,7,1,11,46.22,46.46,-0.44,23.64,1.19,70.1,0.75,3 3 2,大才,佳運發,勇霸龍,楊明綸,黃智弘 (-5),4,126,126
2024-04-14,ST,grass,好/快,1200,584,02,佳運發,7,1,7,46.98,46.98,0.08,22.07,-0.38,69.05,-0.3,1 1 2,魯班精神,佳運發,揚揚大道,楊明綸,黃智弘 (-5),4,127,126
2024-05-11,ST,grass,好/快,1200,660,01,佳運發,7,1,2,46.67,46.67,-0.23,22.49,0.04,69.16,-0.19,2 1 1,佳運發,安康萬里,全城帶勝,楊明綸,黃智弘 (-5),4,128,126
2024-06-02,ST,grass,好,1200,715,02,佳運發,7,1,1,46.67,46.67,-0.23,22.65,0.2,69.32,-0.03,1 1 2,獎金大少,佳運發,水龍頭,楊明綸,黃智弘 (-5),4,135,126
2024-06-15,ST,grass,軟,1200,755,11,佳運發,7,1,10,46.26,46.86,-0.04,24.96,2.51,71.82,2.47,3 6 11,旭日昇,極速贏,天天耍樂,黃智弘,黃智弘 (-5),4,128,126
2024-09-08,ST,grass,好,1200,010,11,佳運發,7,1,4,46.17,46.33,-0.32,23.1,0.75,69.43,0.43,3 3 11,華麗再勝,輝煌精英,旭日昇,楊明綸,黃智弘 (-5),3,115,126
2024-09-28,ST,grass,好,1200,062,03,佳運發,7,1,10,46.24,46.4,-0.5,23.13,0.68,69.53,0.18,1 2 3,哈羅威,熾烈神駒,佳運發,楊明綸,黃智弘 (-5),4,135,126
2024-10-13,ST,grass,好/快,1200,097,01,佳運發,7,1,10,46.54,46.54,-0.36,22.35,-0.1,68.89,-0.46,2 1 1,佳運發,勇冠群英,富國兄弟,黃寶妮,黃智弘 (-5),4,125,126
2024-11-03,ST,grass,好/快,1200,154,09,佳運發,7,1,6,46.24,46.68,0.03,22.92,0.57,69.6,0.6,4 5 9,輝煌精英,愛馬善,展雄威,黃寶妮,黃智弘 (-5),3,116,126
2024-12-15,ST,grass,好,1200,267,04,佳運發,7,1,5,47.31,47.31,0.66,22.7,0.35,70.01,1.01,2 1 4,駿步騰飛,喵喵怪,英勇快車,黃寶妮,黃智弘 (-5),3,116,126
2025-01-01,ST,grass,好,1000,310,05,佳運發,7,1,3,33.8,34.28,-1.02,22.4,1.8,56.68,0.78,4 6 5,嫡愛心,魔術控制,美麗第一,楊明綸,黃智弘 (-5),0,115,126
2025-01-12,ST,grass,好,1200,344,10,佳運發,7,1,9,46.19,46.31,-0.34,23.5,1.15,69.81,0.81,2 3 10,真心傳奇,運高八斗,競駿先鋒,黃寶妮,黃智弘 (-5),3,116,126
2025-01-26,ST,grass,好,1000,384,11,佳運發,7,1,5,34.25,34.69,-1.11,23.63,2.98,58.32,1.87,5 9 11,會長之寶,翠紅,飛來閃耀,黃智弘,黃智弘 (-5),3,118,126
2025-02-19,HV,grass,好,1200,445,10,佳運發,7,1,12,46.77,46.89,-0.16,24.05,1.5,70.94,1.34,2 2 10,得道猴王,椒椒醒,實力加,楊明綸,黃智弘 (-5),3,123,126
2025-02-26,HV,grass,好,1000,465,11,佳運發,7,1,11,33.31,35.11,-0.54,22.3,1.3,57.41,0.76,11 11 11,紅逸舍,年少多好,人和家興,希威森,黃智弘 (-5),3,117,126
2025-03-15,ST,grass,好/黏,1200,512,11,佳運發,7,1,4,47.29,47.41,0.76,25.66,3.31,73.07,4.07,2 2 11,健康快車,增強,魯班精神,楊明綸,黃智弘 (-5),3,121,126
2025-05-25,ST,grass,好,1200,698,04,佳運發,7,1,6,45.42,45.86,-1.04,23.98,1.53,69.84,0.49,3 3 4,金創福威,白鷺金剛,發光發亮,黃智弘,黃智弘 (-5),4,127,126
2025-06-22,ST,grass,好,1200,769,04,佳運發,7,1,12,46.86,47.1,0.2,22.88,0.43,69.98,0.63,3 2 4,魯班精神,八駿福昇,綫路光驊,霍宏聲,黃智弘 (-5),4,132,126
2025-07-13,ST,grass,好/快,1200,830,03,佳運發,7,1,5,45.83,46.39,-0.51,23.0,0.55,69.39,0.04,4 3 3,亨驥,藍爵爺,佳運發,黃寶妮,黃智弘 (-5),4,122,126
2025-09-07,ST,grass,好,1200,006,09,佳運發,7,1,1,46.03,46.03,-0.87,23.59,1.14,69.62,0.27,2 1 9,辣得準,錶之極光,白鷺金剛,黃寶妮,黃智弘 (-5),4,121,126
