日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-01-07,ST,grass,好,1200,316,02,仁心星,6,2,10,46.11,46.95,0.05,23.1,0.65,70.05,0.7,12 13 2,福國寶,仁心星,手機錶霸,班德禮,黃智弘 (-5),4,127,122
2024-02-04,ST,grass,好,1400,391,03,仁心星,6,2,14,59.49,60.05,1.45,23.11,-0.29,83.16,1.16,8 9 8 3,勝利神駒,機緣醉夢,仁心星,布文,黃智弘 (-5),4,129,122
2024-03-03,ST,grass,好,1200,470,01,仁心星,6,2,13,46.8,46.8,-0.1,23.37,0.92,70.17,0.82,2 2 1,仁心星,讓愛高飛,德心知遇,薛恩,黃智弘 (-5),4,129,122
2024-03-24,ST,grass,好,1400,523,06,仁心星,6,2,12,58.88,59.4,0.8,22.9,-0.5,82.3,0.3,6 8 6 6,獨步天下,綠族威,金勝名駒,薛恩,黃智弘 (-5),4,135,122
2024-04-20,ST,grass,好,1400,607,01,仁心星,6,2,11,58.54,58.54,0.04,23.64,0.49,82.18,0.53,1 1 1 1,仁心星,潮州精神,手機錶霸,楊明綸,黃智弘 (-5),3,117,122
2024-05-19,ST,grass,好,1400,684,05,仁心星,6,2,5,58.27,58.27,-0.23,24.16,1.01,82.43,0.78,2 2 1 5,手機錶霸,陽光勇士,滿歡笑,楊明綸,黃智弘 (-5),3,123,122
2025-01-31,ST,grass,好,1600,395,02,仁心星,6,2,5,73.21,73.45,2.55,22.28,-1.52,95.73,1.03,3 3 5 2,帥帥友福,仁心星,銀亮奔騰,布文,黃智弘 (-5),3,124,122
2025-02-16,ST,grass,好/快,1600,437,01,仁心星,6,2,11,71.11,71.15,0.25,22.63,-1.17,93.78,-0.92,2 2 2 1,仁心星,天將龍駒,不同世界,布文,黃智弘 (-5),3,126,122
2025-03-09,ST,grass,好/快,1800,494,05,仁心星,6,2,6,83.87,83.87,-0.08,23.39,0.04,107.26,-0.04,1 1 1 1 5,有目共賞,但求開心,喜蓮勇感,希威森,黃智弘 (-5),2,117,122
2025-03-23,ST,grass,好/快,1800,533,11,仁心星,6,2,7,82.9,83.1,-0.4,24.56,0.56,107.66,0.16,4 4 4 3 11,包裝明駒,安可,金勝名駒,布文,黃智弘 (-5),3,127,122
2025-04-30,HV,grass,好/快,1650,637,08,仁心星,6,2,2,75.12,75.12,-0.53,24.54,0.29,99.66,-0.24,1 1 1 8,有財有勢,非凡豪傑,駟跑得,布文,黃智弘 (-5),3,135,122
2025-10-12,ST,grass,好,1400,094,01,仁心星,6,2,13,57.23,57.23,-1.27,23.88,0.73,81.11,-0.54,2 2 1 1,仁心星,勇冠群英,天福,黃智弘,黃智弘 (-5),3,126,122
2025-10-26,ST,grass,好/快,1600,128,10,仁心星,6,2,13,70.05,70.05,-0.75,23.49,0.04,93.54,-0.71,4 1 1 10,睿盛人生,遙遙領先,桃花開,楊明綸,黃智弘 (-5),2,115,122
2025-11-12,HV,grass,好/快,1650,178,02,仁心星,6,2,9,74.48,74.72,-0.78,23.88,0.08,98.6,-0.7,3 3 3 2,大浪圖田,仁心星,太陽勇士,班德禮,黃智弘 (-5),2,121,122
2025-11-30,ST,grass,好,1600,223,04,仁心星,6,2,3,70.66,70.94,0.14,23.41,-0.04,94.35,0.1,5 5 6 4,康樂高球,太陽勇士,遙遙領先,巴度,黃智弘 (-5),2,117,122
2025-12-10,HV,grass,好,1800,253,05,仁心星,6,2,3,85.83,86.43,1.48,23.06,-1.14,109.49,0.34,3 5 7 7 5,喜蓮勇感,非惟僥倖,數字天文,李寶利,黃智弘 (-5),2,124,122
2026-02-22,ST,grass,好,1400,465,06,仁心星,6,2,14,58.22,58.34,-0.16,23.01,-0.14,81.35,-0.3,2 2 2 6,極上紗瓏,確好勁,哈羅威,黃智弘,黃智弘 (-5),3,130,122
