日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2025-01-22,HV,grass,好,1200,369,04,友得盈,7,9,4,46.67,46.99,-0.21,23.34,0.64,70.33,0.43,4 4 4,泰泰精神,千杯敬典,運來伍寶,霍宏聲,何澤堯,4,127,121
2025-02-19,HV,grass,好,1200,439,05,友得盈,7,9,2,46.13,46.41,-0.79,23.7,1.0,70.11,0.21,3 3 5,智勝攻略,多利神駒,有鴻利,霍宏聲,何澤堯,4,127,121
2025-03-12,HV,grass,好/快,1200,499,06,友得盈,7,9,1,45.94,45.94,-1.26,23.97,1.27,69.91,0.01,1 1 6,紅愛舍,獵寶勤,城中勇士,霍宏聲,何澤堯,4,128,121
2025-04-20,ST,dirt,好,1200,603,10,友得盈,7,9,8,45.27,46.63,-0.22,24.08,1.98,70.71,1.76,8 9 10,實力哥,天天耍樂,機械騎士,霍宏聲,何澤堯,4,125,121
2025-06-04,HV,grass,好/黏,1200,730,10,友得盈,7,9,6,46.44,46.76,-0.44,25.03,2.33,71.79,1.89,7 4 10,有鴻利,星火燎原,皇帝英明,霍宏聲,何澤堯,4,124,121
2025-06-25,HV,grass,好/快,1200,779,08,友得盈,7,9,5,46.27,46.71,-0.49,23.82,1.12,70.53,0.63,6 7 8,好節拍,新力,輕功猛男,班德禮,何澤堯,4,121,121
2025-07-16,HV,grass,好/快,1200,843,06,友得盈,7,9,8,46.11,46.11,-1.09,23.76,1.06,69.87,-0.03,1 1 6,智勝攻略,可靠大師,鴻圖新星,班德禮,何澤堯,4,120,121
2025-09-17,HV,grass,好,1000,029,02,友得盈,7,9,6,34.13,34.25,-1.7,22.91,1.51,57.16,-0.19,2 2 2,銀刺勇士,友得盈,天火同心,潘頓,何澤堯,5,135,121
2025-10-15,HV,grass,好/快,1200,098,06,友得盈,7,9,5,46.84,47.0,-0.2,23.68,0.98,70.68,0.78,3 3 6,皇帝英豪,雷神太保,至合拍,楊明綸,何澤堯,4,118,121
2025-10-22,HV,grass,好,1000,114,09,友得盈,7,9,10,33.66,33.98,-1.92,23.69,2.39,57.67,0.47,3 4 9,凝聚美麗,精算奕然,精益大師,楊明綸,何澤堯,4,118,121
2025-12-03,HV,grass,好,1000,227,01,友得盈,7,9,10,34.03,34.23,-1.72,22.75,1.35,56.98,-0.37,3 3 1,友得盈,賢心星,有心意,潘頓,何澤堯,5,134,121
2026-01-04,ST,grass,好,1000,315,06,友得盈,7,9,2,33.87,34.35,-1.55,23.22,2.47,57.57,0.92,9 11 6,俏眼光,拉合爾,烈焰光芒,周俊樂,何澤堯,4,121,121
2026-01-28,HV,grass,好/快,1000,388,09,友得盈,7,9,12,34.0,34.56,-1.34,22.92,1.62,57.48,0.28,6 8 9,合夥飛馳,凝聚美麗,品德寶寶,班德禮,何澤堯,4,120,121
