日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-10-30,HV,grass,好,1200,141,03,決一劍,3,7,8,46.52,46.8,-0.4,23.47,0.77,70.27,0.37,3 3 3,添喜運,加州得力,決一劍,霍宏聲,周俊樂 (-2),4,127,129
2024-11-27,HV,grass,好,1200,216,01,決一劍,3,7,7,46.16,46.24,-0.96,23.76,1.06,70.0,0.1,1 2 1,決一劍,至合拍,北地烈馬,霍宏聲,周俊樂 (-2),4,128,129
2024-12-11,HV,grass,好,1200,253,10,決一劍,3,7,10,46.47,46.67,-0.53,24.25,1.55,70.92,1.02,3 3 10,囍眼光,綠族威,健康心靈,霍宏聲,周俊樂 (-2),4,133,129
2025-01-12,ST,grass,好,1400,341,12,決一劍,3,7,3,58.53,59.01,0.41,24.2,0.8,83.21,1.21,5 5 7 12,至尊高超,幸運芙蓉,衝上雲霄,霍宏聲,周俊樂 (-2),4,134,129
2025-04-16,HV,grass,好/快,1200,598,01,決一劍,3,7,4,46.11,46.63,-0.57,23.29,0.59,69.92,0.02,5 6 1,決一劍,光輝所願,洛河,霍宏聲,周俊樂 (-2),4,134,129
2025-05-07,HV,grass,好,1200,658,07,決一劍,3,7,11,45.92,46.72,-0.33,23.63,1.08,70.35,0.75,9 8 7,飲杯,安康萬里,無限美麗,艾兆禮,周俊樂 (-2),3,119,129
2025-06-04,HV,grass,好/黏,1200,733,04,決一劍,3,7,9,46.03,47.19,0.14,23.56,1.01,70.75,1.15,11 10 4,風雲武士,勇霸龍,日馳千里,巴度,周俊樂 (-2),3,123,129
2025-06-11,HV,grass,好/快,1200,755,06,決一劍,3,7,6,45.86,46.58,-0.47,23.15,0.6,69.73,0.13,9 9 6,雪勇神駒,金牌活力,廚神,艾兆禮,周俊樂 (-2),3,119,129
2025-10-12,ST,dirt,濕慢,1200,092,04,決一劍,3,7,11,45.24,45.24,-1.26,24.09,2.04,69.33,0.78,2 1 4,勁先生,熾烈神駒,日馳千里,蔡明紹,周俊樂 (-2),3,118,129
2025-10-30,ST,dirt,好,1200,139,09,決一劍,3,7,9,45.57,46.49,-0.01,23.91,1.86,70.4,1.85,9 9 9,時尚風趣,肯佩斯,天天耍樂,希威森,周俊樂 (-2),3,117,129
2025-11-26,HV,grass,好/快,1200,211,04,決一劍,3,7,10,46.36,46.52,-0.68,23.75,1.05,70.27,0.37,3 2 4,廚神,勇威神駒,飛騰騅,霍宏聲,周俊樂 (-2),4,135,129
2025-12-23,HV,grass,好,1200,288,06,決一劍,3,7,10,45.57,46.17,-1.03,23.72,1.02,69.89,-0.01,7 6 6,加州本事,寶成智好,心裡有數,霍宏聲,周俊樂 (-2),4,135,129
2026-01-07,HV,grass,好,1200,328,06,決一劍,3,7,10,47.32,48.08,0.88,23.11,0.41,71.19,1.29,10 12 6,良駒好友,巴閉哥,祥勝力駒,霍宏聲,周俊樂 (-2),4,135,129
2026-02-04,HV,grass,好/快,1200,406,06,決一劍,3,7,3,46.28,46.96,-0.24,22.88,0.18,69.84,-0.06,6 7 6,維港激流,良駒好友,踏雪尋梅,布文,周俊樂 (-2),4,135,129
