日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-10-01,ST,grass,好/快,1200,068,11,午夜快車,9,3,8,46.15,47.11,0.21,24.27,1.82,71.38,2.03,8 9 11,增強,手錶之星,綫路光驊,楊明綸,金誠剛,4,132,122
2025-01-08,HV,grass,好,1200,329,06,午夜快車,9,3,8,46.5,47.18,-0.02,23.51,0.81,70.69,0.79,8 8 6,運來伍寶,金匯昇昇,越駿知己,梁家俊,金誠剛,4,127,122
2025-01-31,ST,grass,好,1200,388,11,午夜快車,9,3,5,46.1,46.9,0.0,23.45,1.0,70.35,1.0,11 11 11,馬鳳凰,挺秀騰飛,前衛火影,薛恩,金誠剛,4,128,122
2025-03-19,HV,grass,好/快,1000,520,07,午夜快車,9,3,5,33.74,34.46,-1.44,22.77,1.47,57.23,0.03,10 8 7,辣得金,勝萬金,鄉村樂韻,湯普新,金誠剛,4,124,122
2025-04-13,ST,grass,好,1400,587,10,午夜快車,9,3,3,57.56,57.96,-0.64,24.67,1.27,82.63,0.63,5 4 3 10,暴風之子,哈羅威,飛躍成就,梁家俊,金誠剛,4,123,122
2025-06-11,HV,grass,好/快,1200,753,07,午夜快車,9,3,8,46.83,47.87,0.67,23.03,0.33,70.9,1.0,10 10 7,光輝所願,運來伍寶,新力,湯普新,金誠剛,4,120,122
2025-07-16,HV,grass,好/快,1200,841,08,午夜快車,9,3,6,45.63,46.23,-0.97,23.77,1.07,70.0,0.1,10 8 8,星火燎原,星辰千帥,一生好彩,湯普新,金誠剛,4,118,122
2025-09-14,ST,grass,好/快,1400,019,12,午夜快車,9,3,9,58.28,58.96,0.01,23.48,0.13,82.44,0.14,12 11 12 12,美神來,綫路萬里,威威父子,艾道拿,金誠剛,5,135,122
2025-10-04,ST,dirt,好,1650,066,02,午夜快車,9,3,8,74.67,74.99,-0.46,24.64,0.64,99.63,0.18,7 5 3 2,精明選擇,午夜快車,爆熱,艾道拿,金誠剛,5,133,122
2025-10-30,ST,dirt,好,1650,133,01,午夜快車,9,3,9,76.5,76.7,1.25,24.83,0.83,101.53,2.08,6 5 5 1,午夜快車,魔法速遞,領創動力,艾道拿,金誠剛,5,134,122
2025-11-15,ST,dirt,好,1650,184,05,午夜快車,9,3,2,74.37,74.89,-0.36,24.66,0.86,99.55,0.5,7 7 8 5,奮鬥心,加州星馳,巧眼光,艾道拿,金誠剛,4,121,122
2025-12-27,ST,dirt,好,1650,299,06,午夜快車,9,3,2,76.08,76.48,1.23,23.7,-0.1,100.18,1.13,4 5 4 6,巧眼光,川河型駒,精明選擇,班德禮,金誠剛,4,120,122
2026-01-21,ST,dirt,好,1650,371,02,午夜快車,9,3,4,74.2,74.4,-0.85,24.18,0.38,98.58,-0.47,3 3 2 2,巧眼光,午夜快車,加州星馳,紀仁安,金誠剛,4,120,122
2026-02-14,ST,dirt,好,1650,439,09,午夜快車,9,3,4,74.25,74.61,-0.64,24.63,0.83,99.24,0.19,5 5 7 9,加州星馳,開心宇宙,風起雲湧,希威森,金誠剛,4,120,122
