日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2023-10-18,HV,grass,黏,1650,097,06,極速滿貫,6,4,5,76.83,77.43,1.58,25.86,1.61,103.29,3.19,6 6 8 6,美麗攻略,勁叻仔,大登殿,梁家俊,奧爾民,4,121,127
2023-11-08,HV,grass,好,1650,152,03,極速滿貫,6,4,9,75.78,76.3,0.45,24.35,0.1,100.65,0.55,9 9 8 3,威武勇駒,武林至尊,極速滿貫,希威森,奧爾民,4,120,127
2023-12-06,HV,grass,好,1650,227,09,極速滿貫,6,4,6,77.36,78.04,2.19,24.38,0.13,102.42,2.32,9 9 9 9,獨角獸,赤兔猴王,得意佳作,金美琪,奧爾民,4,118,127
2023-12-20,HV,grass,好,1650,266,01,極速滿貫,6,4,2,77.57,78.01,2.16,23.58,-0.67,101.59,1.49,8 8 6 1,極速滿貫,赤兔猴王,極速奇兵,潘頓,奧爾民,4,120,127
2024-01-10,HV,grass,好,1650,326,08,極速滿貫,6,4,2,77.13,77.81,1.96,23.73,-0.52,101.54,1.44,6 6 6 8,極速奇兵,開心勇駒,成才,梁家俊,奧爾民,4,123,127
2024-01-31,HV,grass,好,1650,383,08,極速滿貫,6,4,1,77.0,77.96,2.11,23.89,-0.36,101.85,1.75,9 9 10 8,大千氣象,得意佳作,美麗歡聲,鍾易禮,奧爾民,4,119,127
2024-02-15,HV,grass,好,1650,419,04,極速滿貫,6,4,11,77.05,77.85,2.0,23.65,-0.6,101.5,1.4,12 12 10 4,勝益善,赤馬雄風,美麗歡聲,鍾易禮,奧爾民,4,119,127
2024-03-06,HV,grass,好,1800,477,07,極速滿貫,6,4,10,85.86,86.74,1.44,25.06,0.71,111.8,2.15,11 10 10 9 7,華卓晴,八駿笑昇,飛馬將軍,蔡明紹,奧爾民,4,123,127
2024-03-27,HV,grass,好,1650,532,09,極速滿貫,6,4,5,77.55,78.27,2.42,23.32,-0.93,101.59,1.49,8 9 10 9,勇進齊心,冠寶駒,同寶寶,希威森,奧爾民,4,120,127
2024-04-17,HV,grass,好,1650,596,08,極速滿貫,6,4,2,76.76,77.28,1.43,24.79,0.54,102.07,1.97,6 6 5 8,都靈勇士,銀進,駟跑得,班德禮,奧爾民,4,119,127
2024-05-01,HV,grass,好/黏,1650,632,04,極速滿貫,6,4,9,75.69,76.41,0.56,24.71,0.46,101.12,1.02,8 8 8 4,銀進,富喜來,包裝至善,鍾易禮,奧爾民,4,111,127
2024-05-15,HV,grass,好,1650,669,01,極速滿貫,6,4,3,76.43,77.15,1.1,23.76,-0.49,100.91,0.61,8 10 9 1,極速滿貫,最佳拍檔,勝利同盟,潘頓,奧爾民,5,135,127
2024-05-22,HV,grass,好,1650,689,06,極速滿貫,6,4,6,75.2,75.8,-0.05,25.48,1.23,101.28,1.18,7 9 10 6,龍船快,金德義,架勢奇爸,班德禮,奧爾民,4,127,127
2024-09-11,HV,grass,好,1200,013,08,極速滿貫,6,4,1,46.87,47.83,0.63,23.8,1.1,71.63,1.73,8 8 8,包裝猛將,夢幻駿駒,晨曦儷人,艾道拿,奧爾民,4,125,127
2024-10-09,HV,grass,好,1650,087,04,極速滿貫,6,4,2,75.33,75.97,0.12,24.88,0.63,100.85,0.75,6 6 5 4,勁好運,盈益善,武林至尊,艾道拿,奧爾民,4,127,127
2024-11-06,HV,grass,好,1650,160,05,極速滿貫,6,4,11,75.85,76.57,0.72,24.12,-0.13,100.69,0.59,8 9 10 5,大力猴王,得意佳作,北海盜,艾道拿,奧爾民,4,126,127
2024-11-27,HV,grass,好,1650,214,07,極速滿貫,6,4,1,77.37,77.69,1.84,23.83,-0.42,101.52,1.42,6 6 7 7,都靈勇士,美麗歡聲,經典時代,布文,奧爾民,4,126,127
2024-12-26,HV,grass,好,1650,291,01,極速滿貫,6,4,9,75.4,76.0,0.15,23.45,-0.8,99.45,-0.65,8 8 7 1,極速滿貫,赤馬雄風,爆笑,巴度,奧爾民,4,120,127
2025-01-08,HV,grass,好,1650,333,11,極速滿貫,6,4,5,77.08,77.96,2.11,23.75,-0.5,101.71,1.61,10 11 10 11,風起雲湧,奮鬥輝煌,君智盛,巴度,奧爾民,4,127,127
2025-01-22,HV,grass,好,1650,370,11,極速滿貫,6,4,11,76.81,77.53,1.68,24.02,-0.23,101.55,1.45,9 11 11 11,奮鬥輝煌,紅海勁,滿心星,艾道拿,奧爾民,4,129,127
2025-02-12,ST,dirt,濕慢,1800,421,10,極速滿貫,6,4,14,86.8,88.24,3.34,26.24,2.59,114.48,5.93,12 12 11 12 10,飛騰騅,年年友福,本領非凡,蔡明紹,奧爾民,4,126,127
2025-03-12,HV,grass,好/快,1650,497,11,極速滿貫,6,4,5,75.16,76.24,0.39,24.29,0.04,100.53,0.43,11 11 11 11,寶成智星,魔法速遞,旌鷹,艾道拿,奧爾民,4,125,127
2025-04-02,HV,grass,好/快,1650,553,11,極速滿貫,6,4,9,74.82,75.82,-0.03,23.99,-0.26,99.81,-0.29,9 10 8 11,智勇名駒,香港神駒,盈好威楓,巴度,奧爾民,4,123,127
2025-04-09,HV,grass,好/快,1650,578,08,極速滿貫,6,4,12,75.08,75.68,-0.17,24.38,0.13,100.06,-0.04,11 12 11 8,領航天子,錶之量子,追風,鍾易禮,奧爾民,4,118,127
2025-04-23,HV,grass,好,1650,616,07,極速滿貫,6,4,7,75.29,76.37,0.52,23.7,-0.55,100.07,-0.03,10 10 11 7,天天得樂,綠色好景,滿心星,梁家俊,奧爾民,4,121,127
2025-05-21,HV,grass,好/快,1650,691,01,極速滿貫,6,4,2,75.6,76.2,0.35,23.8,-0.45,100.0,-0.1,7 9 7 1,極速滿貫,奮鬥心,美麗歡聲,希威森,奧爾民,4,117,127
2025-06-04,HV,grass,好/黏,1650,731,03,極速滿貫,6,4,3,76.54,77.18,1.33,24.53,0.28,101.71,1.61,7 8 7 3,龍文鞭影,川河首駒,極速滿貫,希威森,奧爾民,4,126,127
2025-06-25,HV,grass,好/快,1650,784,11,極速滿貫,6,4,12,76.24,77.12,1.27,24.15,-0.1,101.27,1.17,11 10 11 11,龍文鞭影,川河首駒,加州活力,巴度,奧爾民,4,123,127
2025-07-16,HV,grass,好/快,1200,843,11,極速滿貫,6,4,11,46.11,47.27,0.07,23.22,0.52,70.49,0.59,12 11 11,智勝攻略,可靠大師,鴻圖新星,鍾易禮,奧爾民,4,122,127
2025-09-10,HV,grass,好,1650,014,01,極速滿貫,6,4,6,75.55,76.03,0.18,24.39,0.14,100.42,0.32,7 7 6 1,極速滿貫,勁進駒,豐辰,巴度,奧爾民,4,123,127
2025-10-08,HV,grass,好/快,1650,079,11,極速滿貫,6,4,1,74.29,75.37,-0.48,24.62,0.37,99.99,-0.11,6 8 8 11,勁進駒,康昌之星,堅多福,巴度,奧爾民,4,128,127
2025-10-22,HV,grass,好,1650,118,08,極速滿貫,6,4,10,74.78,76.1,0.25,24.39,0.14,100.49,0.39,12 12 11 8,勁好運,古惑大師,先到先得,巴度,奧爾民,4,128,127
2026-01-28,HV,grass,好/快,1650,389,12,極速滿貫,6,4,12,74.24,75.56,-0.29,25.85,1.6,101.41,1.31,7 9 9 12,佳登,先到先得,祥勝將軍,麥文堅,奧爾民,4,128,127
2026-02-11,HV,grass,好/快,1650,427,08,極速滿貫,6,4,12,75.67,76.91,1.06,23.64,-0.61,100.55,0.45,12 12 12 8,創科群英,大千氣象,北海盜,巴度,奧爾民,4,129,127
