日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-03-31,ST,grass,好,1000,544,09,江南勇士,8,5,8,33.81,34.97,-0.93,22.36,1.61,57.33,0.68,14 14 9,勝利之皇,紅逸舍,輝煌精英,潘明輝,楊明綸,4,125,122
2024-04-20,ST,grass,好,1400,599,12,江南勇士,8,5,12,58.9,59.98,1.38,22.89,-0.51,82.87,0.87,8 14 13 12,新力好,陸知,無敵勇士,潘明輝,楊明綸,4,123,122
2024-05-05,ST,grass,好,1400,642,09,江南勇士,8,5,12,57.78,58.58,-0.02,23.94,0.54,82.52,0.52,7 9 10 9,美麗邂逅,勇霸龍,艾莉奧,董明朗,楊明綸,4,124,122
2024-06-05,HV,grass,好/黏,1650,728,12,江南勇士,8,5,10,77.08,78.56,2.71,26.36,2.11,104.92,4.82,10 12 12 12,北海盜,紅海勁,信心星,巫顯東,楊明綸,4,122,122
2024-07-04,HV,grass,好,1650,797,07,江南勇士,8,5,9,75.55,76.59,0.74,24.0,-0.25,100.59,0.49,12 11 10 7,北海盜,雙贏,紅海勁,何澤堯,楊明綸,4,120,122
2024-07-10,HV,grass,好/快,1650,814,02,江南勇士,8,5,7,76.63,77.15,1.3,22.95,-1.3,100.1,0.0,6 6 6 2,勇晉當銳,江南勇士,逐步贏,潘頓,楊明綸,4,120,122
2024-09-11,HV,grass,好,1650,016,01,江南勇士,8,5,10,75.86,76.66,0.81,24.41,0.16,101.07,0.97,9 8 8 1,江南勇士,赤馬雄風,領創動力,何澤堯,楊明綸,4,121,122
2024-09-25,HV,grass,好,1650,052,06,江南勇士,8,5,1,76.29,76.45,0.6,24.17,-0.08,100.62,0.52,4 4 3 6,黑桃火箭,勁好運,魔法速遞,何澤堯,楊明綸,4,127,122
2024-11-03,ST,grass,好/快,1400,152,10,江南勇士,8,5,12,58.5,59.54,0.94,23.16,-0.24,82.7,0.7,13 14 14 10,昭易搵,一定掂,卓越蒨鋒,霍宏聲,楊明綸,4,127,122
2024-11-24,ST,grass,好,1600,207,01,江南勇士,8,5,3,69.9,70.34,-0.76,23.81,0.01,94.15,-0.75,7 5 4 1,江南勇士,昭易搵,連連歡呼,楊明綸,楊明綸,4,129,122
2025-01-01,ST,grass,好,1600,313,03,江南勇士,8,5,9,72.15,72.59,1.49,23.08,-0.72,95.67,0.77,10 8 6 3,保羅傳奇,昭易搵,江南勇士,楊明綸,楊明綸,4,133,122
2025-01-19,ST,grass,好,1600,358,10,江南勇士,8,5,12,70.34,70.78,-0.32,24.92,1.12,95.7,0.8,8 7 5 10,金主,卓越蒨鋒,勁大威猛,麥道朗,楊明綸,4,134,122
2025-02-23,ST,grass,好,1600,452,05,江南勇士,8,5,1,70.75,71.07,-0.03,23.62,-0.18,94.69,-0.21,4 3 3 5,英駿飛駒,東方飛影,金主,楊明綸,楊明綸,4,134,122
2025-04-06,ST,grass,好,1600,565,02,江南勇士,8,5,3,71.38,71.74,0.64,23.15,-0.65,94.89,-0.01,4 3 3 2,開心五月,江南勇士,東方飛影,楊明綸,楊明綸,4,132,122
2025-04-27,ST,grass,好,1800,620,11,江南勇士,8,5,9,84.27,84.99,1.34,24.63,0.43,109.62,1.77,6 7 7 11 11,青春力量,爆出美麗,東方飛影,莫雷拉,楊明綸,4,135,122
2025-06-08,ST,grass,好/快,1600,740,09,江南勇士,8,5,13,71.75,71.75,0.65,24.05,0.25,95.8,0.9,2 2 1 9,平海之星,準輝煌,彭玥,楊明綸,楊明綸,4,135,122
2025-07-13,ST,grass,好/快,1600,832,11,江南勇士,8,5,8,70.62,71.18,0.08,24.41,0.61,95.59,0.69,2 5 6 11,開心宇宙,準輝煌,加州星皓,周俊樂,楊明綸,4,130,122
2025-10-12,ST,grass,好,1600,090,13,江南勇士,8,5,14,70.9,71.38,0.28,24.98,1.18,96.36,1.46,11 5 9 13,林寶精神,開心宇宙,彭玥,何澤堯,楊明綸,4,130,122
2025-11-02,HV,grass,好/快,1650,143,07,江南勇士,8,5,3,74.83,75.23,-0.62,24.49,0.24,99.72,-0.38,4 3 3 7,凡凡有餘,建測羣英,多利神駒,何澤堯,楊明綸,4,128,122
2025-11-19,HV,grass,好,1650,192,08,江南勇士,8,5,9,75.9,76.54,0.69,24.67,0.42,101.21,1.11,8 7 8 8,建測羣英,佳登,至高心得,何澤堯,楊明綸,4,126,122
2026-01-07,HV,grass,好,1650,327,09,江南勇士,8,5,1,74.88,75.48,-0.37,25.74,1.49,101.22,1.12,7 6 7 9,佳福駒,祥勝將軍,瑞祺威楓,楊明綸,楊明綸,4,124,122
2026-01-28,HV,grass,好/快,1650,389,06,江南勇士,8,5,2,74.24,75.12,-0.73,24.57,0.32,99.69,-0.41,6 6 6 6,佳登,先到先得,祥勝將軍,楊明綸,楊明綸,4,122,122
