日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-05-26,ST,grass,好,1200,702,05,盈妍威楓,5,8,1,46.48,46.88,0.23,22.31,-0.04,69.19,0.19,7 5 5,龍之輝,禾道小子,實力派,田泰安,班德禮,3,128,122
2024-06-15,ST,grass,軟,1200,756,07,盈妍威楓,5,8,4,47.37,48.41,1.76,24.0,1.65,72.41,3.41,10 10 7,龍之輝,駿奕快車,維港激流,田泰安,班德禮,3,127,122
2024-07-14,ST,grass,好,1400,831,03,盈妍威楓,5,8,14,58.24,58.64,0.14,23.19,0.04,81.83,0.18,7 7 6 3,手機錶霸,同樣美麗,盈妍威楓,田泰安,班德禮,3,126,122
2024-09-28,ST,grass,好,1400,064,01,盈妍威楓,5,8,12,58.22,58.3,-0.2,23.73,0.58,82.03,0.38,3 2 2 1,盈妍威楓,風繼續吹,非凡之星,潘頓,班德禮,3,128,122
2024-10-20,ST,grass,好/快,1400,120,03,盈妍威楓,5,8,12,58.45,58.53,0.03,23.36,0.21,81.89,0.24,3 2 2 3,堅又威,信心星,盈妍威楓,潘頓,班德禮,3,132,122
2024-11-03,ST,grass,好/快,1400,155,04,盈妍威楓,5,8,3,58.24,58.68,0.18,23.15,0.0,81.83,0.18,7 6 6 4,祝願,信心星,紫荊歡呼,潘頓,班德禮,3,132,122
2024-11-24,ST,grass,好/快,1600,211,06,盈妍威楓,5,8,2,70.88,71.16,0.26,23.71,-0.09,94.87,0.17,5 6 5 6,信心星,縱橫天下,金佰令,麥道朗,班德禮,3,131,122
2025-01-01,ST,grass,好,1600,317,07,盈妍威楓,5,8,10,71.84,72.0,1.1,23.34,-0.46,95.34,0.64,6 3 3 7,大浪圖田,遙遙領先,祝願,艾兆禮,班德禮,3,123,122
2025-01-19,ST,grass,好/快,1400,362,14,盈妍威楓,5,8,4,58.22,58.54,0.04,24.13,0.98,82.67,1.02,3 4 4 14,錶之宇宙,自力更生,光年魅力,薛恩,班德禮,3,128,122
2025-04-09,HV,grass,好/快,1200,580,10,盈妍威楓,5,8,10,46.36,47.36,0.31,22.76,0.21,70.12,0.52,10 10 10,金發盛世,風雲武士,鈁糖武士,潘明輝,班德禮,3,125,122
2025-05-21,HV,grass,好/快,1650,695,03,盈妍威楓,5,8,7,75.69,75.77,0.12,24.18,-0.07,99.95,0.05,3 3 2 3,納百川,久久為攻,盈妍威楓,梁家俊,班德禮,3,126,122
2025-06-11,HV,grass,好/快,1650,754,02,盈妍威楓,5,8,10,76.39,76.39,0.74,23.63,-0.62,100.02,0.12,1 1 1 2,時時精準,盈妍威楓,建測羣英,梁家俊,班德禮,3,127,122
2025-07-16,HV,grass,好/快,1650,845,10,盈妍威楓,5,8,7,74.19,74.51,-1.14,24.93,0.68,99.44,-0.46,3 2 3 10,智勇名駒,盈好威楓,大學生,梁家俊,班德禮,3,127,122
2025-10-01,ST,grass,好/快,1200,064,08,盈妍威楓,5,8,10,46.09,46.65,0.0,22.58,0.23,69.23,0.23,11 11 8,肯佩斯,哈羅威,帥帥友福,何澤堯,班德禮,3,123,122
2025-11-05,HV,grass,好/快,1200,158,03,盈妍威楓,5,8,5,45.83,46.71,-0.34,22.8,0.25,69.51,-0.09,8 8 3,至尊瑰寶,椒椒醒,盈妍威楓,班德禮,班德禮,3,126,122
2025-11-26,HV,grass,好/快,1200,216,02,盈妍威楓,5,8,3,46.42,46.98,-0.07,23.08,0.53,70.06,0.46,7 7 2,安康萬里,盈妍威楓,家樂龍駒,班德禮,班德禮,3,127,122
2025-12-27,ST,grass,好,1200,302,05,盈妍威楓,5,8,2,46.54,46.74,0.09,22.74,0.39,69.48,0.48,3 3 5,寶進,弦力寶,帥帥友福,希威森,班德禮,3,127,122
2026-01-11,ST,grass,好/快,1200,340,08,盈妍威楓,5,8,8,45.89,46.57,-0.08,22.63,0.28,69.2,0.2,7 7 8,競駿皇者,超寫意,星月飛雲,希威森,班德禮,3,125,122
