日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2023-10-22,ST,grass,好,1600,104,11,富喜來,11,8,12,72.03,72.23,1.13,23.74,-0.06,95.97,1.07,6 3 4 11,禪勝輝煌,將俠,唯美主義,董明朗,希威森,4,126,117
2023-11-26,ST,grass,好,1600,199,03,富喜來,11,8,4,71.15,71.83,0.73,23.41,-0.39,95.24,0.34,8 8 9 3,英駿飛駒,幸運雄威,富喜來,賀銘年,希威森,4,123,117
2023-12-26,ST,grass,好,1600,285,04,富喜來,11,8,4,71.18,71.86,0.76,23.62,-0.18,95.48,0.58,6 6 5 4,快路,豪堡,縱橫大進,賀銘年,希威森,4,124,117
2024-01-13,ST,grass,好,1600,338,06,富喜來,11,8,11,71.95,72.07,0.97,24.41,0.61,96.48,1.58,11 6 2 6,好勁力,艾莉奧,幸運雄威,艾道拿,希威森,4,124,117
2024-01-28,ST,grass,好,1600,373,02,富喜來,11,8,6,71.42,71.62,0.52,23.69,-0.11,95.31,0.41,3 5 5 2,時時稱心,富喜來,烈火駿馬,梁家俊,希威森,4,122,117
2024-02-15,HV,grass,好,1650,420,03,富喜來,11,8,9,77.44,78.36,2.51,23.21,-1.04,101.57,1.47,10 9 10 3,蟲草之凰,勇晉當銳,富喜來,梁家俊,希威森,4,123,117
2024-03-24,ST,grass,好/快,1600,525,03,富喜來,11,8,13,70.98,71.98,0.88,22.7,-1.1,94.68,-0.22,14 13 11 3,加州動員,鹿鼎記,富喜來,潘頓,希威森,4,123,117
2024-04-10,HV,grass,好,1650,575,05,富喜來,11,8,5,78.05,78.85,3.0,23.4,-0.85,102.25,2.15,7 7 8 5,川河首駒,領創動力,耀寶駒,梁家俊,希威森,4,122,117
2024-05-01,HV,grass,好/黏,1650,632,02,富喜來,11,8,1,75.69,76.01,0.16,24.81,0.56,100.82,0.72,4 4 4 2,銀進,富喜來,包裝至善,田泰安,希威森,4,119,117
2024-05-26,ST,grass,好,1600,701,03,富喜來,11,8,8,71.9,72.42,1.32,22.92,-0.88,95.34,0.44,10 10 8 3,光明傳承,精英雄心,富喜來,田泰安,希威森,4,121,117
2024-06-12,HV,grass,好,1650,743,05,富喜來,11,8,6,75.15,75.83,-0.02,24.83,0.58,100.66,0.56,6 6 6 5,燊榮之星,駟跑得,聰明導彈,艾兆禮,希威森,4,121,117
2024-07-06,ST,grass,好/快,1600,807,10,富喜來,11,8,10,70.72,71.48,0.38,23.32,-0.48,94.8,-0.1,11 10 10 10,妙算高歌,金獅勝將,勁好運,艾兆禮,希威森,4,119,117
2024-09-08,ST,grass,好/黏,1600,001,03,富喜來,11,8,12,71.13,72.09,0.49,23.2,-0.65,95.29,-0.16,11 10 10 3,上市魅力,樂天派,富喜來,布文,希威森,5,135,117
2024-09-25,HV,grass,好,1800,047,04,富喜來,11,8,3,85.84,86.84,1.29,23.31,-1.09,110.15,0.2,7 7 7 7 4,符號,果然得,贏科超影,布文,希威森,5,131,117
2024-10-06,ST,grass,好/快,1800,075,01,富喜來,11,8,2,83.72,84.32,0.07,23.17,-1.03,107.49,-0.96,8 7 9 7 1,富喜來,果然得,永勝金駒,布文,希威森,5,134,117
2024-11-09,ST,grass,好,2000,169,01,富喜來,11,8,8,98.61,99.01,0.61,22.85,-1.1,121.86,-0.49,8 7 7 6 1,富喜來,慶萬家,盈益善,潘頓,希威森,4,124,117
2024-12-22,ST,grass,好,2000,282,01,富喜來,11,8,8,99.86,99.98,1.58,23.47,-0.48,123.45,1.1,4 4 4 3 1,富喜來,神駒馬靈,八駿笑昇,布文,希威森,4,129,117
2025-01-26,ST,grass,好,2000,380,12,富喜來,11,8,9,98.48,99.4,1.0,24.72,0.77,124.12,1.77,9 9 9 9 12,小飛俠,發財秘笈,管之友,布文,希威森,4,135,117
2025-02-26,HV,grass,好,2200,458,05,富喜來,11,8,2,113.44,113.96,1.21,23.37,-0.93,137.33,0.28,6 6 6 5 5 5,八駿笑昇,客家之光,小飛俠,麥當能,希威森,4,135,117
2025-03-15,ST,grass,好/快,1800,509,10,富喜來,11,8,3,84.46,85.14,1.49,22.87,-1.33,108.01,0.16,10 11 11 11 10,金主,架勢奇爸,祥勝將軍,霍宏聲,希威森,4,135,117
2025-03-30,ST,grass,好,2000,543,08,富喜來,11,8,14,97.97,99.37,0.97,23.73,-0.22,123.1,0.75,14 14 14 13 8,勁大威猛,管之友,捷足奔馳,周俊樂,希威森,4,133,117
2025-04-27,ST,grass,好,1800,620,05,富喜來,11,8,11,84.27,84.91,1.26,23.18,-1.02,108.09,0.24,11 11 11 10 5,青春力量,爆出美麗,東方飛影,蘇銘倫,希威森,4,132,117
2025-05-18,ST,grass,好/快,1800,681,12,富喜來,11,8,9,83.95,84.75,1.1,24.54,0.34,109.29,1.44,10 9 10 12 12,東方飛影,雙贏,架勢奇爸,班德禮,希威森,4,130,117
2025-05-28,HV,grass,好/快,2200,710,04,富喜來,11,8,5,110.72,111.24,-1.51,24.61,0.31,135.85,-1.2,7 6 6 7 8 4,平海之星,幸運同行,夢照發,奧爾民,希威森,4,129,117
2025-07-05,ST,grass,好/快,1800,815,13,富喜來,11,8,6,82.96,84.24,0.59,25.27,1.07,109.51,1.66,12 13 12 13 13,火焰閃爍,年年友福,架勢奇爸,布文,希威森,4,126,117
2025-10-08,HV,grass,好/快,1650,077,07,富喜來,11,8,8,76.24,76.76,0.91,23.64,-0.61,100.4,0.3,8 7 7 7,紅海勁,凝妙星,錶之量子,奧爾民,希威森,4,124,117
2025-11-30,ST,grass,好,1600,221,12,富喜來,11,8,6,72.05,72.65,1.55,23.44,-0.36,96.09,1.19,8 9 10 12,大千雄心,天蓬貓,君達得,艾道拿,希威森,4,124,117
2025-12-23,HV,grass,好,1650,285,11,富喜來,11,8,2,75.45,76.45,0.6,24.51,0.26,100.96,0.86,8 8 11 11,活力精神,駟跑得,都靈勇士,紀仁安,希威森,4,121,117
2026-01-11,ST,grass,好/快,1800,339,11,富喜來,11,8,3,83.35,83.59,-0.06,25.53,1.33,109.12,1.27,1 4 5 3 11,中國心,大千雄心,風火恆雲,潘明輝,希威森,4,121,117
