日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2023-10-29,HV,grass,好,1650,123,07,管之友,13,11,7,76.11,77.43,1.58,24.02,-0.23,101.45,1.35,11 11 12 7,對衡之星,皇仁福星,赤兔猴王,艾道拿,潘明輝,4,126,117
2023-11-29,HV,grass,好,2200,207,09,管之友,13,11,7,110.77,111.61,-1.14,25.73,1.43,137.34,0.29,10 9 8 8 7 9,奇妙年華,慶萬家,香港精神,艾道拿,潘明輝,4,126,117
2023-12-23,ST,grass,好,2000,269,04,管之友,13,11,7,100.59,101.27,2.87,23.56,-0.39,124.83,2.48,10 10 10 9 4,慶萬家,奇妙年華,翔龍再現,巴度,潘明輝,4,128,117
2024-02-25,ST,grass,好,2000,446,04,管之友,13,11,2,98.96,99.64,1.24,23.35,-0.6,122.99,0.64,8 9 9 11 4,嘉寶神駒,得勝多,活力多多,田泰安,潘明輝,4,123,117
2024-11-09,ST,grass,好,2000,169,05,管之友,13,11,13,98.61,99.33,0.93,22.98,-0.97,122.31,-0.04,13 13 14 13 5,富喜來,慶萬家,盈益善,潘明輝,潘明輝,4,121,117
2024-11-27,HV,grass,好,2200,215,02,管之友,13,11,4,112.5,112.86,0.11,23.57,-0.73,136.43,-0.62,9 9 7 7 6 2,亞福得寶,管之友,盈益善,潘頓,潘明輝,4,121,117
2024-12-22,ST,grass,好,2000,282,06,管之友,13,11,2,99.86,100.3,1.9,23.39,-0.56,123.69,1.34,6 5 7 8 6,富喜來,神駒馬靈,八駿笑昇,潘明輝,潘明輝,4,119,117
2025-01-05,ST,dirt,好,1800,322,12,管之友,13,11,8,84.99,86.27,1.37,23.59,-0.06,109.86,1.31,14 14 14 14 12,艾莉奧,一鹿歡騰,超眼光,潘明輝,潘明輝,4,120,117
2025-01-26,ST,grass,好,2000,380,03,管之友,13,11,8,98.48,99.0,0.6,23.92,-0.03,122.92,0.57,8 7 7 5 3,小飛俠,發財秘笈,管之友,田泰安,潘明輝,4,119,117
2025-02-26,HV,grass,好,2200,458,04,管之友,13,11,5,113.44,114.36,1.61,22.85,-1.45,137.21,0.16,10 7 7 7 8 4,八駿笑昇,客家之光,小飛俠,田泰安,潘明輝,4,118,117
2025-03-30,ST,grass,好,2000,543,02,管之友,13,11,5,97.97,98.97,0.57,23.49,-0.46,122.46,0.11,10 10 12 10 2,勁大威猛,管之友,捷足奔馳,田泰安,潘明輝,4,117,117
2025-04-16,HV,grass,好/快,2200,593,01,管之友,13,11,8,112.51,112.91,0.16,23.75,-0.55,136.66,-0.39,10 10 10 9 7 1,管之友,幸運同行,八駿笑昇,田泰安,潘明輝,4,118,117
2025-05-07,HV,grass,好,2200,652,03,管之友,13,11,8,113.5,114.1,1.35,24.12,-0.18,138.22,1.17,9 9 8 8 7 3,幸運同行,客家之光,管之友,田泰安,潘明輝,4,125,117
2025-05-28,HV,grass,好/快,2200,710,08,管之友,13,11,2,110.72,111.2,-1.55,25.34,1.04,136.54,-0.51,4 4 4 5 6 8,平海之星,幸運同行,夢照發,田泰安,潘明輝,4,124,117
2025-06-28,ST,grass,好,2000,791,02,管之友,13,11,3,98.53,99.13,0.73,23.25,-0.7,122.38,0.03,10 9 9 8 2,三江飛輪,管之友,步風雷,潘明輝,潘明輝,4,124,117
2025-11-02,HV,grass,好/快,1800,146,04,管之友,13,11,11,84.7,85.82,0.52,23.61,-0.74,109.43,-0.22,11 12 12 12 4,客家之光,風起雲湧,蜜蜜送,田泰安,潘明輝,4,126,117
2025-12-03,HV,grass,好,2200,228,06,管之友,13,11,8,111.12,111.8,-0.95,24.28,-0.02,136.08,-0.97,10 11 11 10 11 6,雙贏,寶賢得得,包裝旋風,田泰安,潘明輝,4,122,117
2026-01-01,ST,grass,好,2000,307,09,管之友,13,11,3,100.27,101.11,2.71,22.91,-1.04,124.02,1.67,11 9 11 11 9,耀昌勝世,風火恆雲,包裝旋風,田泰安,潘明輝,4,121,117
2026-01-14,HV,grass,好,1650,346,11,管之友,13,11,8,76.14,77.3,1.45,23.61,-0.64,100.91,0.81,12 12 12 11,將義,創科群英,駟跑得,潘明輝,潘明輝,4,119,117
