日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2023-10-01,ST,grass,好,1200,059,02,愛馬善,5,4,12,46.27,46.39,-0.51,22.69,0.24,69.08,-0.27,3 3 2,嘉應喝彩,愛馬善,翩翩君子,潘頓,金誠剛,4,135,127
2023-11-05,ST,grass,好,1200,146,02,愛馬善,5,4,10,46.4,46.52,-0.13,22.55,0.2,69.07,0.07,2 2 2,朗朗乾坤,愛馬善,同樣美麗,潘頓,金誠剛,3,120,127
2023-11-26,ST,grass,好,1200,204,05,愛馬善,5,4,6,45.99,46.75,0.1,22.61,0.26,69.36,0.36,8 7 5,我為您,新風俠,朗朗乾坤,潘頓,金誠剛,3,122,127
2023-12-10,ST,grass,好,1200,240,06,愛馬善,5,4,13,45.81,45.81,-0.84,24.0,1.65,69.81,0.81,1 1 6,錶之銀河,星運少爵,美麗第一,巴米高,金誠剛,3,124,127
2023-12-26,ST,grass,好,1200,286,03,愛馬善,5,4,10,46.42,46.74,0.09,22.25,-0.1,68.99,-0.01,4 4 3,精算暴雪,華麗再勝,愛馬善,麥道朗,金誠剛,3,123,127
2024-01-24,ST,dirt,好,1200,367,10,愛馬善,5,4,4,45.46,46.7,0.2,23.23,1.18,69.93,1.38,5 11 10,怡勁力,泉龍駒,喜至寶,梁家俊,金誠剛,3,120,127
2024-02-12,ST,grass,好,1200,413,02,愛馬善,5,4,11,46.06,46.14,-0.51,22.86,0.51,69.0,0.0,1 2 2,嘉應高昇,愛馬善,光年八十,梁家俊,金誠剛,3,125,127
2024-03-03,ST,grass,好,1200,469,10,愛馬善,5,4,4,46.18,46.58,-0.07,23.91,1.56,70.49,1.49,5 5 10,多利彩駒,旋風飛影,縱橫萬里,潘頓,金誠剛,3,121,127
2024-04-07,ST,grass,好,1200,563,03,愛馬善,5,4,1,46.26,46.26,-0.39,23.02,0.67,69.28,0.28,2 1 3,綠族豐收,加州得力,愛馬善,潘頓,金誠剛,3,125,127
2024-04-20,ST,grass,好,1200,605,02,愛馬善,5,4,6,46.04,46.04,-0.61,23.22,0.87,69.26,0.26,3 1 2,實力派,愛馬善,樂滿貫,田泰安,金誠剛,3,124,127
2024-05-19,ST,grass,好,1200,683,02,愛馬善,5,4,6,46.38,46.46,-0.19,23.32,0.97,69.78,0.78,2 2 2,同祥和順,愛馬善,鐵金剛,田泰安,金誠剛,3,124,127
2024-06-05,HV,grass,好/黏,1200,730,06,愛馬善,5,4,4,45.54,46.26,-0.79,24.54,1.99,70.8,1.2,3 3 6,天足貓,家樂龍駒,鈦易搵,田泰安,金誠剛,3,126,127
