日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2025-01-19,ST,grass,好/快,1400,364,04,新意馬,3,3,3,58.89,58.97,0.47,22.99,-0.16,81.96,0.31,1 3 3 4,有目共賞,信心星,實力派,希威森,希威森,3,119,130
2025-02-12,ST,dirt,濕慢,1650,426,03,新意馬,3,3,5,75.3,75.3,0.45,26.26,2.51,101.56,2.96,2 1 1 3,天威,堅闖,新意馬,蔡明紹,希威森,3,116,130
2025-02-19,HV,grass,好,1650,446,07,新意馬,3,3,7,75.63,75.63,-0.02,24.61,0.36,100.24,0.34,1 1 1 7,博望坡,勁好運,太陽勇士,希威森,希威森,3,121,130
2025-03-26,ST,dirt,好,1650,541,04,新意馬,3,3,4,74.94,75.18,0.33,23.36,-0.39,98.54,-0.06,2 2 2 4,電訊巴打,天威,勝意,蔡明紹,希威森,3,115,130
2025-04-20,ST,grass,好/快,1400,610,13,新意馬,3,3,8,58.21,58.21,-0.29,23.77,0.62,81.98,0.33,1 2 1 13,南區之星,至尊高超,紫荊歡呼,希威森,希威森,3,122,130
2025-05-10,ST,grass,好,1400,666,06,新意馬,3,3,5,58.97,58.97,0.47,23.18,0.03,82.15,0.5,1 1 1 6,光年魅力,至尊高超,自力更生,希威森,希威森,3,118,130
2025-05-31,ST,dirt,好,1650,720,01,新意馬,3,3,14,76.88,76.88,1.63,23.65,-0.15,100.53,1.48,1 1 1 1,新意馬,天時明駒,大利好運,希威森,希威森,4,135,130
2025-06-28,ST,dirt,濕慢,1650,796,03,新意馬,3,3,7,74.39,74.43,-0.42,24.47,0.72,98.9,0.3,1 2 2 3,艾莉奧,智跑得,新意馬,班德禮,希威森,3,126,130
2025-09-21,ST,dirt,濕慢,1650,044,03,新意馬,3,3,11,74.57,74.57,-0.28,24.82,1.07,99.39,0.79,1 1 1 3,智跑得,安泰,新意馬,希威森,希威森,3,125,130
2025-10-12,ST,dirt,濕慢,1200,092,05,新意馬,3,3,4,45.24,45.6,-0.9,23.9,1.85,69.5,0.95,3 5 5,勁先生,熾烈神駒,日馳千里,希威森,希威森,3,122,130
2025-10-30,ST,dirt,好,1650,140,01,新意馬,3,3,13,75.27,75.27,0.42,24.32,0.57,99.59,0.99,2 2 1 1,新意馬,智跑得,艾莉奧,希威森,希威森,3,118,130
2025-12-07,ST,dirt,好,1650,243,04,新意馬,3,3,3,74.26,74.26,-0.59,24.28,0.53,98.54,-0.06,2 2 1 4,不同世界,堅有利,凱明神駒,希威森,希威森,3,135,130
2025-12-27,ST,dirt,好,1650,301,01,新意馬,3,3,6,75.58,75.58,0.73,23.5,-0.25,99.08,0.48,1 1 1 1,新意馬,時時精準,不同世界,希威森,希威森,3,135,130
2026-01-21,ST,dirt,好,1650,368,01,新意馬,3,3,5,75.5,75.5,0.15,22.75,-0.3,98.25,-0.15,1 1 1 1,新意馬,華麗再勝,精英雄心,艾兆禮,希威森,2,120,130
2026-02-04,HV,grass,好/快,1650,407,08,新意馬,3,3,5,74.72,74.8,-0.7,25.31,1.51,100.11,0.81,1 1 2 8,非惟僥倖,太陽勇士,大浪圖田,希威森,希威森,2,122,130
