日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2023-10-15,ST,grass,好,1600,088,03,永遠美麗,2,11,3,71.74,71.94,1.29,22.41,-0.84,94.35,0.45,5 5 5 3,加州星球,安遇,永遠美麗,潘頓,艾道拿,0,123,133
2023-11-19,ST,grass,好/快,1600,183,01,永遠美麗,2,11,5,70.17,70.29,-0.36,22.75,-0.5,93.04,-0.86,4 4 3 1,永遠美麗,美麗同享,遨遊氣泡,潘頓,艾道拿,0,123,133
2023-12-10,ST,grass,好,1600,238,06,永遠美麗,2,11,5,71.65,72.09,1.44,22.59,-0.66,94.68,0.78,9 8 9 6,金鎗六十,遨遊氣泡,匯兩川,潘頓,艾道拿,0,126,133
2024-01-21,ST,grass,好,1600,357,02,永遠美麗,2,11,8,71.38,71.38,0.73,22.78,-0.47,94.16,0.26,2 2 1 2,遨遊氣泡,永遠美麗,美麗同享,潘頓,艾道拿,0,126,133
2024-03-10,ST,grass,好,1400,490,04,永遠美麗,2,11,6,59.55,59.99,1.74,22.36,-0.49,82.35,1.25,8 8 7 4,加州星球,錶之銀河,紅運帝王,潘頓,艾道拿,0,126,133
2024-04-07,ST,grass,好,1600,566,02,永遠美麗,2,11,8,70.06,70.42,-0.23,23.79,0.54,94.21,0.31,3 4 3 2,美麗同享,永遠美麗,紅運帝王,潘頓,艾道拿,0,123,133
2024-04-28,ST,grass,黏,1600,623,01,永遠美麗,2,11,11,71.92,71.92,1.27,22.6,-0.65,94.52,0.62,1 1 1 1,永遠美麗,紅運帝王,遨遊氣泡,潘頓,艾道拿,0,126,133
2024-10-13,ST,grass,好/快,1600,099,06,永遠美麗,2,11,6,71.1,71.1,0.45,22.8,-0.45,93.9,0.0,1 1 1 6,錶之銀河,遨遊氣泡,禪勝輝煌,潘頓,艾道拿,0,131,133
2024-11-17,ST,grass,好,1600,189,08,永遠美麗,2,11,6,70.05,70.05,-0.6,23.64,0.39,93.69,-0.21,1 1 2 8,遨遊氣泡,禪勝輝煌,錶之銀河,潘頓,艾道拿,0,128,133
2024-12-08,ST,grass,好,1600,246,04,永遠美麗,2,11,11,70.3,70.3,-0.35,23.38,0.13,93.68,-0.22,1 1 1 5,遨遊氣泡,神志勇進,美麗同享,潘頓,艾道拿,0,126,133
2025-01-19,ST,grass,好/快,1600,363,05,永遠美麗,2,11,8,71.34,71.38,0.73,22.85,-0.4,94.23,0.33,2 2 2 5,遨遊氣泡,錶之銀河,紅運帝王,潘頓,艾道拿,0,126,133
2025-02-23,ST,grass,好,1400,451,04,永遠美麗,2,11,4,57.73,58.21,-0.04,22.45,-0.4,80.66,-0.44,8 8 8 4,嘉應高昇,驕陽明駒,嫡愛心,艾兆禮,艾道拿,0,126,133
2025-03-30,ST,grass,好,1600,547,10,永遠美麗,2,11,4,70.76,71.56,0.91,23.43,0.18,94.99,1.09,5 7 10 10,直線力山,錶之銀河,智取神駒,艾兆禮,艾道拿,0,128,133
2025-04-27,ST,grass,好,1600,626,10,永遠美麗,2,11,5,70.21,70.77,0.12,23.22,-0.03,93.99,0.09,7 6 7 10,紅運帝王,遨遊氣泡,陽光勇士,艾兆禮,艾道拿,0,126,133
2025-05-31,ST,grass,好,1600,722,03,永遠美麗,2,11,2,71.33,71.73,1.08,22.29,-0.96,94.02,0.12,5 5 5 3,和平波,禪勝輝煌,永遠美麗,奧爾民,艾道拿,0,130,133
2025-06-22,ST,grass,好,1400,772,08,永遠美麗,2,11,4,58.78,59.14,0.89,22.58,-0.27,81.72,0.62,3 3 4 8,合夥奔馳,越駿歡欣,包裝天將,潘頓,艾道拿,0,132,133
2025-07-13,ST,grass,好/快,1600,835,11,永遠美麗,2,11,10,70.17,70.65,-0.25,24.57,1.42,95.22,1.17,2 2 2 11,有目共賞,越駿歡欣,美麗同享,奧爾民,艾道拿,1,131,133
2025-10-19,ST,grass,好/快,1600,110,09,永遠美麗,2,11,5,69.17,69.57,-1.08,23.67,0.42,93.24,-0.66,11 10 8 9,祝願,合夥奔馳,美麗同享,蔡明紹,艾道拿,0,115,133
2025-11-23,ST,grass,好/快,1600,204,13,永遠美麗,2,11,8,69.25,70.33,-0.32,23.52,0.27,93.85,-0.05,13 13 13 13,錶之銀河,陽光勇士,越駿歡欣,艾道拿,艾道拿,0,123,133
2025-12-14,ST,grass,好,1400,263,14,永遠美麗,2,11,9,59.11,59.79,1.44,23.54,0.44,83.33,1.88,9 11 12 14,風再起時,飛鷹翱翔,威利金箭,莫雅,艾道拿,2,135,133
2026-01-01,ST,grass,好,1400,310,10,永遠美麗,2,11,10,56.89,57.49,-0.76,23.86,1.01,81.35,0.25,10 7 6 10,風雲武士,舞林密碼,手機錶霸,艾道拿,艾道拿,0,127,133
2026-01-11,ST,grass,好/快,1400,341,05,永遠美麗,2,11,12,57.49,58.09,-0.26,23.4,0.3,81.49,0.04,10 10 8 5,小鳥天堂,晒冷,駿跑得,艾道拿,艾道拿,2,135,133
2026-02-01,ST,grass,好,1400,396,05,永遠美麗,2,11,4,58.12,58.56,0.21,22.86,-0.04,81.42,0.17,5 5 6 5,手機錶霸,飛鷹翱翔,光年魅力,艾道拿,艾道拿,1,123,133
2026-02-19,ST,grass,好,1600,449,05,永遠美麗,2,11,8,71.38,71.42,0.62,23.04,-0.41,94.46,0.21,2 2 2 5,桃花開,喜尊龍,至尊瑰寶,艾道拿,艾道拿,2,130,133
