日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-11-24,ST,grass,好/快,1400,209,04,米奇,2,2,6,57.65,58.65,0.15,23.05,-0.1,81.7,0.05,9 11 12 4,川河帥駒,本領輝煌,嘉應巨昇,布文,奧爾民,3,132,134
2024-12-15,ST,grass,好,1600,268,01,米奇,2,2,9,70.88,71.56,0.66,22.45,-1.35,94.01,-0.69,11 11 10 1,米奇,百賀飛駒,包裝明駒,布文,奧爾民,3,131,134
2025-01-01,ST,grass,好,1600,317,12,米奇,2,2,6,71.84,72.44,1.54,23.16,-0.64,95.6,0.9,11 11 11 12,大浪圖田,遙遙領先,祝願,布文,奧爾民,3,133,134
2025-01-19,ST,grass,好/快,2000,365,04,米奇,2,2,2,97.47,98.31,0.01,23.07,-0.33,121.38,-0.32,9 9 9 8 4,優才,又龍串鳳,桃花開,布文,奧爾民,2,127,134
2025-02-16,ST,grass,好/快,1600,434,10,米奇,2,2,14,70.68,71.84,1.04,22.35,-1.1,94.19,-0.06,14 14 14 10,玩笑,勁速威龍,陽光勇士,賀銘年,奧爾民,2,122,134
2025-05-04,ST,grass,好/快,1600,642,04,米奇,2,2,6,71.78,72.5,1.7,21.98,-1.47,94.48,0.23,7 7 7 4,康樂高球,和平波,遙遙領先,潘頓,奧爾民,2,124,134
2025-05-25,ST,grass,好,1400,700,04,米奇,2,2,4,58.59,59.07,0.72,22.48,-0.62,81.55,0.1,5 5 5 4,包裝天將,舞林密碼,競駿輝煌,韋紀力,奧爾民,2,119,134
2025-06-08,ST,grass,好/快,1400,743,05,米奇,2,2,1,57.95,58.39,0.04,22.81,-0.29,81.2,-0.25,6 7 8 5,光年魅力,舞林密碼,競駿輝煌,艾兆禮,奧爾民,2,119,134
2025-07-01,ST,grass,好,1400,802,02,米奇,2,2,8,57.62,58.34,-0.01,22.81,-0.29,81.15,-0.3,12 12 12 2,光年魅力,米奇,得道猴王,湯普新,奧爾民,2,117,134
2025-07-13,ST,grass,好/快,1600,836,05,米奇,2,2,4,71.53,71.85,0.95,22.76,-1.04,94.61,-0.09,8 10 9 5,大浪圖田,英駿飛駒,增有,湯普新,奧爾民,3,134,134
2025-09-07,ST,grass,好/黏,1400,008,05,米奇,2,2,1,57.77,58.45,0.1,22.99,-0.11,81.44,-0.01,8 9 9 5,但求開心,潮州精神,和平波,艾兆禮,奧爾民,2,116,134
2025-10-01,ST,grass,好/快,1400,063,07,米奇,2,2,10,58.69,59.25,0.9,22.17,-0.93,81.42,-0.03,10 9 10 7,健康愉快,遙遙領先,康樂高球,艾兆禮,奧爾民,2,121,134
2025-10-26,ST,grass,好/快,1600,128,05,米奇,2,2,3,70.05,70.53,-0.27,22.79,-0.66,93.32,-0.93,9 9 11 5,睿盛人生,遙遙領先,桃花開,潘明輝,奧爾民,2,115,134
2025-11-09,ST,grass,好,1400,169,07,米奇,2,2,14,57.25,59.09,0.74,23.35,0.25,82.44,0.99,14 14 14 7,光年魅力,風再起時,駿跑得,楊明綸,奧爾民,2,115,134
2025-11-30,ST,grass,好,1600,223,08,米奇,2,2,12,70.66,71.26,0.46,23.19,-0.26,94.45,0.2,13 12 12 8,康樂高球,太陽勇士,遙遙領先,田泰安,奧爾民,2,115,134
2026-01-25,ST,grass,好/快,1200,383,07,米奇,2,2,8,45.98,46.58,-0.07,22.6,0.25,69.18,0.18,11 7 7,開心指數,扶搖勢勁,幸運風彩,麥文堅,奧爾民,3,135,134
2026-02-14,ST,grass,好/快,1200,436,02,米奇,2,2,8,46.04,46.76,0.11,22.31,-0.04,69.07,0.07,10 8 2,超寫意,米奇,赤海,奧爾民,奧爾民,3,135,134
