日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-12-29,ST,grass,好,1400,306,05,天將龍駒,6,3,4,59.41,59.97,1.47,22.34,-0.81,82.31,0.66,9 8 8 5,飛輪步,風雲武士,但求開心,巫顯東,巫顯東,3,118,126
2025-01-19,ST,grass,好/快,1400,364,05,天將龍駒,6,3,13,58.89,59.73,1.23,22.43,-0.72,82.16,0.51,14 14 13 5,有目共賞,信心星,實力派,巫顯東,巫顯東,3,117,126
2025-02-16,ST,grass,好/快,1600,437,02,天將龍駒,6,3,12,71.11,71.59,0.69,22.23,-1.57,93.82,-0.88,5 5 5 2,仁心星,天將龍駒,不同世界,巫顯東,巫顯東,3,118,126
2025-03-23,ST,grass,好/快,1800,533,06,天將龍駒,6,3,4,82.9,83.62,0.12,23.4,-0.6,107.02,-0.48,9 11 11 12 6,包裝明駒,安可,金勝名駒,巫顯東,巫顯東,3,113,126
2025-04-13,ST,grass,好,1800,590,01,天將龍駒,6,3,8,83.94,84.14,0.64,22.9,-1.1,107.04,-0.46,2 3 4 3 1,天將龍駒,金主,昭易搵,巫顯東,巫顯東,3,121,126
2025-05-04,ST,grass,好/快,2000,648,03,天將龍駒,6,3,1,99.58,99.9,1.55,22.45,-1.1,122.35,0.45,4 5 6 4 3,奔放,金主,天將龍駒,巫顯東,巫顯東,3,124,126
2025-05-25,ST,grass,好,2000,706,04,天將龍駒,6,3,9,97.35,97.95,-0.4,23.64,0.09,121.59,-0.31,7 8 7 8 4,金主,奔放,安可,巫顯東,巫顯東,3,122,126
2025-06-14,ST,grass,好,1800,764,03,天將龍駒,6,3,13,83.27,83.43,-0.07,24.01,0.01,107.44,-0.06,9 5 3 3 3,春風萬里,君子傳承,天將龍駒,巫顯東,巫顯東,3,128,126
2025-07-09,HV,grass,好/快,1800,826,06,天將龍駒,6,3,3,85.34,85.82,0.87,23.04,-1.16,108.86,-0.29,5 6 6 6 6,銀進,木火兄弟,包裝創新,巫顯東,巫顯東,2,117,126
2025-09-28,ST,grass,好/快,1600,055,06,天將龍駒,6,3,14,70.7,71.46,0.56,23.04,-0.76,94.5,-0.2,13 14 13 6,幸運派彩,八仟財陞,美麗星晨,巫顯東,巫顯東,3,125,126
2025-10-26,ST,grass,好/快,2000,129,01,天將龍駒,6,3,11,95.95,96.91,-1.44,22.86,-0.69,119.77,-2.13,13 13 13 13 1,天將龍駒,愛心神駒,發財先鋒,巫顯東,巫顯東,3,125,126
2025-11-23,ST,grass,好,2000,201,01,天將龍駒,6,3,1,97.79,98.23,-0.12,23.48,-0.07,121.71,-0.19,8 8 10 8 1,天將龍駒,盈好威楓,飛雪神駒,巫顯東,巫顯東,3,124,126
2025-12-27,ST,grass,好,2000,295,02,天將龍駒,6,3,9,97.09,97.97,-0.33,23.13,-0.27,121.1,-0.6,9 9 9 9 2,數字天文,天將龍駒,君子傳承,巫顯東,巫顯東,2,115,126
2026-01-14,HV,grass,好,1800,351,05,天將龍駒,6,3,6,83.99,84.19,-0.61,24.15,0.0,108.34,-0.61,12 11 3 3 5,勁速威龍,大浪圖田,喜蓮勇感,巫顯東,巫顯東,0,115,126
2026-01-25,ST,grass,好/快,2000,376,01,天將龍駒,6,3,1,97.39,97.51,-0.79,23.32,-0.08,120.83,-0.87,5 5 4 2 1,天將龍駒,盈好威楓,君子傳承,巫顯東,巫顯東,2,129,126
