日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-01-21,ST,grass,好,1200,356,02,增強,2,8,4,46.93,47.41,0.51,23.11,0.66,70.52,1.17,6 6 2,大英才,增強,誠好運,布文,布文,4,127,132
2024-02-25,ST,grass,好,1200,450,02,增強,2,8,6,46.34,46.98,0.08,22.91,0.46,69.89,0.54,10 9 2,龍之輝,增強,新力好,布文,布文,4,130,132
2024-03-24,ST,grass,好,1200,522,03,增強,2,8,5,46.18,46.58,-0.32,22.45,0.0,69.03,-0.32,7 6 3,開心寶寶,四喜鳥,增強,布文,布文,4,130,132
2024-04-28,ST,grass,黏,1400,620,03,增強,2,8,12,58.55,58.55,-0.05,24.75,1.35,83.3,1.3,2 1 1 3,球星,綫路萬里,增強,薛恩,布文,4,128,132
2024-09-08,ST,grass,好,1200,009,03,增強,2,8,5,46.05,46.61,-0.29,22.18,-0.27,68.79,-0.56,6 5 3,連連有盈,哈羅威,增強,布文,布文,4,127,132
2024-10-01,ST,grass,好/快,1200,068,01,增強,2,8,10,46.15,46.99,0.09,22.34,-0.11,69.33,-0.02,11 7 1,增強,手錶之星,綫路光驊,布文,布文,4,133,132
2024-11-03,ST,grass,好/快,1200,148,01,增強,2,8,3,45.76,46.76,-0.14,22.18,-0.27,68.94,-0.41,8 7 1,增強,包裝福星,好精神,布文,布文,4,135,132
2024-12-01,ST,grass,好,1400,230,06,增強,2,8,11,57.88,58.64,0.14,23.5,0.35,82.14,0.49,14 11 11 6,祝願,遙遙領先,鐵金剛,潘頓,布文,3,126,132
2025-03-15,ST,grass,好/黏,1200,512,02,增強,2,8,10,47.29,47.93,1.28,22.43,0.08,70.36,1.36,11 10 2,健康快車,增強,魯班精神,艾道拿,布文,3,126,132
2025-04-06,ST,grass,好,1200,567,01,增強,2,8,2,46.22,46.7,0.05,22.24,-0.11,68.94,-0.06,7 5 1,增強,健康快車,魯班精神,艾道拿,布文,3,124,132
2025-04-27,ST,grass,好,1200,625,06,增強,2,8,9,45.75,46.75,0.1,22.67,0.32,69.42,0.42,11 10 6,真心傳奇,龍之輝,非凡達,艾道拿,布文,3,131,132
2025-05-25,ST,grass,好,1400,707,05,增強,2,8,4,56.93,57.61,-0.89,23.91,0.76,81.52,-0.13,9 9 9 5,喜尊龍,綠野飛馳,南區之星,布文,布文,3,131,132
