日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2023-09-13,HV,grass,好,1650,012,05,架勢奇爸,1,4,3,76.35,77.15,1.3,23.45,-0.8,100.6,0.5,7 8 10 5,健康之星,皇仁福星,紅海勁,周俊樂,潘頓,4,133,134
2023-09-27,HV,grass,好/快,1650,051,06,架勢奇爸,1,4,12,75.18,75.98,0.13,23.85,-0.4,99.83,-0.27,9 9 10 6,獨角獸,大數據,佳福駒,周俊樂,潘頓,4,133,134
2023-10-18,HV,grass,黏,1650,097,07,架勢奇爸,1,4,12,76.83,77.39,1.54,26.2,1.95,103.59,3.49,9 9 7 7,美麗攻略,勁叻仔,大登殿,周俊樂,潘頓,4,133,134
2023-11-15,HV,grass,好,1650,169,06,架勢奇爸,1,4,2,75.7,76.7,0.85,23.6,-0.65,100.3,0.2,7 7 9 6,皇仁福星,錢多多,勝利之皇,周俊樂,潘頓,4,133,134
2023-11-29,HV,grass,好,2200,207,06,架勢奇爸,1,4,10,110.77,111.65,-1.1,25.08,0.78,136.73,-0.32,6 8 9 9 8 6,奇妙年華,慶萬家,香港精神,周俊樂,潘頓,4,127,134
2024-01-04,HV,grass,好,1650,310,04,架勢奇爸,1,4,7,76.95,77.87,2.02,23.83,-0.42,101.7,1.6,10 11 11 4,得意佳作,威威鬥士,勁叻仔,周俊樂,潘頓,4,129,134
2024-02-07,HV,grass,好,1650,402,06,架勢奇爸,1,4,2,77.09,77.93,2.08,23.66,-0.59,101.59,1.49,9 9 7 6,開心勇駒,紅海勁,威威鬥士,周俊樂,潘頓,4,125,134
2024-03-20,HV,grass,好,1650,518,02,架勢奇爸,1,4,6,75.63,75.67,-0.18,24.57,0.32,100.24,0.14,10 8 2 2,赤馬雄風,架勢奇爸,北海盜,周俊樂,潘頓,4,124,134
2024-05-01,HV,grass,好/黏,1650,632,06,架勢奇爸,1,4,8,75.69,76.61,0.76,24.8,0.55,101.41,1.31,11 11 10 6,銀進,富喜來,包裝至善,布文,潘頓,4,126,134
2024-05-22,HV,grass,好,1650,689,03,架勢奇爸,1,4,8,75.2,75.92,0.07,24.6,0.35,100.52,0.42,11 11 11 3,龍船快,金德義,架勢奇爸,布文,潘頓,4,128,134
2024-06-05,HV,grass,好/黏,1650,727,06,架勢奇爸,1,4,11,77.89,78.81,2.96,23.8,-0.45,102.61,2.51,11 10 8 6,大千眼界,獎星,堅闖,艾道拿,潘頓,4,128,134
2024-06-23,ST,grass,好/快,1400,767,10,架勢奇爸,1,4,9,57.86,58.58,-0.02,23.96,0.56,82.54,0.54,14 10 9 10,翹峯,連連歡呼,一起美麗,霍宏聲,潘頓,4,127,134
2024-07-14,ST,grass,好,1800,824,06,架勢奇爸,1,4,5,85.3,85.86,2.21,23.52,-0.68,109.38,1.53,8 8 8 9 6,風火恆雲,年年友福,龍船快,艾道拿,潘頓,4,125,134
2024-09-11,HV,grass,好,1650,016,09,架勢奇爸,1,4,8,75.86,76.86,1.01,24.95,0.7,101.81,1.71,10 10 10 9,江南勇士,赤馬雄風,領創動力,蔡明紹,潘頓,4,118,134
2024-09-28,ST,grass,好,1400,060,08,架勢奇爸,1,4,9,59.84,60.4,1.8,22.62,-0.78,83.02,1.02,9 7 6 8,大將鵰神,博愛先鋒,銀進,蔡明紹,潘頓,4,116,134
2024-10-09,HV,grass,好,1650,085,02,架勢奇爸,1,4,3,78.55,78.55,2.5,23.4,-0.85,101.95,1.65,6 5 1 2,喜勝威龍,架勢奇爸,贏科超影,布文,潘頓,5,133,134
2024-10-30,HV,grass,好,1650,140,09,架勢奇爸,1,4,6,76.25,76.69,0.64,24.73,0.48,101.42,1.12,9 7 5 9,贏科超影,雄昇勇士,凱旋七福,布文,潘頓,5,135,134
2024-12-04,HV,grass,好,1650,231,03,架勢奇爸,1,4,4,76.45,77.45,1.4,23.92,-0.33,101.37,1.07,11 10 11 3,追風,聰明導彈,架勢奇爸,布文,潘頓,5,135,134
2024-12-22,ST,grass,好,1600,277,07,架勢奇爸,1,4,3,71.29,72.01,0.41,24.13,0.28,96.14,0.69,13 11 10 7,紅鬃烈馬,馬特峰,駿彩飛馳,艾道拿,潘頓,5,134,134
2025-01-15,HV,grass,好,1800,347,01,架勢奇爸,1,4,9,85.29,85.57,0.02,24.26,-0.14,109.83,-0.12,1 4 3 3 1,架勢奇爸,駿彩飛馳,金德義,潘頓,潘頓,5,132,134
2025-02-23,ST,grass,好,1600,452,06,架勢奇爸,1,4,14,70.75,71.75,0.65,23.07,-0.73,94.82,-0.08,14 14 11 6,英駿飛駒,東方飛影,金主,巴度,潘頓,4,118,134
2025-03-15,ST,grass,好/快,1800,509,02,架勢奇爸,1,4,8,84.46,84.62,0.97,22.65,-1.55,107.27,-0.58,3 5 5 3 2,金主,架勢奇爸,祥勝將軍,巴度,潘頓,4,118,134
2025-03-30,ST,grass,好,2000,543,10,架勢奇爸,1,4,12,97.97,99.09,0.69,24.25,0.3,123.34,0.99,12 13 9 11 10,勁大威猛,管之友,捷足奔馳,巴度,潘頓,4,121,134
2025-04-27,ST,grass,好,1800,620,06,架勢奇爸,1,4,10,84.27,84.67,1.02,23.42,-0.78,108.09,0.24,9 10 10 8 6,青春力量,爆出美麗,東方飛影,巴度,潘頓,4,120,134
2025-05-18,ST,grass,好/快,1800,681,03,架勢奇爸,1,4,12,83.95,84.23,0.58,23.17,-1.03,107.4,-0.45,4 4 5 5 3,東方飛影,雙贏,架勢奇爸,巴度,潘頓,4,119,134
2025-06-04,HV,grass,好/黏,1800,729,03,架勢奇爸,1,4,10,86.47,86.55,1.25,24.9,0.55,111.45,1.8,8 3 2 2 3,三江飛輪,風起雲湧,架勢奇爸,巴度,潘頓,4,117,134
2025-07-05,ST,grass,好/快,1800,815,03,架勢奇爸,1,4,13,82.96,82.96,-0.69,24.43,0.23,107.39,-0.46,2 2 2 1 3,火焰閃爍,年年友福,架勢奇爸,楊明綸,潘頓,4,117,134
2025-09-21,ST,dirt,濕慢,1650,040,04,架勢奇爸,1,4,2,75.19,75.75,0.5,24.43,0.63,100.18,1.13,11 10 6 4,天時明駒,超眼光,凱明神駒,巴度,潘頓,4,119,134
