日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-02-15,HV,grass,好,1200,424,08,南區旺,9,2,5,46.72,46.72,-0.48,24.66,1.96,71.38,1.48,1 1 8,迎樂,萬事靚,風中勁松,潘明輝,潘明輝,4,118,126
2024-03-06,HV,grass,好,1200,480,02,南區旺,9,2,7,46.16,46.64,-0.56,24.16,1.46,70.8,0.9,5 5 2,太陽拍檔,南區旺,宏才,鍾易禮,潘明輝,4,111,126
2024-03-27,HV,grass,好,1200,537,04,南區旺,9,2,5,46.36,46.68,-0.52,24.03,1.33,70.71,0.81,2 4 4,多利神駒,皇帝英明,進優自在,潘明輝,潘明輝,4,114,126
2024-04-17,HV,grass,好,1200,594,06,南區旺,9,2,8,46.6,47.0,-0.2,24.15,1.45,71.15,1.25,3 3 6,加州德至,嘉應喝彩,精明勇駿,鍾易禮,潘明輝,4,112,126
2024-05-15,HV,grass,好,1200,666,09,南區旺,9,2,9,47.22,47.7,0.35,23.24,0.49,70.94,0.84,7 7 9,日新月著,快馬加鞭,鼓浪精綵,黃智弘,潘明輝,5,127,126
2024-06-15,ST,grass,黏,1200,752,04,南區旺,9,2,8,47.52,47.64,0.49,23.56,1.16,71.2,1.65,2 2 4,智勝攻略,上校,可愛新星,鍾易禮,潘明輝,5,129,126
2024-07-14,ST,grass,好/快,1200,821,03,南區旺,9,2,10,46.78,46.78,-0.37,23.08,0.68,69.86,0.31,1 1 3,飛躍精英,欣樂人生,南區旺,田泰安,潘明輝,5,130,126
2024-09-11,HV,grass,好,1200,011,05,南區旺,9,2,9,46.65,46.81,-0.54,24.97,2.22,71.78,1.68,3 2 5,怪獸豪俠,欣樂人生,宏才,田泰安,潘明輝,5,124,126
2024-09-25,HV,grass,好,1200,048,09,南區旺,9,2,9,47.04,47.52,0.17,23.62,0.87,71.14,1.04,5 7 9,賢心星,神速馬車,木火龍駒,鍾易禮,潘明輝,5,122,126
2024-10-13,ST,grass,好/快,1400,096,08,南區旺,9,2,1,58.19,58.71,-0.24,23.73,0.38,82.44,0.14,6 6 7 8,喜報圍家,精明選擇,智勝龍,周俊樂,潘明輝,5,122,126
2024-10-27,HV,grass,好,1200,129,03,南區旺,9,2,2,46.47,46.83,-0.52,23.72,0.97,70.55,0.45,5 4 3,辣得駕勢,飛躍精英,南區旺,鍾易禮,潘明輝,5,119,126
2024-11-20,HV,grass,好/黏,1200,195,06,南區旺,9,2,10,46.93,47.81,0.46,22.9,0.15,70.71,0.61,8 8 6,超勁火力,三代同心,合金皇,鍾易禮,潘明輝,5,119,126
2024-12-18,ST,dirt,好,1200,269,02,南區旺,9,2,2,45.27,45.75,-1.25,24.06,1.71,69.81,0.46,4 3 2,逆市奇爸,南區旺,快馬加鞭,潘明輝,潘明輝,5,118,126
2025-01-12,ST,dirt,好,1200,337,07,南區旺,9,2,10,45.43,45.99,-1.01,24.42,2.07,70.41,1.06,8 6 7,逆市奇爸,錶之多多,漣心星,潘明輝,潘明輝,5,121,126
2025-02-12,ST,dirt,濕慢,1200,419,02,南區旺,9,2,8,46.19,46.91,-0.09,24.03,1.68,70.94,1.59,7 7 2,錶之多多,南區旺,伶俐驫駒,潘明輝,潘明輝,5,121,126
2025-03-26,ST,dirt,好,1200,537,01,南區旺,9,2,4,46.23,46.55,-0.45,22.83,0.48,69.38,0.03,5 6 1,南區旺,火神神樂,龍騰飛翔,艾兆禮,潘明輝,5,123,126
2025-04-13,ST,grass,好,1200,583,03,南區旺,9,2,12,47.68,47.92,0.77,22.49,0.09,70.41,0.86,3 3 3,前風,漣心星,南區旺,艾兆禮,潘明輝,5,129,126
2025-05-18,ST,dirt,好,1200,679,08,南區旺,9,2,8,45.96,46.24,-0.76,23.93,1.58,70.17,0.82,3 2 8,錶之多多,火神神樂,東方寶寶,艾兆禮,潘明輝,5,129,126
2025-09-28,ST,dirt,濕慢,1200,045,08,南區旺,9,2,2,45.7,46.22,-0.78,23.97,1.62,70.19,0.84,5 6 8,伶俐驫駒,東方寶寶,大番薯,艾兆禮,潘明輝,5,129,126
2025-10-30,ST,dirt,好,1200,134,02,南區旺,9,2,12,46.05,46.57,-0.43,24.22,1.87,70.79,1.44,3 4 2,大番薯,南區旺,東方寶寶,周俊樂,潘明輝,5,125,126
2025-12-03,HV,grass,好,1000,227,09,南區旺,9,2,8,34.03,34.63,-1.32,23.02,1.62,57.65,0.3,7 7 9,友得盈,賢心星,有心意,鍾易禮,潘明輝,5,128,126
2025-12-07,ST,dirt,好,1200,236,12,南區旺,9,2,2,45.55,45.95,-1.05,24.21,1.86,70.16,0.81,4 5 12,飛雲,多彩多姿,謙謙君子,周俊樂,潘明輝,5,128,126
2026-02-19,ST,grass,好,1200,444,09,南區旺,9,2,14,46.53,46.57,-0.58,23.98,1.58,70.55,1.0,3 3 9,金快飛飛,首駿,劍無情,周俊樂,潘明輝,5,127,126
