日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-05-05,ST,grass,好/黏,1000,636,07,歷險大將,5,12,1,34.43,34.47,-0.83,24.22,3.62,58.69,2.79,1 2 7,超力量,東昇鉞,聖托里尼,希威森,奧爾民,0,121,132
2024-05-26,ST,grass,好,1200,694,08,歷險大將,5,12,4,46.77,47.21,1.26,23.07,0.87,70.28,2.13,6 5 8,同得威,聖托里尼,東昇鉞,梁家俊,奧爾民,0,121,132
2024-11-17,ST,grass,好,1400,183,12,歷險大將,5,12,14,58.29,59.17,0.57,24.8,1.4,83.97,1.97,14 12 14 12,愛意龍,超風速,極速贏,巴度,奧爾民,4,119,132
2024-12-29,ST,dirt,好,1200,302,10,歷險大將,5,12,3,45.98,46.26,-0.59,24.4,2.3,70.66,1.71,5 4 10,良駒好友,勁先生,越野大師,鍾易禮,奧爾民,4,115,132
2025-05-04,ST,grass,好/快,1200,641,12,歷險大將,5,12,7,46.77,47.57,0.67,22.94,0.49,70.51,1.16,9 10 12,英雄戰歌,真僥倖,勁者,田泰安,奧爾民,4,117,132
2025-05-28,HV,grass,好/快,1200,709,08,歷險大將,5,12,11,46.42,47.14,-0.21,23.08,0.33,70.22,0.12,11 11 8,木火同明,進優自在,東方魅影,班德禮,奧爾民,5,133,132
2025-10-01,ST,grass,好/快,1200,058,14,歷險大將,5,12,12,45.93,46.49,-0.66,25.28,2.88,71.77,2.22,3 8 14,快樂奇兵,魅力星,同喜,金誠剛,奧爾民,5,129,132
2025-10-19,ST,grass,好/快,1400,104,09,歷險大將,5,12,12,57.5,58.54,-0.41,24.34,0.99,82.88,0.58,12 13 14 9,飛躍凱旋,幸運福星,全神貫注,奧爾民,奧爾民,5,126,132
2025-12-23,HV,grass,好,1200,284,01,歷險大將,5,12,3,46.2,46.72,-0.63,22.91,0.16,69.63,-0.47,6 5 1,歷險大將,獵寶勤,快樂寶寶,奧爾民,奧爾民,5,124,132
2026-01-14,HV,grass,好,1200,345,02,歷險大將,5,12,12,45.84,46.52,-0.83,23.54,0.79,70.06,-0.04,7 8 2,前衛火影,歷險大將,快樂寶寶,奧爾民,奧爾民,5,131,132
2026-01-28,HV,grass,好,1000,385,07,歷險大將,5,12,9,33.98,34.9,-1.05,22.57,1.17,57.47,0.12,9 10 7,亮寶,謙謙君子,鼓浪高升,奧爾民,奧爾民,5,132,132
