日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2025-02-16,ST,grass,好/快,1800,433,13,十力,10,4,3,83.91,84.27,0.77,23.87,-0.13,108.14,0.64,4 4 4 4 13,遙遙領先,平凡騎士,奔放,梁家俊,何澤堯,3,128,120
2025-03-02,ST,dirt,好,1650,468,10,十力,10,4,2,75.79,76.15,1.3,23.55,-0.2,99.7,1.1,2 3 3 10,艾莉奧,精彩動力,堅闖,梁家俊,何澤堯,3,124,120
2025-04-02,HV,grass,好/快,2200,555,07,十力,10,4,2,110.8,111.2,-0.95,24.02,-0.43,135.22,-1.38,5 5 6 6 5 7,銀進,快路,盈益善,梁家俊,何澤堯,3,123,120
2025-04-20,ST,grass,好/快,1400,610,08,十力,10,4,13,58.21,59.17,0.67,22.51,-0.64,81.68,0.03,13 12 12 8,南區之星,至尊高超,紫荊歡呼,梁家俊,何澤堯,3,127,120
2025-05-18,ST,grass,好/快,1600,687,08,十力,10,4,7,72.4,72.64,1.74,23.0,-0.8,95.64,0.94,5 4 4 8,金勝名駒,龍城精將,大浪圖田,梁家俊,何澤堯,3,124,120
2025-05-25,ST,grass,好,2000,706,11,十力,10,4,3,97.35,98.15,-0.2,24.41,0.86,122.56,0.66,8 7 9 9 11,金主,奔放,安可,楊明綸,何澤堯,3,117,120
2025-06-14,ST,grass,好,1400,766,11,十力,10,4,6,58.69,59.97,1.47,22.84,-0.31,82.81,1.16,10 11 12 11,錶之星河,樂勝天下,勇冠群英,黃寶妮,何澤堯,3,107,120
2025-06-28,ST,dirt,濕慢,1650,793,08,十力,10,4,9,75.12,76.2,0.95,24.38,0.58,100.58,1.53,12 13 10 8,川河型駒,風繼續吹,閃耀威龍,奧爾民,何澤堯,4,135,120
2025-09-21,ST,dirt,濕慢,1650,040,12,十力,10,4,10,75.19,75.79,0.54,25.86,2.06,101.65,2.6,4 3 7 12,天時明駒,超眼光,凱明神駒,希威森,何澤堯,4,132,120
2025-10-12,ST,grass,好,1600,090,12,十力,10,4,4,70.9,71.3,0.2,24.78,0.98,96.08,1.18,5 6 7 12,林寶精神,開心宇宙,彭玥,潘大衛,何澤堯,4,129,120
2025-10-30,ST,dirt,好,1800,136,05,十力,10,4,13,85.45,86.05,1.15,25.13,1.48,111.18,2.63,12 12 10 10 5,堅有利,怪獸叉燒,奮鬥心,霍宏聲,何澤堯,4,127,120
2025-12-03,HV,grass,好,2200,228,12,十力,10,4,3,111.12,111.2,-1.55,26.02,1.72,137.22,0.17,1 1 1 1 2 12,雙贏,寶賢得得,包裝旋風,霍宏聲,何澤堯,4,124,120
2026-01-21,ST,dirt,好,1650,371,07,十力,10,4,8,74.2,75.64,0.39,23.67,-0.13,99.31,0.26,13 13 12 7,巧眼光,午夜快車,加州星馳,田泰安,何澤堯,4,123,120
2026-02-14,ST,grass,好/快,1800,437,10,十力,10,4,10,84.28,85.0,1.35,23.73,-0.47,108.73,0.88,14 13 11 12 10,八駿笑昇,大千雄心,愛心波,潘明輝,何澤堯,4,122,120
