日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-04-20,ST,grass,好,1400,607,11,君智盛,9,2,6,58.54,58.86,0.36,24.56,1.41,83.42,1.77,5 6 6 11,仁心星,潮州精神,手機錶霸,賀銘年,周俊樂 (-2),3,120,121
2024-05-05,ST,dirt,好,1200,644,10,君智盛,9,2,11,45.86,47.14,0.64,25.77,3.72,72.91,4.36,9 11 10,福國寶,勝意龍,凱旋時光,賀銘年,周俊樂 (-2),3,120,121
2024-07-01,ST,grass,好,1600,792,05,君智盛,9,2,4,71.92,72.48,1.58,22.72,-1.08,95.2,0.5,4 5 5 5,晴王,和平波,光明傳承,潘明輝,周俊樂 (-2),3,118,121
2024-07-14,ST,grass,好,1600,830,11,君智盛,9,2,7,71.22,71.54,0.64,25.06,1.26,96.6,1.9,2 3 7 11,競駿飛翔,好勁力,星運少爵,潘明輝,周俊樂 (-2),3,116,121
2024-09-15,ST,grass,好/快,1600,019,08,君智盛,9,2,8,70.63,70.99,-0.11,23.77,-0.03,94.76,-0.14,3 2 2 8,共享富裕,精算特殊,神駒馬靈,梁家俊,周俊樂 (-2),4,135,121
2024-09-25,HV,grass,好,1650,050,08,君智盛,9,2,3,75.64,76.36,0.51,24.73,0.48,101.09,0.99,4 5 6 8,逐步贏,大力猴王,領創動力,梁家俊,周俊樂 (-2),4,134,121
2024-11-13,HV,grass,好,1650,178,04,君智盛,9,2,10,75.45,76.41,0.56,23.86,-0.39,100.27,0.17,8 9 9 4,天天得樂,歡喜福星,超勁寶寶,潘明輝,周俊樂 (-2),4,129,121
2024-11-20,HV,grass,好/黏,1650,196,03,君智盛,9,2,4,75.78,76.14,0.29,24.43,0.18,100.57,0.47,3 3 3 3,爆笑,魔法速遞,君智盛,潘明輝,周俊樂 (-2),4,133,121
2024-12-26,HV,grass,好,1650,293,10,君智盛,9,2,9,75.97,76.17,0.32,24.94,0.69,101.11,1.01,2 2 2 10,納百川,華美之威,先到先得,潘頓,周俊樂 (-2),4,130,121
2025-01-08,HV,grass,好,1650,333,03,君智盛,9,2,3,77.08,77.56,1.71,23.67,-0.58,101.23,1.13,6 7 7 3,風起雲湧,奮鬥輝煌,君智盛,潘明輝,周俊樂 (-2),4,129,121
2025-01-22,HV,grass,好,1650,372,08,君智盛,9,2,12,76.12,76.88,1.03,23.78,-0.47,100.66,0.56,9 7 7 8,都靈勇士,爆笑,寶成智星,潘明輝,周俊樂 (-2),4,130,121
2025-02-05,HV,grass,好,1800,403,05,君智盛,9,2,5,85.48,85.84,0.54,24.1,-0.25,109.94,0.29,3 4 4 4 5,北海盜,皇仁福星,妙算奇勝,潘明輝,周俊樂 (-2),4,129,121
2025-03-12,HV,grass,好/快,1650,500,07,君智盛,9,2,10,75.79,77.11,1.26,23.45,-0.8,100.56,0.46,11 10 10 7,智勇名駒,爆笑,論文,潘明輝,周俊樂 (-2),4,124,121
2025-04-23,HV,grass,好,1650,616,04,君智盛,9,2,4,75.29,75.97,0.12,23.85,-0.4,99.82,-0.28,6 6 5 4,天天得樂,綠色好景,滿心星,潘明輝,周俊樂 (-2),4,123,121
2025-05-25,ST,grass,好,1600,702,09,君智盛,9,2,2,70.2,71.16,0.06,23.93,0.13,95.09,0.19,3 5 7 9,英駿飛駒,精算特殊,凱旋幸運,潘明輝,周俊樂 (-2),4,121,121
2025-06-11,HV,grass,好/快,1650,749,01,君智盛,9,2,2,75.9,76.14,0.29,23.55,-0.7,99.69,-0.41,4 4 3 1,君智盛,博愛先鋒,多利神駒,田泰安,周俊樂 (-2),4,121,121
2025-07-09,HV,grass,好/快,1650,823,04,君智盛,9,2,8,75.22,75.34,-0.51,24.12,-0.13,99.46,-0.64,2 2 2 4,赤馬雄風,勁進駒,川河首駒,田泰安,周俊樂 (-2),4,126,121
2025-10-15,HV,grass,好/快,1650,099,07,君智盛,9,2,10,76.75,76.75,0.9,24.11,-0.14,100.86,0.76,8 3 1 7,凡凡有餘,祥勝將軍,榮耀盛甲,潘明輝,周俊樂 (-2),4,128,121
2025-11-05,HV,grass,好/快,1650,154,07,君智盛,9,2,10,74.76,76.04,0.19,23.51,-0.74,99.55,-0.55,10 10 12 7,相映紅,翠兒威威,活力精神,潘頓,周俊樂 (-2),4,130,121
2025-11-19,HV,grass,好,1650,195,08,君智盛,9,2,1,75.89,76.49,0.64,24.16,-0.09,100.65,0.55,4 5 5 8,本領非凡,醒目先駒,青春力量,麥道朗,周俊樂 (-2),4,125,121
2025-12-17,HV,grass,好,1650,267,10,君智盛,9,2,2,76.73,77.25,1.4,24.21,-0.04,101.46,1.36,5 7 6 10,加州活力,本領非凡,巴閉佬,杜苑欣,周俊樂 (-2),4,123,121
2026-01-14,HV,grass,好,1650,348,04,君智盛,9,2,1,75.46,75.98,0.13,24.51,0.26,100.49,0.39,4 5 5 4,康昌之星,頌星,加州星皓,潘明輝,周俊樂 (-2),4,121,121
2026-02-04,HV,grass,好/快,1800,408,03,君智盛,9,2,3,84.49,84.77,-0.53,23.86,-0.49,108.63,-1.02,2 3 4 4 3,步風雷,先到先得,客家之光,潘明輝,周俊樂 (-2),4,121,121
