日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2025-04-02,HV,grass,好/快,1200,559,06,禾道威,11,8,11,46.36,47.52,0.32,22.48,-0.22,70.0,0.1,12 12 6,騰龍四海,新力,夢幻駿駒,潘頓,楊明綸,4,128,120
2025-05-10,ST,grass,好,1400,663,06,禾道威,11,8,14,58.92,59.8,1.2,22.98,-0.42,82.78,0.78,10 13 13 6,錶之星河,幸運芙蓉,美麗在線,布文,楊明綸,4,129,120
2025-06-14,ST,grass,好,1400,760,08,禾道威,11,8,9,58.32,59.28,0.68,22.89,-0.51,82.17,0.17,14 14 13 8,真僥倖,祥龍駒,十二神將,布文,楊明綸,4,125,120
2025-07-01,ST,grass,好,1600,805,03,禾道威,11,8,1,71.44,71.92,0.82,23.48,-0.32,95.4,0.5,10 10 8 3,彭玥,紅衣醒目,禾道威,潘頓,楊明綸,4,125,120
2025-07-13,ST,grass,好/快,1600,832,06,禾道威,11,8,1,70.62,71.46,0.36,23.59,-0.21,95.05,0.15,14 13 11 6,開心宇宙,準輝煌,加州星皓,潘頓,楊明綸,4,123,120
2025-09-21,ST,grass,軟,1600,041,13,禾道威,11,8,7,72.44,73.32,2.22,25.19,1.39,98.51,3.61,10 10 11 13,小飛俠,彭玥,開心宇宙,潘頓,楊明綸,4,124,120
2025-10-19,ST,grass,好/快,1800,106,08,禾道威,11,8,9,83.34,83.86,0.21,23.61,-0.59,107.47,-0.38,5 5 5 5 8,精算特殊,風起雲湧,一支箭,艾兆禮,楊明綸,4,121,120
2025-11-05,HV,grass,好/快,1650,156,06,禾道威,11,8,2,75.22,75.66,-0.19,24.15,-0.1,99.81,-0.29,7 7 8 6,將義,卓越蒨鋒,祥勝將軍,希威森,楊明綸,4,117,120
2025-11-12,HV,grass,好,1650,170,04,禾道威,11,8,12,75.53,76.53,0.48,23.37,-0.88,99.9,-0.4,12 12 12 4,幸運福星,無極勇將,快樂老撾,布文,楊明綸,5,135,120
2025-11-26,HV,grass,好/快,1650,209,03,禾道威,11,8,4,76.16,76.64,0.59,23.61,-0.64,100.25,-0.05,7 7 6 3,耀昌勝世,荃程路通,禾道威,布文,楊明綸,5,135,120
2025-12-03,HV,grass,好,1800,229,05,禾道威,11,8,6,86.16,87.08,1.53,23.15,-1.25,110.23,0.28,11 11 11 12 5,瀧澤飛駒,步風雷,堅多福,艾道拿,楊明綸,5,135,120
2025-12-17,HV,grass,好,2200,264,01,禾道威,11,8,4,111.76,112.16,-1.04,24.66,0.51,136.82,-0.53,7 7 8 8 5 1,禾道威,幸運同行,步風雷,布文,楊明綸,5,133,120
2026-01-21,ST,dirt,好,1800,370,09,禾道威,11,8,9,84.37,85.21,0.31,23.48,-0.17,108.69,0.14,13 12 10 11 9,年年友福,小飛俠,風起雲湧,艾兆禮,楊明綸,4,118,120
2026-02-25,HV,grass,好,1650,471,05,禾道威,11,8,8,76.04,77.0,1.15,23.21,-1.04,100.21,0.11,11 12 12 5,翠兒威威,奮鬥輝煌,極速滿貫,田泰安,楊明綸,4,120,120
