日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2025-02-09,ST,grass,好,1400,413,11,耀昌勝世,7,9,4,58.89,59.73,1.23,22.66,-0.49,82.39,0.74,8 8 9 11,光年魅力,至尊高超,糖不甩,周俊樂,巴度,3,121,125
2025-02-23,ST,grass,好,1400,454,12,耀昌勝世,7,9,14,57.83,59.15,0.65,23.12,-0.03,82.27,0.62,14 14 14 12,至尊高超,穿甲戰鷹,樂勝天下,董明朗,巴度,3,120,125
2025-03-15,ST,grass,好/黏,1400,514,09,耀昌勝世,7,9,10,59.79,60.35,1.85,23.25,0.1,83.6,1.95,5 5 6 9,康樂高球,首飾天空,信心星,鍾易禮,巴度,3,115,125
2025-03-30,ST,grass,好,1200,545,10,耀昌勝世,7,9,5,46.76,47.48,0.58,22.94,0.49,70.42,1.07,10 10 10,寶進,天下寵兒,快活英雄,鍾易禮,巴度,4,132,125
2025-04-13,ST,grass,好,1400,587,06,耀昌勝世,7,9,13,57.56,58.48,-0.12,23.74,0.34,82.22,0.22,13 14 13 6,暴風之子,哈羅威,飛躍成就,鍾易禮,巴度,4,131,125
2025-05-04,ST,grass,好/快,1200,641,14,耀昌勝世,7,9,10,46.77,48.01,1.11,23.03,0.58,71.04,1.69,11 13 14,英雄戰歌,真僥倖,勁者,鍾易禮,巴度,4,130,125
2025-05-10,ST,grass,好,1400,661,09,耀昌勝世,7,9,3,59.17,59.73,1.13,23.2,-0.2,82.93,0.93,8 7 8 9,閃光燈,同心同樂,豐辰,湯普新,巴度,4,129,125
2025-06-14,ST,grass,好,1800,761,05,耀昌勝世,7,9,12,83.7,84.26,0.61,23.67,-0.53,107.93,0.08,3 6 6 7 5,竣誠駒,青春力量,蜜蜜送,周俊樂,巴度,4,125,125
2025-07-05,ST,grass,好/快,1800,815,08,耀昌勝世,7,9,4,82.96,83.8,0.15,24.06,-0.14,107.86,0.01,3 5 6 7 8,火焰閃爍,年年友福,架勢奇爸,周俊樂,巴度,4,124,125
2025-09-07,ST,grass,好,1400,005,11,耀昌勝世,7,9,11,57.26,58.34,-0.26,24.5,1.1,82.84,0.84,11 12 12 11,星運少爵,旋風傳奇,做好自己,鍾易禮,巴度,4,120,125
2025-09-17,HV,grass,好/快,1800,031,10,耀昌勝世,7,9,2,84.22,84.86,-0.44,24.9,0.55,109.76,0.11,3 4 4 4 10,年年友福,奮鬥心,獎星,周俊樂,巴度,4,120,125
2025-10-04,ST,dirt,好,1650,068,12,耀昌勝世,7,9,9,75.03,76.27,1.02,26.17,2.37,102.44,3.39,11 10 10 12,天時明駒,金駒永騰,堅有利,鍾易禮,巴度,4,117,125
2025-10-15,HV,grass,好/快,1650,099,09,耀昌勝世,7,9,11,76.75,77.75,1.9,23.21,-1.04,100.96,0.86,12 12 12 9,凡凡有餘,祥勝將軍,榮耀盛甲,田泰安,巴度,4,118,125
2025-10-26,ST,grass,好/快,1800,123,04,耀昌勝世,7,9,2,83.29,83.69,-0.56,23.88,-0.32,107.57,-0.88,5 7 7 7 4,齊歡最樂,型到爆,悠悠乾坤,潘頓,巴度,5,135,125
2025-11-15,ST,grass,好,1800,180,14,耀昌勝世,7,9,3,83.36,84.2,-0.05,26.15,1.95,110.35,1.9,11 9 9 7 14,齊歡最樂,型到爆,瀧澤飛駒,田泰安,巴度,5,134,125
2025-11-26,HV,grass,好/快,1650,209,01,耀昌勝世,7,9,2,76.16,76.44,0.39,23.71,-0.54,100.15,-0.15,4 3 4 1,耀昌勝世,荃程路通,禾道威,艾道拿,巴度,5,132,125
2025-12-10,HV,grass,好,1650,249,07,耀昌勝世,7,9,8,75.86,76.7,0.85,24.01,-0.24,100.71,0.61,8 9 8 7,相映紅,祥勝將軍,將義,杜苑欣,巴度,4,118,125
2026-01-01,ST,grass,好,2000,307,01,耀昌勝世,7,9,6,100.27,100.27,1.87,23.31,-0.64,123.58,1.23,1 1 1 1 1,耀昌勝世,風火恆雲,包裝旋風,巴度,巴度,4,117,125
2026-01-11,ST,grass,好/快,1800,339,13,耀昌勝世,7,9,9,83.35,83.39,-0.26,26.53,2.33,109.92,2.07,5 2 1 2 13,中國心,大千雄心,風火恆雲,巴度,巴度,4,125,125
2026-02-14,ST,grass,好/快,1800,437,07,耀昌勝世,7,9,9,84.28,84.88,1.23,23.62,-0.58,108.5,0.65,12 14 13 10 7,八駿笑昇,大千雄心,愛心波,巴度,巴度,4,125,125
