日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2023-10-18,HV,grass,好/黏,1000,093,02,萬眾開心,8,12,12,34.25,34.53,-1.37,23.06,1.76,57.59,0.39,5 5 2,鑽飾翱翔,萬眾開心,精妙星,布文,蔡明紹,4,130,121
2023-11-22,HV,grass,好,1000,190,01,萬眾開心,8,12,11,34.18,34.74,-1.16,22.77,1.47,57.51,0.31,8 8 1,萬眾開心,超額認購,華麗活力,何澤堯,蔡明紹,4,132,121
2023-12-13,HV,grass,好,1000,246,03,萬眾開心,8,12,5,33.92,34.36,-1.29,23.09,2.09,57.45,0.8,4 5 3,帖木兒,運來勇士,萬眾開心,何澤堯,蔡明紹,3,118,121
2024-01-17,HV,grass,好,1000,346,01,萬眾開心,8,12,4,34.39,34.55,-1.1,22.88,1.88,57.43,0.78,2 2 1,萬眾開心,英雄豪邁,浪茄仔,潘頓,蔡明紹,3,120,121
2024-02-21,HV,grass,好,1000,445,04,萬眾開心,8,12,2,34.08,34.28,-1.37,23.13,2.13,57.41,0.76,2 2 4,嘉應精神,英雄豪邁,浪茄仔,艾道拿,蔡明紹,3,124,121
2024-03-27,HV,grass,好,1000,538,12,萬眾開心,8,12,4,33.75,34.11,-1.54,24.24,3.24,58.35,1.7,3 4 12,美麗第一,天火同人,英雄豪邁,希威森,蔡明紹,3,128,121
2024-04-24,HV,grass,好,1000,608,06,萬眾開心,8,12,2,33.44,34.48,-1.17,22.79,1.79,57.27,0.62,6 7 6,美麗第一,年少多好,連連有盈,鍾易禮,蔡明紹,3,122,121
2024-05-01,HV,grass,好/黏,1200,633,05,萬眾開心,8,12,4,46.67,46.67,-0.38,24.73,2.18,71.4,1.8,1 1 5,合夥奔馳,快搏,嘉應喝彩,賀銘年,蔡明紹,3,124,121
2024-05-11,ST,grass,好/快,1000,658,07,萬眾開心,8,12,1,33.51,33.79,-2.01,23.31,2.66,57.1,0.65,3 4 7,嘉應獎昇,水晶酒杯,怡心聲,潘頓,蔡明紹,3,124,121
2024-06-12,HV,grass,好,1000,749,02,萬眾開心,8,12,11,33.18,34.26,-1.39,22.93,1.93,57.19,0.54,10 11 2,年少多好,萬眾開心,英雄豪邁,何澤堯,蔡明紹,3,121,121
2024-10-27,HV,grass,好,1000,137,11,萬眾開心,8,12,11,34.13,34.53,-1.12,23.4,2.4,57.93,1.28,6 4 11,馬力,雅典武士,連連幸運,何澤堯,蔡明紹,3,122,121
2024-11-27,HV,grass,好,1000,219,10,萬眾開心,8,12,5,33.32,33.76,-1.89,24.16,3.16,57.92,1.27,3 3 10,添開心,連連幸運,年少多好,希威森,蔡明紹,3,124,121
2024-12-11,HV,grass,好,1000,256,05,萬眾開心,8,12,5,33.3,33.7,-1.95,23.69,2.69,57.39,0.74,5 3 5,巴薩諾瓦,年少多好,英雄豪邁,楊明綸,蔡明紹,3,123,121
2024-12-29,ST,dirt,好,1200,305,07,萬眾開心,8,12,3,45.48,45.72,-0.78,23.86,1.81,69.58,1.03,2 3 7,同祥和順,德心知遇,包裝伯樂,楊明綸,蔡明紹,3,115,121
2025-01-15,HV,grass,好,1000,351,03,萬眾開心,8,12,1,34.07,34.67,-1.23,22.65,1.35,57.32,0.12,5 5 3,勝萬金,知道長勝,萬眾開心,潘頓,蔡明紹,4,135,121
2025-02-19,HV,grass,好,1000,442,05,萬眾開心,8,12,1,33.33,33.77,-2.13,23.92,2.62,57.69,0.49,3 2 5,同滿滿,勝萬金,知道長勝,霍宏聲,蔡明紹,4,135,121
2025-03-05,HV,grass,好,1200,477,08,萬眾開心,8,12,8,46.07,46.87,-0.33,23.42,0.72,70.29,0.39,9 9 8,人和家盛,酷霸王,幸運星球,布文,蔡明紹,4,134,121
2025-04-02,HV,grass,好/快,1000,557,07,萬眾開心,8,12,7,34.28,34.36,-1.54,22.82,1.52,57.18,-0.02,1 2 7,妙玲瓏,同滿滿,顏色王子,艾道拿,蔡明紹,4,132,121
2025-04-23,HV,grass,好,1000,614,05,萬眾開心,8,12,10,34.2,34.44,-1.46,23.0,1.7,57.44,0.24,2 3 5,超強六十,亮寶,生生勝利,艾道拿,蔡明紹,4,133,121
2025-05-21,HV,grass,好/快,1000,692,02,萬眾開心,8,12,5,33.9,34.3,-1.6,23.15,1.85,57.45,0.25,4 5 2,精益大師,萬眾開心,辣得金,鍾易禮,蔡明紹,4,128,121
2025-06-11,HV,grass,好/快,1000,748,07,萬眾開心,8,12,7,33.98,34.46,-1.44,23.13,1.83,57.59,0.39,4 5 7,燭光晚餐,瑤瑤日上,快樂寶寶,鍾易禮,蔡明紹,4,127,121
2025-07-09,HV,grass,好/快,1000,822,04,萬眾開心,8,12,10,33.97,34.61,-1.29,22.69,1.39,57.3,0.1,9 7 4,幸運二十,天火同人,瑤瑤日上,鍾易禮,蔡明紹,4,128,121
2025-10-08,HV,grass,好/快,1000,080,12,萬眾開心,8,12,8,33.87,34.35,-1.55,24.55,3.25,58.9,1.7,7 6 12,勝萬金,超強六十,瑤瑤日上,艾道拿,蔡明紹,4,125,121
2026-01-28,HV,grass,好/快,1000,388,06,萬眾開心,8,12,5,34.0,34.2,-1.7,23.22,1.92,57.42,0.22,4 3 6,合夥飛馳,凝聚美麗,品德寶寶,鍾易禮,蔡明紹,4,122,121
2026-02-11,HV,grass,好/快,1000,429,05,萬眾開心,8,12,4,34.06,34.62,-1.28,22.61,1.31,57.23,0.03,6 8 5,品德寶寶,凝聚美麗,天火同人,紀仁安,蔡明紹,4,125,121
