日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-02-04,ST,grass,好,1000,393,14,運來伍寶,4,2,6,33.73,34.65,-1.15,24.2,3.55,58.85,2.4,12 13 14,水晶酒杯,星際快車,球星,楊明綸,麥文堅,3,122,128
2024-02-21,HV,grass,好,1000,445,12,運來伍寶,4,2,6,34.08,34.96,-0.69,24.14,3.14,59.1,2.45,6 8 12,嘉應精神,英雄豪邁,浪茄仔,賀銘年,麥文堅,3,120,128
2024-04-03,ST,dirt,好,1200,556,10,運來伍寶,4,2,4,45.56,47.88,1.38,28.02,5.97,75.9,7.35,10 10 10,昇瀧駒,凱旋時光,時時滿意,楊明綸,麥文堅,3,120,128
2024-05-01,HV,grass,好/黏,1200,635,10,運來伍寶,4,2,1,45.88,46.96,-0.09,25.53,2.98,72.49,2.89,7 9 10,顏色大皇,太陽拍檔,加州德至,湯普新,麥文堅,3,117,128
2024-05-29,ST,dirt,好,1200,708,07,運來伍寶,4,2,9,45.32,47.36,0.51,22.51,0.41,69.87,0.92,11 11 7,自強不息,大眾勝利,機械騎士,巫顯東,麥文堅,4,133,128
2024-06-15,ST,dirt,濕慢,1200,757,07,運來伍寶,4,2,10,45.94,47.14,0.29,23.36,1.26,70.5,1.55,11 12 7,澳華威威,機械騎士,金榜之星,巫顯東,麥文堅,4,132,128
2024-07-14,ST,grass,好,1400,826,13,運來伍寶,4,2,11,58.76,59.8,1.2,24.7,1.3,84.5,2.5,13 14 14 13,天天得樂,神馳,堅闖,巫顯東,麥文堅,4,131,128
2024-09-15,ST,dirt,好,1200,024,11,運來伍寶,4,2,4,46.06,47.98,1.13,22.78,0.68,70.76,1.81,12 12 11,勁先生,新強福盈,寶麗生輝,巫顯東,麥文堅,4,127,128
2024-09-22,ST,dirt,濕慢,1650,037,10,運來伍寶,4,2,5,74.54,75.74,0.49,27.27,3.47,103.01,3.96,9 9 10 10,歡樂老撾,歡喜福星,年年友福,巫顯東,麥文堅,4,126,128
2024-11-27,HV,grass,好,1200,218,06,運來伍寶,4,2,10,46.19,47.39,0.19,22.94,0.24,70.33,0.43,11 12 6,美麗緣分,電訊驕陽,日頌月讚,潘明輝,麥文堅,4,122,128
2024-12-22,ST,grass,好,1200,279,04,運來伍寶,4,2,12,45.46,46.7,-0.2,22.51,0.06,69.21,-0.14,12 11 4,非凡達,衝上雲霄,高感,艾兆禮,麥文堅,4,121,128
2025-01-08,HV,grass,好,1200,329,01,運來伍寶,4,2,2,46.5,46.78,-0.42,23.01,0.31,69.79,-0.11,5 4 1,運來伍寶,金匯昇昇,越駿知己,潘明輝,麥文堅,4,120,128
2025-01-22,HV,grass,好,1200,369,03,運來伍寶,4,2,7,46.67,46.79,-0.41,23.43,0.73,70.22,0.32,3 2 3,泰泰精神,千杯敬典,運來伍寶,潘明輝,麥文堅,4,127,128
2025-02-05,HV,grass,好,1200,402,01,運來伍寶,4,2,8,46.27,46.99,-0.21,23.15,0.45,70.14,0.24,10 9 1,運來伍寶,金匯昇昇,加非凡,潘明輝,麥文堅,4,128,128
2025-02-19,HV,grass,好,1200,440,06,運來伍寶,4,2,8,45.93,47.05,-0.15,23.12,0.42,70.17,0.27,11 11 6,領航財子,城中勇士,競馬一心,馬昆,麥文堅,4,134,128
2025-03-12,HV,grass,好/快,1200,501,07,運來伍寶,4,2,10,46.24,47.12,-0.08,23.18,0.48,70.3,0.4,12 12 7,智勝攻略,光輝所願,紅衣醒目,潘明輝,麥文堅,4,135,128
2025-04-23,HV,grass,好,1200,613,03,運來伍寶,4,2,2,46.65,47.01,-0.19,23.11,0.41,70.12,0.22,3 6 3,旌鷹,電訊驕陽,運來伍寶,潘明輝,麥文堅,4,135,128
2025-05-14,HV,grass,好/快,1200,673,03,運來伍寶,4,2,7,47.03,47.31,0.11,22.77,0.07,70.08,0.18,4 3 3,蓮冠皇,喜旺駒,運來伍寶,潘明輝,麥文堅,4,133,128
2025-06-04,HV,grass,好/黏,1200,730,05,運來伍寶,4,2,12,46.44,47.44,0.24,23.85,1.15,71.29,1.39,11 11 5,有鴻利,星火燎原,皇帝英明,潘明輝,麥文堅,4,134,128
2025-06-11,HV,grass,好/快,1200,753,02,運來伍寶,4,2,2,46.83,47.43,0.23,22.77,0.07,70.2,0.3,6 5 2,光輝所願,運來伍寶,新力,黃智弘,麥文堅,4,124,128
2025-07-09,HV,grass,好/快,1200,825,04,運來伍寶,4,2,3,45.97,46.45,-0.75,23.4,0.7,69.85,-0.05,5 5 4,祥勝力駒,天外迎天,領航財子,黃智弘,麥文堅,4,128,128
2025-10-15,HV,grass,好/快,1200,098,10,運來伍寶,4,2,10,46.84,48.12,0.92,22.95,0.25,71.07,1.17,12 12 10,皇帝英豪,雷神太保,至合拍,黃智弘,麥文堅,4,130,128
2025-10-30,ST,dirt,好,1200,137,02,運來伍寶,4,2,9,46.26,47.42,0.57,22.97,0.87,70.39,1.44,12 12 2,星火燎原,運來伍寶,金多囍,黃智弘,麥文堅,4,128,128
2025-12-07,ST,dirt,好,1200,241,10,運來伍寶,4,2,9,45.14,46.58,-0.27,23.37,1.27,69.95,1.0,11 12 10,大番薯,星火燎原,星光快驅,黃智弘,麥文堅,4,129,128
2025-12-23,HV,grass,好,1200,290,03,運來伍寶,4,2,9,46.49,47.33,0.13,23.06,0.36,70.39,0.49,9 9 3,佳運發,駿馬之寶,運來伍寶,潘明輝,麥文堅,4,135,128
2026-01-07,HV,grass,好,1200,328,08,運來伍寶,4,2,7,47.32,48.04,0.84,23.25,0.55,71.29,1.39,11 10 8,良駒好友,巴閉哥,祥勝力駒,潘明輝,麥文堅,4,135,128
2026-01-21,ST,dirt,好,1200,369,08,運來伍寶,4,2,7,45.51,46.47,-0.38,23.27,1.17,69.74,0.79,7 7 8,星火燎原,旺旺嘉駒,紅衣醒目,潘明輝,麥文堅,4,131,128
2026-02-11,HV,grass,好/快,1200,428,05,運來伍寶,4,2,5,46.1,46.94,-0.26,23.06,0.36,70.0,0.1,9 10 5,多多好馬,比特星,靖哥哥,潘明輝,麥文堅,4,129,128
