日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2023-10-04,HV,grass,好/快,1000,068,09,川河動駒,2,5,8,33.37,33.97,-1.68,23.84,2.84,57.81,1.16,6 5 9,英雄豪邁,電氣騎士,財才,何澤堯,鍾易禮 (-2),3,121,131
2023-11-11,ST,grass,好,1000,159,09,川河動駒,2,5,1,33.86,33.94,-1.86,24.49,3.84,58.43,1.98,3 2 9,賢者無敵,閃電烈馬,攻頂,艾兆禮,鍾易禮 (-2),3,121,131
2023-12-17,ST,dirt,好,1200,255,10,川河動駒,2,5,8,45.44,45.44,-1.06,25.77,3.72,71.21,2.66,1 1 10,旋風飛影,龍之心,爆熱,田泰安,鍾易禮 (-2),3,122,131
2024-01-24,ST,dirt,好,1200,367,04,川河動駒,2,5,9,45.46,45.58,-0.92,23.46,1.41,69.04,0.49,3 2 4,怡勁力,泉龍駒,喜至寶,楊明綸,鍾易禮 (-2),3,117,131
2024-02-18,ST,dirt,好,1200,433,07,川河動駒,2,5,4,45.82,45.82,-0.68,23.67,1.62,69.49,0.94,1 1 7,凱旋時光,好拍檔,泉龍駒,楊明綸,鍾易禮 (-2),3,120,131
2024-03-20,HV,grass,好,1200,517,01,川河動駒,2,5,3,45.96,46.12,-1.08,23.48,0.78,69.6,-0.3,2 2 1,川河動駒,多多配合,花好月盈,鍾易禮,鍾易禮 (-2),4,130,131
2024-04-10,HV,grass,好,1200,577,01,川河動駒,2,5,11,45.86,45.86,-1.19,23.82,1.27,69.68,0.08,1 1 1,川河動駒,顏色大皇,瑰麗人生,潘頓,鍾易禮 (-2),3,123,131
2024-05-08,HV,grass,好,1200,655,06,川河動駒,2,5,3,46.04,46.04,-1.01,24.78,2.23,70.82,1.22,2 1 6,撼天鐵翼,時尚風趣,家樂龍駒,鍾易禮,鍾易禮 (-2),3,127,131
2024-05-22,HV,grass,好,1000,691,05,川河動駒,2,5,11,33.81,34.01,-1.64,23.16,2.16,57.17,0.52,3 3 5,綠色好威,美麗第一,武千帥,鍾易禮,鍾易禮 (-2),3,128,131
2024-12-11,HV,grass,好,1000,256,06,川河動駒,2,5,9,33.3,33.78,-1.87,23.61,2.61,57.39,0.74,4 5 6,巴薩諾瓦,年少多好,英雄豪邁,麥道朗,鍾易禮 (-2),3,135,131
2025-02-19,HV,grass,好,1200,444,05,川河動駒,2,5,8,46.69,46.77,-0.28,23.49,0.94,70.26,0.66,2 2 5,美麗緣分,佛亮老撾,志滿同行,巫顯東,鍾易禮 (-2),3,130,131
2025-03-05,HV,grass,好,1200,484,02,川河動駒,2,5,1,46.56,46.56,-0.49,23.25,0.7,69.81,0.21,1 1 2,椒椒醒,川河動駒,鈁糖武士,巫顯東,鍾易禮 (-2),3,127,131
2025-03-12,HV,grass,好/快,1200,503,03,川河動駒,2,5,6,45.75,45.79,-1.26,23.48,0.93,69.27,-0.33,2 2 3,無限美麗,運高八斗,川河動駒,巫顯東,鍾易禮 (-2),3,133,131
2025-03-26,ST,dirt,好,1200,542,12,川河動駒,2,5,1,44.94,45.14,-1.36,25.3,3.25,70.44,1.89,3 2 12,德心知遇,皇龍飛將,晶晶日上,周俊樂,鍾易禮 (-2),3,122,131
2025-04-23,HV,grass,好,1000,618,06,川河動駒,2,5,7,33.46,33.66,-1.99,23.29,2.29,56.95,0.3,2 2 6,馬力,四季醒,勝萬金,黃智弘,鍾易禮 (-2),3,122,131
2025-05-28,HV,grass,好/快,1200,716,05,川河動駒,2,5,4,46.14,46.14,-0.91,23.87,1.32,70.01,0.41,2 1 5,駿奕快車,飲杯,超霸勝,黃智弘,鍾易禮 (-2),3,121,131
2025-06-25,HV,grass,好/快,1000,782,07,川河動駒,2,5,2,33.55,34.11,-1.54,23.27,2.27,57.38,0.73,4 4 7,八駿巨昇,年少多好,富心星,潘明輝,鍾易禮 (-2),3,126,131
2025-10-08,HV,grass,好/快,1200,084,07,川河動駒,2,5,12,46.03,46.03,-1.02,23.55,1.0,69.58,-0.02,1 1 7,家樂龍駒,天外迎天,樂勝天下,霍宏聲,鍾易禮 (-2),3,121,131
2025-11-02,HV,grass,好/快,1200,148,03,川河動駒,2,5,10,46.03,46.87,-0.18,22.63,0.08,69.5,-0.1,9 9 3,勇敢巨星,錶之極光,川河動駒,鍾易禮,鍾易禮 (-2),3,118,131
2025-11-30,ST,dirt,好,1200,222,07,川河動駒,2,5,9,45.04,45.92,-0.58,23.2,1.15,69.12,0.57,8 9 7,樂勝天下,錶之極光,時尚風趣,潘頓,鍾易禮 (-2),3,122,131
2025-12-23,HV,grass,好,1200,291,01,川河動駒,2,5,2,45.48,46.08,-0.97,22.99,0.44,69.07,-0.53,5 5 1,川河動駒,沙井之友,幸運星球,鍾易禮,鍾易禮 (-2),3,115,131
2026-01-14,HV,grass,好,1200,353,05,川河動駒,2,5,1,45.99,46.51,-0.54,23.33,0.78,69.84,0.24,6 7 5,三軍勇將,臻至辰,加州本事,鍾易禮,鍾易禮 (-2),3,126,131
2026-02-11,HV,grass,好/快,1200,432,02,川河動駒,2,5,6,46.19,46.27,-0.78,23.07,0.52,69.34,-0.26,2 2 2,金牌活力,川河動駒,三軍勇將,鍾易禮,鍾易禮 (-2),3,128,131
