日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2023-09-24,ST,grass,好,1400,044,05,唯美主義,2,7,4,59.45,59.85,1.25,23.17,-0.23,83.02,1.02,7 8 7 5,堅又威,滿歡笑,武林至尊,霍宏聲,希威森,4,124,133
2023-10-01,ST,grass,好,1600,061,02,唯美主義,2,7,14,72.29,72.93,1.83,22.48,-1.32,95.41,0.51,14 13 11 2,禪勝輝煌,唯美主義,將俠,何澤堯,希威森,4,124,133
2023-10-22,ST,grass,好,1600,104,03,唯美主義,2,7,7,72.03,72.35,1.25,23.2,-0.6,95.55,0.65,9 6 6 3,禪勝輝煌,將俠,唯美主義,艾兆禮,希威森,4,125,133
2023-11-05,ST,grass,好,1600,141,03,唯美主義,2,7,4,70.98,71.42,0.32,23.59,-0.21,95.01,0.11,8 8 7 3,天外飛天,將俠,唯美主義,潘頓,希威森,4,125,133
2023-11-11,ST,grass,好,1600,164,01,唯美主義,2,7,4,71.83,72.31,1.21,23.2,-0.6,95.51,0.61,10 10 7 1,唯美主義,佳福駒,精算特殊,潘頓,希威森,4,128,133
2023-12-17,ST,grass,好,1600,258,01,唯美主義,2,7,8,70.92,71.76,0.66,23.48,-0.32,95.24,0.34,10 10 10 1,唯美主義,智勝龍,將俠,潘頓,希威森,4,132,133
2024-01-01,ST,grass,好,1800,299,06,唯美主義,2,7,9,84.67,85.15,1.65,24.36,0.36,109.51,2.01,8 8 8 8 6,常拼常勇,博才,浪漫風采,潘頓,希威森,3,122,133
2024-01-28,ST,grass,好,1600,377,08,唯美主義,2,7,7,70.89,72.01,1.11,23.79,-0.01,95.8,1.1,13 13 13 8,魅力知遇,港林福將,久久為尊,霍宏聲,希威森,3,123,133
2024-02-07,HV,grass,好,1650,404,04,唯美主義,2,7,9,76.36,77.28,1.63,23.92,-0.33,101.2,1.3,10 10 11 4,十八掌,飛輪步,美麗滿滿,田泰安,希威森,3,118,133
2024-02-28,HV,grass,好,1650,462,07,唯美主義,2,7,7,76.2,77.6,1.95,24.3,0.05,101.9,2.0,10 10 10 7,駿行星,亞機拉,獨角獸,潘頓,希威森,3,121,133
2024-03-20,HV,grass,好,1650,520,10,唯美主義,2,7,11,78.07,79.31,3.66,22.47,-1.78,101.78,1.88,12 12 11 10,建測羣英,開心勇駒,博望坡,班德禮,希威森,3,118,133
2024-04-07,ST,grass,好,1600,567,06,唯美主義,2,7,14,72.13,73.09,1.99,23.46,-0.34,96.55,1.65,13 13 13 6,加州動員,哈哈大笑,獎星,潘頓,希威森,4,135,133
2024-05-05,ST,grass,好,1600,641,01,唯美主義,2,7,10,71.02,71.54,0.44,23.26,-0.54,94.8,-0.1,13 11 9 1,唯美主義,英駿飛駒,春風萬里,潘頓,希威森,4,133,133
2024-05-29,ST,dirt,好,1650,711,06,唯美主義,2,7,4,75.39,75.91,1.06,23.79,0.04,99.7,1.1,12 13 10 6,柏林探戈,好好心得,精彩動力,希威森,希威森,3,118,133
