日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2023-12-17,ST,dirt,好,1200,252,10,有派頭,6,6,10,45.65,46.09,-0.76,24.57,2.47,70.66,1.71,2 3 10,寶麗生輝,駿皇星,精益大師,田泰安,麥文堅,4,127,129
2024-01-24,ST,dirt,好,1200,365,08,有派頭,6,6,3,46.05,46.05,-0.8,24.16,2.06,70.21,1.26,2 2 8,天行健,型到爆,鑽飾翱翔,潘明輝,麥文堅,4,126,129
2024-02-21,HV,grass,好,1200,439,12,有派頭,6,6,12,46.5,46.94,-0.26,24.82,2.12,71.76,1.86,3 5 12,天足貓,晉神,千杯敬典,鍾易禮,麥文堅,4,120,129
2024-07-06,ST,dirt,好,1200,805,01,有派頭,6,6,1,45.55,45.55,-1.3,23.39,1.29,68.94,-0.01,1 1 1,有派頭,火神神樂,新強福盈,陳嘉熙,麥文堅,4,119,129
2024-09-15,ST,dirt,好,1200,024,08,有派頭,6,6,7,46.06,46.86,0.01,23.56,1.46,70.42,1.47,5 6 8,勁先生,新強福盈,寶麗生輝,陳嘉熙,麥文堅,4,128,129
2024-09-28,ST,dirt,好,1200,058,06,有派頭,6,6,7,46.02,46.82,-0.03,23.05,0.95,69.87,0.92,11 10 6,良駒好友,酷霸王,宇宙動力,潘明輝,麥文堅,4,132,129
2024-10-23,ST,dirt,好,1200,125,02,有派頭,6,6,3,45.72,46.24,-0.61,23.72,1.62,69.96,1.01,5 5 2,陽光寶貝,有派頭,快馬加鞭,黃智弘,麥文堅,4,125,129
2024-11-24,ST,dirt,好,1200,205,02,有派頭,6,6,3,45.64,45.76,-1.09,22.96,0.86,68.72,-0.23,3 3 2,越野大師,有派頭,郎善好施,布文,麥文堅,4,131,129
2024-12-01,ST,dirt,好,1200,224,04,有派頭,6,6,12,45.14,45.54,-1.31,24.44,2.34,69.98,1.03,7 8 4,澳華威威,獵寶勤,陽光寶貝,布文,麥文堅,4,133,129
2024-12-29,ST,dirt,好,1200,302,06,有派頭,6,6,4,45.98,46.66,-0.19,23.29,1.19,69.95,1.0,7 10 6,良駒好友,勁先生,越野大師,布文,麥文堅,4,134,129
2025-01-26,ST,dirt,好,1650,382,11,有派頭,6,6,9,74.12,74.44,-0.81,25.73,1.93,100.17,1.12,3 3 3 11,天威,艾莉奧,勝意,布文,麥文堅,4,133,129
2025-02-12,ST,dirt,濕慢,1650,423,06,有派頭,6,6,2,75.93,76.33,1.08,25.8,2.0,102.13,3.08,3 3 4 6,天時明駒,勝意,滿心星,黃智弘,麥文堅,4,123,129
2025-03-02,ST,dirt,好,1650,471,01,有派頭,6,6,2,75.03,75.23,-0.02,22.85,-0.95,98.08,-0.97,5 4 3 1,有派頭,勝意,爆熱,黃智弘,麥文堅,4,121,129
2025-03-26,ST,dirt,好,1650,536,11,有派頭,6,6,14,74.61,75.29,0.04,24.41,0.61,99.7,0.65,7 7 8 11,超加加,時間寶,幻影旋風,黃寶妮,麥文堅,4,124,129
2025-09-10,HV,grass,好,1650,014,10,有派頭,6,6,11,75.55,75.75,-0.1,25.96,1.71,101.71,1.61,2 2 2 10,極速滿貫,勁進駒,豐辰,黃智弘,麥文堅,4,129,129
2025-10-04,ST,grass,好/快,1400,071,06,有派頭,6,6,5,57.86,58.58,-0.02,23.57,0.17,82.15,0.15,10 9 9 6,準輝煌,凱旋幸運,天天更好,黃智弘,麥文堅,4,130,129
2025-10-30,ST,dirt,好,1650,138,02,有派頭,6,6,4,75.86,75.94,0.69,25.01,1.21,100.95,1.9,3 3 3 2,風繼續吹,有派頭,青春力量,布文,麥文堅,4,133,129
2025-11-15,ST,dirt,好,1650,184,10,有派頭,6,6,6,74.37,74.77,-0.48,25.22,1.42,99.99,0.94,4 5 6 10,奮鬥心,加州星馳,巧眼光,麥道朗,麥文堅,4,134,129
2025-12-23,HV,grass,好,1650,286,05,有派頭,6,6,5,76.01,76.33,0.48,24.46,0.21,100.79,0.69,4 4 6 5,錶之量子,新幹線,多利神駒,布文,麥文堅,4,135,129
2026-01-21,ST,dirt,好,1650,371,11,有派頭,6,6,14,74.2,74.68,-0.57,25.29,1.49,99.97,0.92,4 4 4 11,巧眼光,午夜快車,加州星馳,周俊樂,麥文堅,4,130,129
