日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2025-05-25,ST,grass,好,1000,705,02,精彩福星,6,6,7,34.31,34.59,-1.21,23.14,2.49,57.73,1.28,2 4 2,星際快車,精彩福星,英雄豪傑,湯普新,奧爾民,3,120,124
2025-06-08,ST,grass,好/快,1000,745,07,精彩福星,6,6,12,33.29,33.53,-2.27,22.72,2.07,56.25,-0.2,1 2 7,英勇快車,會長之寶,新力好,湯普新,奧爾民,3,120,124
2025-07-13,ST,grass,好/快,1200,837,11,精彩福星,6,6,5,45.2,45.92,-0.73,23.88,1.53,69.8,0.8,7 6 11,星月飛雲,小鳥天堂,魅力寶駒,艾兆禮,奧爾民,3,121,124
2025-09-14,ST,grass,好/快,1000,025,01,精彩福星,6,6,9,33.06,33.06,-2.74,22.27,1.62,55.33,-1.12,1 1 1,精彩福星,會長之寶,展雄威,希威森,奧爾民,3,121,124
2025-10-04,ST,grass,好/快,1000,072,08,精彩福星,6,6,10,33.71,33.71,-2.09,23.44,2.79,57.15,0.7,1 1 8,手到齊來,英雄豪傑,年少多好,希威森,奧爾民,3,123,124
2025-10-26,ST,grass,好/快,1000,131,12,精彩福星,6,6,3,33.63,33.79,-2.01,23.58,2.93,57.37,0.92,1 4 12,星運傳奇,飛來閃耀,領航君子,潘頓,奧爾民,3,132,124
2025-11-30,ST,dirt,好,1200,222,12,精彩福星,6,6,8,45.04,45.08,-1.42,25.3,3.25,70.38,1.83,2 3 12,樂勝天下,錶之極光,時尚風趣,希威森,奧爾民,3,131,124
2025-12-17,HV,grass,好,1000,271,03,精彩福星,6,6,8,34.03,34.03,-1.62,22.94,1.94,56.97,0.32,1 1 3,燭光晚餐,添開心,精彩福星,希威森,奧爾民,3,127,124
2026-01-07,HV,grass,好,1000,331,05,精彩福星,6,6,9,33.53,33.53,-2.12,23.53,2.53,57.06,0.41,1 1 5,好好戀愛,手到齊來,連連幸運,希威森,奧爾民,3,121,124
2026-02-04,HV,grass,好/快,1000,410,10,精彩福星,6,6,1,33.4,33.84,-1.81,23.1,2.1,56.94,0.29,4 3 10,燭光晚餐,連連幸運,好好戀愛,希威森,奧爾民,3,125,124
2026-02-14,ST,grass,好/快,1000,442,04,精彩福星,6,6,13,33.28,33.48,-2.32,22.37,1.72,55.85,-0.6,1 3 4,興馳千里,路路勁,俏眼光,奧爾民,奧爾民,3,124,124
