日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-11-17,ST,grass,好,1400,191,01,銀亮奔騰,1,1,1,59.06,59.18,0.68,22.48,-0.67,81.66,0.01,4 3 4 1,銀亮奔騰,同樣美麗,玩笑,田泰安,布文,3,122,135
2024-12-15,ST,grass,好,1600,268,05,銀亮奔騰,1,1,14,70.88,71.72,0.82,22.57,-1.23,94.29,-0.41,12 12 12 5,米奇,百賀飛駒,包裝明駒,田泰安,布文,3,125,135
2025-01-31,ST,grass,好,1600,395,03,銀亮奔騰,1,1,12,73.21,73.61,2.71,22.18,-1.62,95.79,1.09,12 11 9 3,帥帥友福,仁心星,銀亮奔騰,潘頓,布文,3,127,135
2025-04-27,ST,grass,好,1400,629,04,銀亮奔騰,1,1,3,57.75,58.47,-0.03,23.09,-0.06,81.56,-0.09,9 10 8 4,大眾福星,美麗邂逅,哈羅威,田泰安,布文,3,130,135
2025-06-14,ST,grass,好,1400,766,09,銀亮奔騰,1,1,9,58.69,59.73,1.23,22.74,-0.41,82.47,0.82,9 10 9 9,錶之星河,樂勝天下,勇冠群英,田泰安,布文,3,126,135
2025-10-01,ST,grass,好/快,1400,065,02,銀亮奔騰,1,1,4,58.13,58.49,-0.01,22.67,-0.48,81.16,-0.49,3 4 4 2,勁沙塵,銀亮奔騰,喜尊龍,艾道拿,布文,3,126,135
2025-11-05,HV,grass,好/快,1650,159,02,銀亮奔騰,1,1,5,75.0,75.6,-0.05,23.5,-0.75,99.1,-0.8,5 6 6 2,開心三寶,銀亮奔騰,有財有勢,艾道拿,布文,3,128,135
2025-12-10,HV,grass,好,1650,251,01,銀亮奔騰,1,1,6,75.99,76.99,1.34,23.04,-1.21,100.03,0.13,9 10 8 1,銀亮奔騰,非凡豪傑,勁沙塵,布文,布文,3,131,135
2026-01-14,HV,grass,好,1650,349,02,銀亮奔騰,1,1,12,77.51,78.55,2.9,22.22,-2.03,100.77,0.87,11 11 12 2,勁沙塵,銀亮奔騰,富國兄弟,布文,布文,3,132,135
2026-02-04,HV,grass,好/快,1650,407,04,銀亮奔騰,1,1,8,74.72,75.72,0.22,22.42,-1.38,98.14,-1.16,8 8 8 4,非惟僥倖,太陽勇士,大浪圖田,田泰安,布文,2,115,135
