日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-06-15,ST,grass,軟,1200,755,04,共享富裕,2,13,2,46.26,47.06,0.16,23.3,0.85,70.36,1.01,7 8 4,旭日昇,極速贏,天天耍樂,楊明綸,布文,4,127,132
2024-07-14,ST,grass,好,1400,827,04,共享富裕,2,13,8,58.81,59.81,1.21,22.58,-0.82,82.39,0.39,13 13 12 4,遙遙領先,翹峯,聚風雲,何澤堯,布文,4,128,132
2024-09-08,ST,grass,好,1400,008,08,共享富裕,2,13,4,59.85,60.37,1.77,22.7,-0.7,83.07,1.07,7 7 8 8,人和家盛,一定掂,極速贏,何澤堯,布文,4,129,132
2024-09-15,ST,grass,好/快,1600,019,01,共享富裕,2,13,4,70.63,71.47,0.37,22.23,-1.57,93.7,-1.2,7 8 7 1,共享富裕,精算特殊,神駒馬靈,布文,布文,4,127,132
2024-10-13,ST,grass,好/快,1600,098,01,共享富裕,2,13,8,70.47,71.15,0.05,23.12,-0.68,94.27,-0.63,11 10 10 1,共享富裕,金獅勝將,加州動員,布文,布文,4,133,132
2024-11-17,ST,grass,好,2000,187,02,共享富裕,2,13,12,97.99,98.79,0.44,22.74,-0.81,121.53,-0.37,12 12 12 12 2,愛心神駒,共享富裕,金陽飛駒,麥道朗,布文,3,122,132
2024-12-08,ST,grass,好,1800,245,06,共享富裕,2,13,5,83.79,84.71,1.21,23.54,-0.46,108.25,0.75,9 9 10 10 6,加州動員,和平波,愛心神駒,麥道朗,布文,3,127,132
2025-02-16,ST,grass,好/快,1800,433,04,共享富裕,2,13,6,83.91,84.55,1.05,22.5,-1.5,107.05,-0.45,11 10 10 10 4,遙遙領先,平凡騎士,奔放,布文,布文,3,124,132
2025-04-27,ST,grass,好,1600,628,01,共享富裕,2,13,6,70.62,71.14,0.24,23.02,-0.78,94.16,-0.54,10 10 7 1,共享富裕,大浪圖田,鐵金剛,莫雷拉,布文,3,125,132
2025-05-04,ST,grass,好/快,2000,648,04,共享富裕,2,13,2,99.58,100.02,1.67,22.34,-1.21,122.36,0.46,7 7 7 9 4,奔放,金主,天將龍駒,布文,布文,3,132,132
2025-05-25,ST,grass,好,2000,706,10,共享富裕,2,13,12,97.35,97.75,-0.6,24.44,0.89,122.19,0.29,11 9 4 4 10,金主,奔放,安可,布文,布文,3,130,132
2025-06-28,ST,grass,好,2000,789,05,共享富裕,2,13,9,97.51,97.83,-0.52,23.13,-0.42,120.96,-0.94,9 8 7 6 5,君子傳承,久久為攻,愛心神駒,黃智弘,布文,3,125,132
