日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2023-09-13,HV,grass,好,1000,017,03,英雄豪邁,13,11,1,33.64,33.92,-1.73,23.27,2.27,57.19,0.54,4 3 3,人和家興,財才,英雄豪邁,潘頓,巴度,3,123,120
2023-10-04,HV,grass,好/快,1000,068,01,英雄豪邁,13,11,4,33.37,33.81,-1.84,22.55,1.55,56.36,-0.29,5 4 1,英雄豪邁,電氣騎士,財才,田泰安,巴度,3,123,120
2023-11-01,HV,grass,好,1000,131,04,英雄豪邁,13,11,7,33.74,34.02,-1.63,23.42,2.42,57.44,0.79,3 5 4,電氣騎士,財才,帖木兒,田泰安,巴度,3,132,120
2023-11-29,HV,grass,好,1000,206,03,英雄豪邁,13,11,1,34.36,34.48,-1.17,22.94,1.94,57.42,0.77,3 2 3,財才,平常心,英雄豪邁,田泰安,巴度,3,131,120
2023-12-26,ST,grass,好,1000,287,03,英雄豪邁,13,11,4,33.53,34.01,-1.79,22.76,2.11,56.77,0.32,7 9 3,爵登,加州德至,英雄豪邁,麥道朗,巴度,3,132,120
2024-01-17,HV,grass,好,1000,346,02,英雄豪邁,13,11,6,34.39,35.15,-0.5,22.48,1.48,57.63,0.98,5 6 2,萬眾開心,英雄豪邁,浪茄仔,艾兆禮,巴度,3,129,120
2024-02-07,HV,grass,好,1200,406,10,英雄豪邁,13,11,10,46.47,46.87,-0.18,24.48,1.93,71.35,1.75,6 4 10,鈁糖武士,撼天鐵翼,爭金奪冠,田泰安,巴度,3,130,120
2024-02-21,HV,grass,好,1000,445,02,英雄豪邁,13,11,4,34.08,34.72,-0.93,22.57,1.57,57.29,0.64,7 6 2,嘉應精神,英雄豪邁,浪茄仔,田泰安,巴度,3,127,120
2024-03-10,ST,grass,好,1000,491,06,英雄豪邁,13,11,4,33.5,34.5,-1.3,22.9,2.25,57.4,0.95,13 12 6,水晶酒杯,占士德,星際快車,布文,巴度,3,129,120
2024-03-27,HV,grass,好,1000,538,03,英雄豪邁,13,11,2,33.75,34.27,-1.38,22.87,1.87,57.14,0.49,7 6 3,美麗第一,天火同人,英雄豪邁,布文,巴度,3,131,120
