日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-01-21,ST,grass,好,1000,354,05,信心星,11,4,8,34.13,35.13,-0.77,23.25,2.5,58.38,1.73,9 11 5,球星,綠色有料,連連勝利,何澤堯,黃智弘 (-3),4,127,116
2024-02-18,ST,grass,好,1200,430,03,信心星,11,4,12,46.95,47.79,0.89,22.48,0.03,70.27,0.92,11 11 3,占士德,讓愛高飛,信心星,霍宏聲,黃智弘 (-3),4,127,116
2024-03-03,ST,grass,好,1200,466,05,信心星,11,4,7,46.64,47.36,0.46,22.78,0.33,70.14,0.79,8 9 5,東方飛影,譽友翔駒,龍城強將,薛恩,黃智弘 (-3),4,127,116
2024-03-24,ST,grass,好/快,1400,527,04,信心星,11,4,3,57.92,58.2,-0.4,23.62,0.22,81.82,-0.18,3 4 4 4,忠誠寶寶,艾莉奧,金駿星,薛恩,黃智弘 (-3),4,128,116
2024-04-14,ST,grass,好/快,1400,586,03,信心星,11,4,7,58.65,58.89,0.29,23.08,-0.32,81.97,-0.03,2 3 4 3,馬主雄風,金榜之星,信心星,何澤堯,黃智弘 (-3),4,126,116
2024-05-11,ST,grass,好/快,1400,664,03,信心星,11,4,1,58.94,59.3,0.7,22.81,-0.59,82.11,0.11,4 5 6 3,旌鷹,金榜之星,信心星,何澤堯,黃智弘 (-3),4,124,116
2024-05-19,ST,grass,好,1400,680,01,信心星,11,4,2,59.28,60.0,1.4,22.77,-0.63,82.77,0.77,6 7 8 1,信心星,艾莉奧,大利好運,布文,黃智弘 (-3),4,125,116
2024-06-05,HV,grass,好/黏,1650,728,03,信心星,11,4,7,77.08,77.08,1.23,24.69,0.44,101.77,1.67,3 1 1 3,北海盜,紅海勁,信心星,布文,黃智弘 (-3),4,132,116
2024-10-06,ST,grass,好/快,1400,082,01,信心星,11,4,9,58.74,58.86,0.26,22.89,-0.51,81.75,-0.25,3 3 2 1,信心星,幸運芙蓉,糖不甩,布文,黃智弘 (-3),4,132,116
2024-10-20,ST,grass,好/快,1400,120,02,信心星,11,4,2,58.45,58.65,0.15,23.11,-0.04,81.76,0.11,5 3 3 2,堅又威,信心星,盈妍威楓,霍宏聲,黃智弘 (-3),3,122,116
2024-11-03,ST,grass,好/快,1400,155,02,信心星,11,4,7,58.24,58.4,-0.1,23.03,-0.12,81.43,-0.22,2 3 3 2,祝願,信心星,紫荊歡呼,希威森,黃智弘 (-3),3,123,116
2024-11-24,ST,grass,好/快,1600,211,01,信心星,11,4,14,70.88,70.96,0.06,23.47,-0.33,94.43,-0.27,2 2 2 1,信心星,縱橫天下,金佰令,希威森,黃智弘 (-3),3,125,116
2024-12-15,ST,grass,好,1600,268,07,信心星,11,4,1,70.88,70.88,-0.02,23.54,-0.26,94.42,-0.28,1 1 1 7,米奇,百賀飛駒,包裝明駒,巴度,黃智弘 (-3),3,129,116
2025-01-19,ST,grass,好/快,1400,364,02,信心星,11,4,12,58.89,59.61,1.11,22.05,-1.1,81.66,0.01,11 12 12 2,有目共賞,信心星,實力派,布文,黃智弘 (-3),3,129,116
2025-02-09,ST,grass,好,1400,417,02,信心星,11,4,1,58.21,58.65,0.15,22.89,-0.26,81.54,-0.11,7 6 6 1,金勝名駒,信心星,電源之駒,布文,黃智弘 (-3),3,135,116
2025-03-15,ST,grass,好/黏,1400,514,03,信心星,11,4,6,59.79,60.23,1.73,23.0,-0.15,83.23,1.58,7 7 5 3,康樂高球,首飾天空,信心星,布文,黃智弘 (-3),3,135,116
2025-03-30,ST,grass,好,1400,552,05,信心星,11,4,11,58.88,60.12,1.62,22.27,-0.88,82.39,0.74,11 10 10 5,不同世界,元朗精英,鐵金剛,金誠剛,黃智弘 (-3),3,135,116
2025-04-13,ST,grass,好,1400,591,08,信心星,11,4,13,57.9,59.58,1.08,22.2,-0.95,81.78,0.13,13 13 12 8,康樂高球,光年魅力,安泰,黃智弘,黃智弘 (-3),3,128,116
2025-05-21,HV,grass,好/快,1650,695,04,信心星,11,4,12,75.69,76.93,1.28,23.1,-1.15,100.03,0.13,12 12 12 4,納百川,久久為攻,盈妍威楓,布文,黃智弘 (-3),3,135,116
2025-06-04,HV,grass,好/黏,1650,735,03,信心星,11,4,4,74.99,75.63,-0.02,24.76,0.51,100.39,0.49,4 5 6 3,瑪瑙,智勇名駒,信心星,黃智弘,黃智弘 (-3),3,126,116
2025-06-25,HV,grass,好/快,1650,785,07,信心星,11,4,11,75.22,75.78,0.13,23.94,-0.31,99.72,-0.18,2 3 4 7,暴風之子,浪漫老撾,香港神駒,班德禮,黃智弘 (-3),3,133,116
