日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2023-10-22,ST,grass,好,1000,105,01,賢者無敵,10,7,1,33.69,34.45,-1.35,22.45,1.8,56.9,0.45,12 12 1,賢者無敵,令才,萬里飛至,布文,潘明輝,3,130,119
2023-11-11,ST,grass,好,1000,159,01,賢者無敵,10,7,4,33.86,34.46,-1.34,22.45,1.8,56.91,0.46,9 9 1,賢者無敵,閃電烈馬,攻頂,布文,潘明輝,3,135,119
2023-12-17,ST,grass,好,1000,257,01,賢者無敵,10,7,7,34.16,34.4,-1.05,22.68,2.08,57.08,1.03,7 6 1,賢者無敵,當家精神,傑出漢子,潘頓,潘明輝,2,120,119
2024-01-07,ST,grass,好,1000,321,02,賢者無敵,10,7,1,34.01,34.25,-1.05,22.77,2.17,57.02,1.12,7 3 2,狀元及第,賢者無敵,包裝必勝,巴度,潘明輝,0,115,119
2024-02-12,ST,grass,好,1200,416,06,賢者無敵,10,7,8,46.44,47.16,0.76,22.24,-0.01,69.4,0.75,13 13 6,嫡愛心,錶之銀河,魅力寶駒,巴度,潘明輝,2,132,119
2024-03-03,ST,grass,好,1000,472,02,賢者無敵,10,7,4,34.27,34.75,-0.7,22.24,1.64,56.99,0.94,6 6 2,緊張大師,賢者無敵,當家精神,布文,潘明輝,2,127,119
2024-03-24,ST,grass,好/快,1200,529,03,賢者無敵,10,7,4,45.21,45.41,-0.79,22.52,0.27,67.93,-0.52,6 4 3,威力奔騰,嫡愛心,賢者無敵,薛恩,潘明輝,1,122,119
2024-04-07,ST,grass,好,1200,565,02,賢者無敵,10,7,8,45.79,45.99,0.04,23.29,1.09,69.28,1.13,2 3 2,金鑽貴人,賢者無敵,威力奔騰,巴度,潘明輝,0,123,119
2024-04-28,ST,grass,黏,1200,621,01,賢者無敵,10,7,5,45.55,45.83,-0.12,23.5,1.3,69.33,1.18,4 3 1,賢者無敵,加州星球,綠族無限,布文,潘明輝,0,126,119
2024-06-02,ST,grass,好/快,1200,720,08,賢者無敵,10,7,2,45.84,46.04,0.09,22.97,0.77,69.01,0.86,3 3 8,嘉應高昇,威力奔騰,嫡愛心,布文,潘明輝,0,129,119
2024-10-01,ST,grass,好/快,1000,071,06,賢者無敵,10,7,3,33.81,34.21,-1.09,22.15,1.55,56.36,0.46,7 7 6,美麗第一,魔術控制,狀元及第,布文,潘明輝,0,135,119
2024-10-20,ST,grass,好/快,1200,117,10,賢者無敵,10,7,5,45.21,45.41,-0.54,23.13,0.93,68.54,0.39,4 4 10,嘉應高昇,驕陽明駒,加州星球,布文,潘明輝,0,127,119
2024-11-17,ST,grass,好,1200,188,05,賢者無敵,10,7,11,45.09,45.61,-0.34,22.63,0.43,68.24,0.09,6 6 5,嘉應高昇,嫡愛心,驕陽明駒,霍宏聲,潘明輝,0,128,119
2024-12-08,ST,grass,好,1200,244,10,賢者無敵,10,7,12,45.65,46.25,0.3,22.7,0.5,68.95,0.8,12 11 10,嘉應高昇,驕陽明駒,里見夢境,薛恩,潘明輝,0,126,119
2025-01-19,ST,grass,好,1200,361,04,賢者無敵,10,7,6,44.84,45.76,-0.19,22.09,-0.11,67.85,-0.3,7 8 4,嘉應高昇,驕陽明駒,嫡愛心,艾道拿,潘明輝,0,126,119
2025-02-23,ST,grass,好,1400,451,07,賢者無敵,10,7,3,57.73,57.89,-0.36,22.92,0.07,80.81,-0.29,3 3 3 7,嘉應高昇,驕陽明駒,嫡愛心,霍宏聲,潘明輝,0,126,119
2025-03-09,ST,grass,好/快,1200,492,05,賢者無敵,10,7,1,46.39,46.63,0.43,22.59,0.34,69.22,0.77,3 3 5,幸運有您,合夥奔馳,飛鷹翱翔,布文,潘明輝,1,135,119
2025-04-13,ST,grass,好,1400,588,07,賢者無敵,10,7,1,58.16,58.2,-0.15,23.2,0.3,81.4,0.15,2 2 2 7,開心寶寶,手機錶霸,神虎龍駒,黃寶妮,潘明輝,1,117,119
2025-04-27,ST,grass,好,1200,624,04,賢者無敵,10,7,9,45.78,46.02,0.07,22.6,0.4,68.62,0.47,3 3 4,嘉應高昇,里見夢境,驕陽明駒,潘明輝,潘明輝,0,126,119
2025-05-31,ST,grass,好,1200,724,02,賢者無敵,10,7,6,45.45,45.73,-0.22,22.42,0.22,68.15,0.0,6 6 2,驕陽明駒,賢者無敵,手機錶霸,湯普新,潘明輝,0,115,119
2025-06-22,ST,grass,好,1400,772,09,賢者無敵,10,7,9,58.78,59.42,1.17,22.42,-0.43,81.84,0.74,9 9 7 9,合夥奔馳,越駿歡欣,包裝天將,布文,潘明輝,0,129,119
2025-10-01,ST,grass,好/快,1000,062,05,賢者無敵,10,7,8,33.34,33.66,-1.64,22.4,1.8,56.06,0.16,4 7 5,舉步生風,精算暴雪,魔術控制,奧爾民,潘明輝,0,129,119
2025-10-26,ST,grass,好/快,1200,130,14,賢者無敵,10,7,14,44.68,46.44,0.49,23.11,0.91,69.55,1.4,14 14 14,好友心得,精算暴雪,包裝天將,潘明輝,潘明輝,0,120,119
2025-11-30,ST,grass,好,1000,224,12,賢者無敵,10,7,6,33.73,34.41,-1.04,22.89,2.29,57.3,1.25,8 13 12,顏色之皇,翠紅,水晶酒杯,布文,潘明輝,2,135,119
2026-01-04,ST,grass,好,1000,321,03,賢者無敵,10,7,6,33.54,34.06,-1.24,22.44,1.84,56.5,0.6,6 4 3,星際快車,顏色之皇,賢者無敵,奧爾民,潘明輝,0,129,119
2026-02-04,HV,grass,好/快,1200,412,08,賢者無敵,10,7,9,45.71,46.47,-0.48,22.87,0.52,69.34,0.04,7 8 8,美麗第一,競駿輝煌,勇敢巨星,奧爾民,潘明輝,2,133,119
2026-02-22,ST,grass,好,1000,458,03,賢者無敵,10,7,3,33.13,33.41,-2.04,22.23,1.63,55.64,-0.41,6 7 3,星際快車,顏色之皇,賢者無敵,奧爾民,潘明輝,2,135,119
