日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2025-01-19,ST,grass,好/快,1400,362,04,大眾福星,2,12,14,58.22,59.02,0.52,22.72,-0.43,81.74,0.09,14 14 11 4,錶之宇宙,自力更生,光年魅力,梁家俊,何澤堯,3,122,132
2025-02-16,ST,grass,好/快,1600,437,10,大眾福星,2,12,8,71.11,72.07,1.17,22.58,-1.22,94.65,-0.05,13 13 10 10,仁心星,天將龍駒,不同世界,梁家俊,何澤堯,3,122,132
2025-03-23,ST,grass,好/快,1400,528,06,大眾福星,2,12,9,58.35,58.67,0.17,22.79,-0.36,81.46,-0.19,3 4 5 6,安泰,穿甲戰鷹,美麗邂逅,莫雷拉,何澤堯,3,124,132
2025-04-27,ST,grass,好,1400,629,01,大眾福星,2,12,1,57.75,58.19,-0.31,23.08,-0.07,81.27,-0.38,7 6 4 1,大眾福星,美麗邂逅,哈羅威,莫雷拉,何澤堯,3,123,132
2025-05-31,ST,grass,好,1400,725,02,大眾福星,2,12,11,58.19,58.95,0.45,22.44,-0.71,81.39,-0.26,8 8 8 2,嘉應奇兵,大眾福星,元朗精英,潘頓,何澤堯,3,129,132
2025-10-19,ST,grass,好/快,1400,112,02,大眾福星,2,12,10,57.3,57.98,-0.52,23.06,-0.09,81.04,-0.61,10 11 10 2,駿奕快車,大眾福星,哈羅威,潘頓,何澤堯,3,127,132
2025-11-23,ST,grass,好/快,1400,207,03,大眾福星,2,12,13,58.79,59.35,0.85,22.64,-0.51,81.99,0.34,7 7 6 3,同心同樂,勇冠群英,大眾福星,潘頓,何澤堯,3,131,132
2025-12-14,ST,grass,好,1400,262,02,大眾福星,2,12,7,58.31,58.95,0.45,22.79,-0.36,81.74,0.09,4 6 5 2,榮駿大道,大眾福星,百威多贏,潘頓,何澤堯,3,130,132
2026-01-04,ST,grass,好,1600,324,05,大眾福星,2,12,4,71.65,72.33,1.43,22.95,-0.85,95.28,0.58,7 8 8 5,開心勇駒,榮駿大道,高高至高,潘頓,何澤堯,3,134,132
2026-02-01,ST,grass,好,1400,404,05,大眾福星,2,12,6,58.3,59.26,0.76,22.31,-0.84,81.57,-0.08,9 11 12 5,綠野飛馳,韋金主,新力好,何澤堯,何澤堯,3,130,132
