日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-10-01,ST,grass,好/快,1400,074,13,不假外求,14,12,14,58.46,59.58,1.08,23.4,0.25,82.98,1.33,14 14 14 13,金勝名駒,壯志凌雲,魯班精神,梁家俊,蔡明紹,3,119,115
2024-10-13,ST,grass,好/快,1400,101,12,不假外求,14,12,8,58.94,59.7,1.2,22.93,-0.22,82.63,0.98,10 9 9 12,鑽石星空,還看今朝,駿奕快車,楊明綸,蔡明紹,3,118,115
2024-11-03,ST,grass,好/快,1400,155,14,不假外求,14,12,10,58.24,59.6,1.1,23.9,0.75,83.5,1.85,12 14 14 14,祝願,信心星,紫荊歡呼,楊明綸,蔡明紹,3,119,115
2024-12-18,ST,dirt,好,1650,274,13,不假外求,14,12,8,74.17,75.09,-0.16,27.04,3.24,102.13,3.08,8 7 12 13,超眼光,閃耀威龍,爆熱,楊明綸,蔡明紹,4,135,115
2025-02-26,HV,grass,好,1650,463,12,不假外求,14,12,4,76.9,77.54,1.69,24.47,0.22,102.01,1.91,7 7 7 12,紅海勁,連連歡呼,寶成智星,湯普新,蔡明紹,4,131,115
2025-03-12,HV,grass,好/快,1650,500,11,不假外求,14,12,12,75.79,77.35,1.5,24.96,0.71,102.31,2.21,12 11 11 11,智勇名駒,爆笑,論文,黃智弘,蔡明紹,4,121,115
2025-03-26,ST,dirt,好,1650,536,10,不假外求,14,12,4,74.61,75.69,0.44,23.96,0.16,99.65,0.6,11 13 14 10,超加加,時間寶,幻影旋風,麥當能,蔡明紹,4,125,115
2025-04-09,HV,grass,好/快,1800,574,12,不假外求,14,12,1,85.14,85.34,0.04,26.21,1.86,111.55,1.9,2 3 3 4 12,香港神駒,獎星,風起雲湧,鍾易禮,蔡明紹,4,120,115
2025-04-23,HV,grass,好,1800,612,11,不假外求,14,12,10,85.65,86.69,1.14,24.43,0.03,111.12,1.17,10 11 10 10 11,皮具大師,同寶寶,凱旋七福,鍾易禮,蔡明紹,5,132,115
2025-05-14,HV,grass,好/快,1800,669,06,不假外求,14,12,1,84.68,85.24,-0.31,24.16,-0.24,109.4,-0.55,5 5 6 6 6,竣誠駒,金德義,皮具大師,鍾易禮,蔡明紹,5,128,115
2025-06-04,HV,grass,好,2200,728,11,不假外求,14,12,5,113.03,113.83,0.63,26.1,1.95,139.93,2.58,6 6 7 9 10 11,皮具大師,步風雷,豐盛多彩,鍾易禮,蔡明紹,5,127,115
2025-07-05,ST,grass,好/快,1600,811,05,不假外求,14,12,8,71.48,71.48,-0.12,23.94,0.09,95.42,-0.03,1 1 1 5,佳福駒,駿彩飛馳,無極勇將,班德禮,蔡明紹,5,127,115
2025-09-14,ST,grass,好/快,1400,019,09,不假外求,14,12,11,58.28,58.44,-0.51,23.74,0.39,82.18,-0.12,2 3 3 9,美神來,綫路萬里,威威父子,班德禮,蔡明紹,5,124,115
2025-10-01,ST,grass,好/快,1400,056,02,不假外求,14,12,11,57.92,58.32,-0.63,23.73,0.38,82.05,-0.25,2 3 3 2,荃程路通,不假外求,熊噹噹,班德禮,蔡明紹,5,121,115
2025-10-15,HV,grass,好/快,1650,095,10,不假外求,14,12,3,75.11,75.91,-0.14,25.82,1.57,101.73,1.43,9 9 10 10,無極勇將,魔法速遞,瀧澤飛駒,班德禮,蔡明紹,5,123,115
2025-11-09,ST,grass,好,1600,160,10,不假外求,14,12,8,71.96,72.24,0.64,25.0,1.15,97.24,1.79,1 3 4 10,駿先生,熊噹噹,江南盛,班德禮,蔡明紹,5,121,115
2025-12-20,ST,grass,好,1400,275,10,不假外求,14,12,13,58.23,58.43,-0.52,24.51,1.16,82.94,0.64,1 2 2 10,常常感恩,籐王駒,全神貫注,楊明綸,蔡明紹,5,119,115
2026-01-11,ST,grass,好/快,1200,334,08,不假外求,14,12,4,46.69,47.09,-0.06,23.33,0.93,70.42,0.87,5 7 8,凌風傲雪,盛勢威楓,首駿,楊明綸,蔡明紹,5,117,115
2026-02-08,ST,grass,好,1400,414,13,不假外求,14,12,12,58.61,59.01,0.06,24.99,1.64,84.0,1.7,4 6 5 13,全神貫注,順善寶,旋風傳奇,楊明綸,蔡明紹,5,115,115
