日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-01-21,ST,grass,好,1400,352,03,凱旋幸運,10,9,1,59.51,60.15,1.55,23.09,-0.31,83.24,1.24,10 10 5 3,金匯昇昇,星河小子,凱旋幸運,潘明輝,艾道拿,4,126,135
2024-02-15,HV,grass,好,1650,420,11,凱旋幸運,10,9,11,77.44,78.76,2.91,24.26,0.01,103.02,2.92,11 11 11 11,蟲草之凰,勇晉當銳,富喜來,潘明輝,艾道拿,4,126,135
2024-03-24,ST,grass,好,1400,523,09,凱旋幸運,10,9,6,58.88,59.6,1.0,22.87,-0.53,82.47,0.47,10 9 9 9,獨步天下,綠族威,金勝名駒,潘明輝,艾道拿,4,124,135
2024-04-07,ST,grass,好,1600,567,08,凱旋幸運,10,9,3,72.13,72.53,1.43,24.1,0.3,96.63,1.73,9 8 6 8,加州動員,哈哈大笑,獎星,希威森,艾道拿,4,125,135
2024-06-02,ST,grass,好,1400,716,06,凱旋幸運,10,9,13,58.07,59.15,0.55,23.09,-0.31,82.24,0.24,14 14 13 6,安康萬里,大勢至富,怡昌奇兵,巴度,艾道拿,4,123,135
2024-07-01,ST,grass,好,1400,789,07,凱旋幸運,10,9,3,59.01,59.49,0.89,22.88,-0.52,82.37,0.37,6 6 6 7,聚風雲,博愛先鋒,鴻圖高星,艾道拿,艾道拿,4,121,135
2024-10-20,ST,grass,好/快,1400,113,02,凱旋幸運,10,9,7,58.92,59.44,0.84,22.68,-0.72,82.12,0.12,10 7 7 2,智智多寶,凱旋幸運,極速贏,巴度,艾道拿,4,117,135
2024-11-09,ST,grass,好/快,1400,173,11,凱旋幸運,10,9,6,58.17,58.53,-0.07,24.23,0.83,82.76,0.76,5 6 6 11,龍城強將,保羅傳奇,川河型駒,巴度,艾道拿,4,119,135
2024-12-08,ST,grass,好,1400,241,09,凱旋幸運,10,9,8,59.02,59.74,1.14,23.28,-0.12,83.02,1.02,12 11 12 9,包裝福星,保羅傳奇,安泰,艾兆禮,艾道拿,4,120,135
2025-01-01,ST,grass,好,1600,313,09,凱旋幸運,10,9,4,72.15,72.59,1.49,23.54,-0.26,96.13,1.23,6 6 7 9,保羅傳奇,昭易搵,江南勇士,潘明輝,艾道拿,4,116,135
2025-02-09,ST,grass,好,1400,407,02,凱旋幸運,10,9,1,58.72,59.32,0.37,23.19,-0.16,82.51,0.21,8 9 10 2,精算特殊,凱旋幸運,帝豪歡星,布文,艾道拿,5,134,135
2025-02-23,ST,grass,好,1600,452,07,凱旋幸運,10,9,10,70.75,71.83,0.73,23.08,-0.72,94.91,0.01,13 13 14 7,英駿飛駒,東方飛影,金主,湯普新,艾道拿,4,116,135
2025-03-09,ST,grass,好/快,1600,488,02,凱旋幸運,10,9,7,70.77,71.05,-0.05,23.51,-0.29,94.56,-0.34,5 6 4 2,昭易搵,凱旋幸運,聚風雲,黃寶妮,艾道拿,4,105,135
2025-03-23,ST,grass,好/快,1600,529,09,凱旋幸運,10,9,11,71.27,71.47,0.37,23.91,0.11,95.38,0.48,5 3 2 9,八仟財陞,滿心星,時時稱心,潘明輝,艾道拿,4,116,135
2025-05-04,ST,grass,好/快,1400,647,03,凱旋幸運,10,9,3,57.64,58.52,-0.08,23.09,-0.31,81.61,-0.39,6 5 5 3,一定超,勁沙塵,凱旋幸運,董明朗,艾道拿,4,118,135
2025-05-25,ST,grass,好,1600,702,03,凱旋幸運,10,9,3,70.2,70.84,-0.26,23.64,-0.16,94.48,-0.42,6 6 5 3,英駿飛駒,精算特殊,凱旋幸運,艾兆禮,艾道拿,4,116,135
2025-06-22,ST,grass,好,1600,770,07,凱旋幸運,10,9,3,71.58,71.98,0.88,23.58,-0.22,95.56,0.66,6 6 6 7,英駿飛駒,火焰閃爍,彭玥,黃寶妮,艾道拿,4,105,135
2025-07-13,ST,grass,好/快,1400,828,02,凱旋幸運,10,9,9,58.88,59.04,0.09,23.1,-0.25,82.14,-0.16,4 6 4 2,巧眼光,凱旋幸運,熊噹噹,潘頓,艾道拿,5,133,135
2025-09-14,ST,grass,好/快,1400,020,01,凱旋幸運,10,9,13,57.7,58.02,-0.93,23.38,0.03,81.4,-0.9,5 6 5 1,凱旋幸運,志在福星,銳一,黃寶妮,艾道拿,5,122,135
2025-10-04,ST,grass,好/快,1400,071,02,凱旋幸運,10,9,4,57.86,58.26,-0.34,23.56,0.16,81.82,-0.18,6 6 4 2,準輝煌,凱旋幸運,天天更好,黃寶妮,艾道拿,4,113,135
