日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2025-04-13,ST,grass,好,1000,581,02,不勞而獲,9,8,1,34.03,34.47,-0.83,22.2,1.6,56.67,0.77,6 5 2,渾身解數,不勞而獲,快活精神,周俊樂,周俊樂 (-2),0,124,125
2025-05-04,ST,grass,好/快,1000,639,01,不勞而獲,9,8,1,34.01,34.65,-0.65,22.31,1.71,56.96,1.06,7 6 1,不勞而獲,快活精神,馬達,周俊樂,周俊樂 (-2),0,124,125
2025-05-25,ST,grass,好,1200,697,02,不勞而獲,9,8,7,47.28,47.52,1.57,22.82,0.62,70.34,2.19,3 3 2,光年程祥,不勞而獲,快活精神,周俊樂,周俊樂 (-2),0,131,125
2025-06-14,ST,grass,好,1000,756,05,不勞而獲,9,8,9,33.46,33.78,-1.52,22.57,1.97,56.35,0.45,4 3 5,渾身解數,馬達,過關勇士,周俊樂,周俊樂 (-2),0,131,125
2025-10-04,ST,grass,好/快,1000,072,07,不勞而獲,9,8,6,33.71,34.35,-1.45,22.76,2.11,57.11,0.66,14 13 7,手到齊來,英雄豪傑,年少多好,鍾易禮,周俊樂 (-2),3,113,125
2025-10-26,ST,grass,好/快,1000,131,10,不勞而獲,9,8,13,33.63,34.23,-1.57,22.74,2.09,56.97,0.52,7 10 10,星運傳奇,飛來閃耀,領航君子,田泰安,周俊樂 (-2),3,121,125
2025-11-19,HV,grass,好,1000,193,08,不勞而獲,9,8,4,33.89,34.65,-1.25,23.41,2.11,58.06,0.86,10 10 8,飛龍在天,品德寶寶,天下寵兒,麥道朗,周俊樂 (-2),4,135,125
2025-12-20,ST,grass,好,1200,274,09,不勞而獲,9,8,10,46.69,47.57,0.67,23.45,1.0,71.02,1.67,11 12 9,金多囍,團結勇士,活力拍檔,周俊樂,周俊樂 (-2),4,133,125
2026-01-11,ST,grass,好/快,1200,335,09,不勞而獲,9,8,10,45.74,46.34,-0.56,23.87,1.42,70.21,0.86,5 7 9,勇者為皇,幸運奇兵,奇異歡星,周俊樂,周俊樂 (-2),4,129,125
2026-01-21,ST,dirt,好,1200,369,07,不勞而獲,9,8,9,45.51,46.59,-0.26,22.9,0.8,69.49,0.54,9 10 7,星火燎原,旺旺嘉駒,紅衣醒目,周俊樂,周俊樂 (-2),4,127,125
2026-02-19,ST,grass,好,1200,447,10,不勞而獲,9,8,13,47.23,48.19,1.29,22.98,0.53,71.17,1.82,11 13 10,櫻花酒杯,精英高球,安定神駒,周俊樂,周俊樂 (-2),4,126,125
