日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2025-05-25,ST,grass,好,1200,698,10,後無來者,12,11,12,45.42,46.26,-0.64,24.04,1.59,70.3,0.95,5 8 10,金創福威,白鷺金剛,發光發亮,布文,巴度,4,127,117
2025-06-14,ST,grass,好,1200,758,09,後無來者,12,11,10,46.91,47.83,0.93,22.41,-0.04,70.24,0.89,11 12 9,友瑩亮,飛輪霸,彩虹七色,賀銘年,巴度,4,127,117
2025-06-28,ST,grass,好,1200,792,06,後無來者,12,11,8,46.16,46.96,0.06,23.24,0.79,70.2,0.85,11 12 6,幸運多彩,魅力知福,實力派,蔡明紹,巴度,4,125,117
2025-09-07,ST,grass,好,1200,006,13,後無來者,12,11,2,46.03,47.23,0.33,22.7,0.25,69.93,0.58,10 11 13,辣得準,錶之極光,白鷺金剛,金誠剛,巴度,4,124,117
2025-09-14,ST,grass,好/快,1400,023,03,後無來者,12,11,9,58.0,58.24,-0.36,23.11,-0.29,81.35,-0.65,3 3 3 3,勁沙塵,友瑩仁,後無來者,潘大衛,巴度,4,121,117
2025-10-01,ST,grass,好/快,1400,061,12,後無來者,12,11,4,58.42,58.58,-0.02,24.29,0.89,82.87,0.87,2 3 3 12,白鷺金剛,如蝶翩翩,銀騰,潘大衛,巴度,4,122,117
2025-10-15,HV,grass,好/快,1650,096,10,後無來者,12,11,6,75.4,75.92,0.07,26.05,1.8,101.97,1.87,2 2 4 10,佳福駒,爭金奪冠,建測羣英,潘大衛,巴度,4,120,117
2025-10-30,ST,dirt,好,1200,135,02,後無來者,12,11,12,45.94,47.62,0.77,23.12,1.02,70.74,1.79,12 12 2,火神神樂,後無來者,劍無名,楊明綸,巴度,4,116,117
2025-12-27,ST,dirt,好,1650,299,10,後無來者,12,11,7,76.08,76.76,1.51,23.98,0.18,100.74,1.69,6 6 7 10,巧眼光,川河型駒,精明選擇,楊明綸,巴度,4,119,117
2026-01-04,ST,dirt,好,1200,316,05,後無來者,12,11,6,45.18,45.7,-1.15,23.29,1.19,68.99,0.04,8 5 5,砂漿麒星,顯勝高昇,嘉嘉友福,巴度,巴度,4,118,117
