日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-05-26,ST,grass,好,1200,694,14,環球英雄,11,6,13,46.77,48.09,2.14,23.19,0.99,71.28,3.13,11 12 14,同得威,聖托里尼,東昇鉞,艾兆禮,班德禮,0,121,118
2024-09-22,ST,grass,好,1200,040,07,環球英雄,11,6,9,46.86,47.06,0.16,23.72,1.27,70.78,1.43,5 3 7,錶之宇宙,準輝煌,北地烈馬,董明朗,班德禮,4,126,118
2024-10-09,HV,grass,好,1200,088,08,環球英雄,11,6,3,46.25,47.17,-0.03,23.65,0.95,70.82,0.92,7 7 8,晨曦儷人,皇帝英明,怡昌精神,田泰安,班德禮,4,124,118
2024-10-30,HV,grass,好,1200,141,05,環球英雄,11,6,4,46.52,47.04,-0.16,23.3,0.6,70.34,0.44,6 6 5,添喜運,加州得力,決一劍,巴度,班德禮,4,122,118
2024-12-04,HV,grass,好,1200,236,10,環球英雄,11,6,12,46.93,48.25,1.05,22.8,0.1,71.05,1.15,12 12 10,你知我得,真心傳奇,妙玲瓏,杜苑欣,班德禮,4,122,118
2024-12-22,ST,grass,好,1400,278,04,環球英雄,11,6,7,59.27,59.55,0.95,22.94,-0.46,82.49,0.49,1 3 4 4,嘉應奇兵,準輝煌,至尊高超,貝知仁,班德禮,4,121,118
2025-01-19,ST,grass,好,1400,359,13,環球英雄,11,6,10,57.74,57.74,-0.86,25.4,2.0,83.14,1.14,1 1 1 13,博愛先鋒,神馳,準輝煌,貝知仁,班德禮,4,119,118
2025-02-05,HV,grass,好,1200,402,06,環球英雄,11,6,1,46.27,46.75,-0.45,23.75,1.05,70.5,0.6,6 7 6,運來伍寶,金匯昇昇,加非凡,希威森,班德禮,4,117,118
2025-02-19,HV,grass,好,1200,438,06,環球英雄,11,6,8,46.16,47.04,-0.31,23.2,0.45,70.24,0.14,8 7 6,有你有我,勝神威,夢幻駿駒,霍宏聲,班德禮,5,135,118
2025-03-15,ST,grass,好/快,1200,505,01,環球英雄,11,6,7,46.42,46.42,-0.73,22.88,0.48,69.3,-0.25,1 1 1,環球英雄,夢幻駿駒,伶俐驫駒,霍宏聲,班德禮,5,132,118
2025-04-16,HV,grass,好/快,1200,599,07,環球英雄,11,6,10,46.17,46.93,-0.27,23.56,0.86,70.49,0.59,3 4 7,幸運星球,有鴻利,首駿,巴度,班德禮,4,119,118
2025-05-18,ST,grass,好/快,1400,685,01,環球英雄,11,6,5,59.6,59.6,1.0,22.47,-0.93,82.07,0.07,1 1 1 1,環球英雄,糖不甩,林寶精神,巴度,班德禮,4,119,118
2025-06-14,ST,grass,好,1400,762,02,環球英雄,11,6,14,58.0,58.0,-0.6,23.97,0.57,81.97,-0.03,3 1 1 2,哈羅威,環球英雄,龍城強將,巴度,班德禮,4,125,118
2025-07-13,ST,grass,好/快,1400,833,04,環球英雄,11,6,7,58.71,58.71,0.11,23.37,-0.03,82.08,0.08,1 1 1 4,精算激流,做好自己,銳一,巴度,班德禮,4,127,118
2025-10-08,HV,grass,好/快,1200,082,07,環球英雄,11,6,9,46.93,47.29,0.09,22.91,0.21,70.2,0.3,6 6 7,東來欣賞,星之願,輕功猛男,巴度,班德禮,4,126,118
2025-10-26,ST,grass,好/快,1400,127,07,環球英雄,11,6,14,57.71,57.71,-0.89,23.8,0.4,81.51,-0.49,4 2 2 7,朗日自強,加州星皓,威武年代,巴度,班德禮,4,126,118
2025-11-23,ST,grass,好,1400,200,08,環球英雄,11,6,2,58.08,58.08,-0.52,24.18,0.78,82.26,0.26,1 1 1 8,做好自己,哪吒,嵐臣,巴度,班德禮,4,125,118
2025-12-23,HV,grass,好,1650,286,10,環球英雄,11,6,11,76.01,76.09,0.24,25.05,0.8,101.14,1.04,1 2 2 10,錶之量子,新幹線,多利神駒,杜苑欣,班德禮,4,125,118
2026-01-04,ST,grass,好,1400,318,14,環球英雄,11,6,12,57.48,57.72,-0.88,26.59,3.19,84.31,2.31,2 2 2 14,威武年代,仁仁有餘,超開心,希威森,班德禮,4,122,118
2026-02-22,ST,grass,好,1200,459,04,環球英雄,11,6,1,47.06,47.38,0.48,22.28,-0.17,69.66,0.31,4 3 4,醒目高球,皇者有利,豐功偉績,金誠剛,班德禮,4,119,118
2026-03-08,ST,dirt,好,1200,498,04,環球英雄,11,6,6,45.81,46.41,-0.44,22.75,0.65,69.16,0.21,8 7 4,金玉良言,勇者無敵,常嚐發財,班德禮,班德禮,4,118,118
