日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-01-13,ST,grass,好,1400,337,07,飛雲,12,9,1,59.62,60.06,1.46,23.53,0.13,83.59,1.59,5 6 6 7,風火恆雲,馬梟雄,手錶之星,班德禮,巴度,4,128,117
2024-02-21,HV,grass,好,1200,437,04,飛雲,12,9,10,46.46,47.74,0.54,22.35,-0.35,70.09,0.19,11 11 4,金運來,欣樂人生,俏郎中,班德禮,巴度,4,128,117
2024-03-20,HV,grass,好,1200,516,12,飛雲,12,9,8,47.58,48.06,0.86,23.81,1.11,71.87,1.97,6 5 12,高份數,金莊令,財駿,班德禮,巴度,4,128,117
2024-04-17,HV,grass,好,1200,591,03,飛雲,12,9,12,46.04,47.92,0.72,23.19,0.49,71.11,1.21,12 12 3,財駿,大才,飛雲,布文,巴度,4,126,117
2024-04-24,HV,grass,好,1200,614,02,飛雲,12,9,9,46.12,46.8,-0.4,23.63,0.93,70.43,0.53,7 7 2,多利神駒,飛雲,鑽飾璀璨,布文,巴度,4,126,117
2024-05-15,HV,grass,好,1200,670,07,飛雲,12,9,7,46.19,47.75,0.55,23.55,0.85,71.3,1.4,11 10 7,鑽石寶寶,宇宙動力,五福星,布文,巴度,4,128,117
2024-09-25,HV,grass,好,1200,053,03,飛雲,12,9,8,46.24,46.52,-0.68,23.52,0.82,70.04,0.14,4 4 3,椒椒醒,新幹線,飛雲,布文,巴度,4,126,117
2024-10-16,HV,grass,好/快,1200,106,08,飛雲,12,9,12,45.93,47.05,-0.15,23.25,0.55,70.3,0.4,10 9 8,上校,納百川,金運來,布文,巴度,4,128,117
2024-10-30,HV,grass,好,1200,144,02,飛雲,12,9,3,47.03,47.27,0.07,23.19,0.49,70.46,0.56,3 3 2,凱旋升,飛雲,快樂奇兵,布文,巴度,4,127,117
2024-11-27,HV,grass,好,1200,216,10,飛雲,12,9,9,46.16,47.12,-0.08,23.26,0.56,70.38,0.48,12 12 10,決一劍,至合拍,北地烈馬,布文,巴度,4,129,117
2025-02-09,ST,grass,好,1400,408,10,飛雲,12,9,6,59.67,59.99,1.39,23.16,-0.24,83.15,1.15,2 3 4 10,威武年代,八仟財陞,醒目先駒,黃智弘,巴度,4,123,117
2025-03-05,HV,grass,好,1200,479,07,飛雲,12,9,11,45.97,47.33,0.13,22.84,0.14,70.17,0.27,12 12 7,騰龍四海,電訊驕陽,猛將兄,楊明綸,巴度,4,127,117
2025-03-12,HV,grass,好/快,1200,499,08,飛雲,12,9,6,45.94,46.26,-0.94,23.81,1.11,70.07,0.17,5 5 8,紅愛舍,獵寶勤,城中勇士,艾道拿,巴度,4,125,117
2025-04-09,HV,grass,好/快,1200,573,05,飛雲,12,9,6,45.98,46.62,-0.58,23.32,0.62,69.94,0.04,4 6 5,北地烈馬,跑得好快,嫡愛好,班德禮,巴度,4,124,117
2025-06-25,HV,grass,好/快,1200,780,10,飛雲,12,9,5,46.46,46.74,-0.46,23.35,0.65,70.09,0.19,3 3 10,縱橫天下,中環精英,紅錢到,班德禮,巴度,4,120,117
2025-09-17,HV,grass,好/快,1200,033,06,飛雲,12,9,5,46.12,46.76,-0.44,23.42,0.72,70.18,0.28,6 7 6,長勝金剛,錶之多多,新力,巴度,巴度,4,115,117
2025-10-22,HV,grass,好,1200,115,06,飛雲,12,9,10,45.92,46.04,-1.31,24.59,1.84,70.63,0.53,2 2 6,精英至尊,時間寶,焦點,黃智弘,巴度,5,129,117
2025-10-30,ST,dirt,好,1200,134,04,飛雲,12,9,8,46.05,46.77,-0.23,24.2,1.85,70.97,1.62,6 6 4,大番薯,南區旺,東方寶寶,巴度,巴度,5,131,117
2025-11-26,HV,grass,好/快,1200,208,02,飛雲,12,9,7,46.52,47.0,-0.35,23.19,0.44,70.19,0.09,7 6 2,有盈勇士,飛雲,快馬加鞭,巴度,巴度,5,133,117
2025-12-07,ST,dirt,好,1200,236,01,飛雲,12,9,7,45.55,46.19,-0.81,23.09,0.74,69.28,-0.07,8 8 1,飛雲,多彩多姿,謙謙君子,黃智弘,巴度,5,127,117
2025-12-23,HV,grass,好,1200,290,10,飛雲,12,9,3,46.49,46.69,-0.51,24.38,1.68,71.07,1.17,4 2 10,佳運發,駿馬之寶,運來伍寶,潘大衛,巴度,4,119,117
2026-01-21,ST,dirt,好,1200,369,06,飛雲,12,9,10,45.51,46.83,-0.02,22.53,0.43,69.36,0.41,12 12 6,星火燎原,旺旺嘉駒,紅衣醒目,巴度,巴度,4,117,117
2026-02-08,ST,dirt,好,1200,415,09,飛雲,12,9,1,46.21,46.61,-0.24,23.0,0.9,69.61,0.66,6 6 9,勁勇皇駒,馬錢子,金多囍,巴度,巴度,4,117,117
