日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2023-12-23,ST,grass,好,1400,271,06,加州動員,2,2,11,60.18,61.1,2.5,23.2,-0.2,84.3,2.3,12 13 10 6,定數,非凡達,金獅勝將,鍾易禮,艾道拿,4,124,131
2024-01-07,ST,grass,好,1400,317,03,加州動員,2,2,7,59.07,60.07,1.47,22.52,-0.88,82.59,0.59,8 9 9 3,紫荊綻放,大數據,加州動員,鍾易禮,艾道拿,4,122,131
2024-01-21,ST,grass,好,1400,352,04,加州動員,2,2,7,59.51,60.47,1.87,22.78,-0.62,83.25,1.25,11 11 11 4,金匯昇昇,星河小子,凱旋幸運,鍾易禮,艾道拿,4,122,131
2024-02-04,ST,grass,好,1400,391,04,加州動員,2,2,11,59.49,60.29,1.69,22.89,-0.51,83.18,1.18,11 10 10 4,勝利神駒,機緣醉夢,仁心星,田泰安,艾道拿,4,125,131
2024-02-18,ST,dirt,好,1650,431,06,加州動員,2,2,8,75.21,75.65,0.4,23.92,0.12,99.57,0.52,2 3 4 6,縱橫大進,皇者烽火,滿冠熊,鍾易禮,艾道拿,4,119,131
2024-03-03,ST,grass,好,1600,468,04,加州動員,2,2,3,71.08,71.88,0.78,23.38,-0.42,95.26,0.36,10 11 10 4,十二神將,今朝更好,佳福駒,鍾易禮,艾道拿,4,117,131
2024-03-24,ST,grass,好/快,1600,525,01,加州動員,2,2,3,70.98,71.22,0.12,23.06,-0.74,94.28,-0.62,3 2 2 1,加州動員,鹿鼎記,富喜來,艾道拿,艾道拿,4,121,131
2024-04-07,ST,grass,好,1600,567,01,加州動員,2,2,7,72.13,72.37,1.27,23.67,-0.13,96.04,1.14,2 3 3 1,加州動員,哈哈大笑,獎星,艾道拿,艾道拿,4,128,131
2024-05-26,ST,grass,好,1600,701,04,加州動員,2,2,12,71.9,71.9,0.8,23.5,-0.3,95.4,0.5,2 1 1 4,光明傳承,精英雄心,富喜來,艾道拿,艾道拿,4,134,131
2024-06-08,ST,grass,好,1600,740,11,加州動員,2,2,7,70.48,70.96,-0.14,25.81,2.01,96.77,1.87,1 2 2 11,艾莉奧,勝意,精算特殊,艾道拿,艾道拿,4,135,131
2024-10-13,ST,grass,好/快,1600,098,03,加州動員,2,2,13,70.47,70.83,-0.27,23.71,-0.09,94.54,-0.36,6 6 3 3,共享富裕,金獅勝將,加州動員,艾道拿,艾道拿,4,134,131
2024-11-03,ST,grass,好/快,1600,149,01,加州動員,2,2,12,71.18,71.18,0.08,23.3,-0.5,94.48,-0.42,3 2 2 1,加州動員,連連歡呼,神駒馬靈,艾道拿,艾道拿,4,135,131
2024-11-17,ST,grass,好,2000,187,07,加州動員,2,2,11,97.99,98.63,0.28,23.31,-0.24,121.94,0.04,6 5 5 9 7,愛心神駒,共享富裕,金陽飛駒,蔡明紹,艾道拿,3,120,131
2024-12-08,ST,grass,好,1800,245,01,加州動員,2,2,12,83.79,83.95,0.45,23.52,-0.48,107.47,-0.03,3 2 2 2 1,加州動員,和平波,愛心神駒,艾道拿,艾道拿,3,124,131
2025-01-08,HV,grass,好,1800,336,02,加州動員,2,2,10,85.67,85.75,0.75,23.9,-0.55,109.65,0.2,4 2 2 2 2,勁速威龍,加州動員,錶之量子,艾道拿,艾道拿,3,128,131
2025-02-09,ST,grass,好,1800,415,01,加州動員,2,2,10,82.45,82.69,-0.81,24.12,0.12,106.81,-0.69,2 2 2 2 1,加州動員,和平波,包裝明駒,艾道拿,艾道拿,3,129,131
2025-04-20,ST,grass,好/快,1800,606,01,加州動員,2,2,5,83.25,83.69,-0.26,22.15,-1.2,105.84,-1.46,4 4 4 5 1,加州動員,遙遙領先,和平波,巴度,艾道拿,2,116,131
2025-05-14,HV,grass,好/快,1650,672,01,加州動員,2,2,2,75.26,75.62,0.12,23.24,-0.56,98.86,-0.44,3 3 4 1,加州動員,太陽勇士,常拼常勇,巴度,艾道拿,2,122,131
2025-05-31,ST,dirt,好,1650,726,11,加州動員,2,2,8,75.1,75.82,0.47,24.27,1.22,100.09,1.69,5 4 6 11,精英雄心,太陽勇士,電訊巴打,巴度,艾道拿,2,130,131
2025-06-22,ST,grass,好,1800,774,07,加州動員,2,2,11,84.39,84.47,0.87,23.03,-0.47,107.5,0.4,2 2 2 2 7,美麗同享,百賀飛駒,有目共賞,巴度,艾道拿,0,115,131
2025-09-17,HV,grass,好/快,1650,036,06,加州動員,2,2,2,74.83,75.31,-0.19,23.7,-0.1,99.01,-0.29,4 5 6 6,平凡騎士,安遇,太陽勇士,巴度,艾道拿,2,133,131
2025-10-15,HV,grass,好/快,1800,101,02,加州動員,2,2,1,84.17,84.45,-0.5,23.53,-0.67,107.98,-1.17,4 3 3 4 2,勁速威龍,加州動員,安遇,巴度,艾道拿,2,130,131
2026-02-25,HV,grass,好,1800,468,05,加州動員,2,2,7,83.78,84.66,-0.29,24.19,-0.01,108.85,-0.3,6 7 7 7 5,太陽勇士,大浪圖田,仁心星,艾道拿,艾道拿,2,135,131
