日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-02-12,ST,grass,好,1600,415,07,太陽勇士,3,3,6,70.8,71.2,0.3,23.83,0.03,95.03,0.33,6 6 5 7,加州偟者,魅力知遇,發財大師,田泰安,布文,3,116,131
2024-02-25,ST,grass,好,1600,453,05,太陽勇士,3,3,12,70.62,70.82,-0.08,23.94,0.14,94.76,0.06,2 2 2 5,陽明天空,話你知,銀騰,田泰安,布文,3,122,131
2024-03-10,ST,grass,好/黏,1600,493,07,太陽勇士,3,3,14,71.97,72.13,1.23,24.95,1.15,97.08,2.38,3 4 3 7,手到再來,明亮天下,時時稱心,梁家俊,布文,3,126,131
2024-09-15,ST,grass,好/快,1400,028,09,太陽勇士,3,3,3,58.3,58.5,-0.0,23.35,0.2,81.85,0.2,6 3 3 9,陽光勇士,將義,勁進駒,梁家俊,布文,3,119,131
2024-10-16,HV,grass,好/快,1650,109,06,太陽勇士,3,3,3,74.54,74.62,-1.03,24.47,0.22,99.09,-0.81,2 2 2 6,銀進,本領非凡,爭金奪冠,希威森,布文,3,120,131
2024-10-30,HV,grass,好,1650,145,02,太陽勇士,3,3,1,75.75,76.07,0.42,23.71,-0.54,99.78,-0.12,4 3 3 2,大千眼界,太陽勇士,勁好運,潘明輝,布文,3,117,131
2024-11-20,HV,grass,好/黏,1650,199,07,太陽勇士,3,3,9,75.61,75.61,-0.04,24.61,0.36,100.22,0.32,2 2 1 7,開心勇駒,勁好運,浪漫老撾,潘明輝,布文,3,119,131
2024-12-04,HV,grass,好,1650,237,01,太陽勇士,3,3,3,76.98,77.22,1.57,23.29,-0.96,100.51,0.61,3 3 4 1,太陽勇士,豐盛,唯美主義,杜苑欣,布文,3,120,131
2024-12-26,HV,grass,好,1650,296,03,太陽勇士,3,3,6,76.1,76.14,0.49,23.52,-0.73,99.66,-0.24,2 2 2 3,浪漫老撾,時時稱心,太陽勇士,布文,布文,3,129,131
2025-01-15,HV,grass,好,1650,354,02,太陽勇士,3,3,2,75.87,76.03,0.38,23.54,-0.71,99.57,-0.33,5 6 4 2,時時精準,太陽勇士,時時稱心,梁家俊,布文,3,125,131
2025-02-05,HV,grass,好,1650,405,01,太陽勇士,3,3,5,76.7,76.7,1.05,23.32,-0.93,100.02,0.12,1 1 1 1,太陽勇士,時時精準,大學生,潘頓,布文,3,127,131
2025-02-19,HV,grass,好,1650,446,03,太陽勇士,3,3,6,75.63,76.27,0.62,23.61,-0.64,99.88,-0.02,7 8 9 3,博望坡,勁好運,太陽勇士,田泰安,布文,3,135,131
2025-02-26,HV,grass,好,1650,459,01,太陽勇士,3,3,1,75.67,75.87,0.22,23.21,-1.04,99.08,-0.82,2 3 3 1,太陽勇士,浪漫老撾,中華英雄,莫雅,布文,3,129,131
2025-04-27,ST,grass,好,1400,623,03,太陽勇士,3,3,10,58.69,58.73,0.38,22.82,-0.28,81.55,0.1,3 2 2 3,笑傲江湖,但求開心,太陽勇士,艾兆禮,布文,2,118,131
2025-05-14,HV,grass,好/快,1650,672,02,太陽勇士,3,3,7,75.26,75.34,-0.16,23.59,-0.21,98.93,-0.37,2 2 2 2,加州動員,太陽勇士,常拼常勇,潘頓,布文,2,122,131
2025-05-31,ST,dirt,好,1650,726,02,太陽勇士,3,3,11,75.1,75.46,0.11,23.71,0.66,99.17,0.77,2 3 3 2,精英雄心,太陽勇士,電訊巴打,潘頓,布文,2,124,131
2025-06-11,HV,grass,好/快,1650,752,03,太陽勇士,3,3,1,74.84,75.12,-0.38,23.44,-0.36,98.56,-0.74,3 3 4 3,康樂高球,遙遙領先,太陽勇士,潘頓,布文,2,127,131
2025-07-01,ST,grass,好,1400,802,08,太陽勇士,3,3,2,57.62,57.98,-0.37,23.84,0.74,81.82,0.37,3 5 6 8,光年魅力,米奇,得道猴王,艾兆禮,布文,2,126,131
2025-07-13,ST,grass,好/快,1600,835,09,太陽勇士,3,3,1,70.17,70.17,-0.73,23.76,0.61,93.93,-0.12,1 1 1 9,有目共賞,越駿歡欣,美麗同享,湯普新,布文,1,115,131
2025-09-17,HV,grass,好/快,1650,036,03,太陽勇士,3,3,10,74.83,74.83,-0.67,23.9,0.1,98.73,-0.57,3 2 1 3,平凡騎士,安遇,太陽勇士,潘頓,布文,2,129,131
2025-10-04,ST,dirt,封,1650,073,04,太陽勇士,3,3,11,74.12,74.32,-1.03,24.82,1.77,99.14,0.74,2 2 2 4,昇瀧駒,精英雄心,智跑得,潘頓,布文,2,128,131
2025-11-12,HV,grass,好/快,1650,178,03,太陽勇士,3,3,8,74.48,74.96,-0.54,23.93,0.13,98.89,-0.41,4 5 5 3,大浪圖田,仁心星,太陽勇士,潘頓,布文,2,128,131
2025-11-30,ST,grass,好,1600,223,02,太陽勇士,3,3,13,70.66,70.78,-0.02,23.28,-0.17,94.06,-0.19,3 3 3 2,康樂高球,太陽勇士,遙遙領先,艾兆禮,布文,2,121,131
2025-12-23,HV,grass,好,1650,292,04,太陽勇士,3,3,3,75.53,75.61,0.11,23.58,-0.22,99.19,-0.11,4 4 3 4,喜蓮勇感,鈦易搵,大浪圖田,艾兆禮,布文,2,126,131
2026-01-04,ST,grass,好,1600,320,02,太陽勇士,3,3,1,70.74,70.78,-0.02,23.45,0.0,94.23,-0.02,2 2 2 2,睿盛人生,太陽勇士,喜尊龍,布文,布文,2,129,131
2026-01-21,ST,dirt,好,1650,368,05,太陽勇士,3,3,4,75.5,75.62,0.27,23.13,0.08,98.75,0.35,2 2 2 5,新意馬,華麗再勝,精英雄心,潘頓,布文,2,127,131
2026-02-04,HV,grass,好/快,1650,407,02,太陽勇士,3,3,7,74.72,74.96,-0.54,22.88,-0.92,97.84,-1.46,3 4 3 2,非惟僥倖,太陽勇士,大浪圖田,紀仁安,布文,2,121,131
2026-02-19,ST,grass,好,1600,449,06,太陽勇士,3,3,2,71.38,71.54,0.74,23.0,-0.45,94.54,0.29,4 3 4 6,桃花開,喜尊龍,至尊瑰寶,潘頓,布文,2,125,131
2026-02-25,HV,grass,好,1800,468,01,太陽勇士,3,3,1,83.78,83.78,-1.17,24.3,0.1,108.08,-1.07,1 1 1 1 1,太陽勇士,大浪圖田,仁心星,布文,布文,2,130,131
