日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2023-09-24,ST,grass,好,1400,039,06,安遇,1,10,6,59.52,59.8,1.55,23.79,0.94,83.59,2.49,5 6 4 6,健康愉快,綫路之星,中華盛景,梁家俊,田泰安,0,123,135
2023-10-15,ST,grass,好,1600,088,02,安遇,1,10,4,71.74,71.9,1.25,22.38,-0.87,94.28,0.38,3 3 4 2,加州星球,安遇,永遠美麗,梁家俊,田泰安,0,117,135
2023-11-05,ST,grass,好,1800,144,01,安遇,1,10,6,84.16,84.36,0.76,23.04,-0.46,107.4,0.3,3 4 4 4 1,安遇,龍船狀元,當年情,梁家俊,田泰安,0,128,135
2023-12-10,ST,grass,好,1600,238,08,安遇,1,10,1,71.65,72.05,1.4,22.83,-0.42,94.88,0.98,6 6 7 8,金鎗六十,遨遊氣泡,匯兩川,梁家俊,田泰安,0,126,135
2024-01-10,HV,grass,好,1800,330,08,安遇,1,10,12,84.08,84.68,-0.12,24.31,0.16,108.99,0.04,7 8 8 7 8,越駿歡欣,當年情,喜蓮勇感,梁家俊,田泰安,0,135,135
2024-02-04,ST,grass,好,1800,395,08,安遇,1,10,12,83.52,83.92,0.32,23.97,0.47,107.89,0.79,2 3 5 5 8,觔斗雲,錶之五知,直線力山,梁家俊,田泰安,0,132,135
2024-02-25,ST,grass,好,2000,452,07,安遇,1,10,2,96.95,97.55,0.6,23.65,0.1,121.2,0.7,5 6 7 7 7,浪漫勇士,遨遊氣泡,觔斗雲,田泰安,田泰安,0,126,135
2024-04-07,ST,grass,好,1600,566,13,安遇,1,10,4,70.06,71.02,0.37,25.77,2.52,96.79,2.89,7 6 10 13,美麗同享,永遠美麗,紅運帝王,田泰安,田泰安,0,123,135
2024-06-02,ST,grass,好/快,1600,719,07,安遇,1,10,4,71.64,72.12,1.47,24.03,0.78,96.15,2.25,4 3 6 7,錶之銀河,禪勝輝煌,美麗同享,田泰安,田泰安,0,127,135
2024-10-20,ST,grass,好/快,1200,117,12,安遇,1,10,6,45.21,46.25,0.3,22.54,0.34,68.79,0.64,12 13 12,嘉應高昇,驕陽明駒,加州星球,班德禮,田泰安,0,116,135
2024-11-03,ST,grass,好/快,1800,153,08,安遇,1,10,8,83.21,84.45,0.85,22.52,-0.98,106.97,-0.13,12 12 12 12 8,安騁,當年情,禪勝輝煌,霍宏聲,田泰安,0,121,135
2024-11-17,ST,grass,好,2000,190,05,安遇,1,10,6,95.98,96.5,-0.45,24.01,0.46,120.51,0.01,10 10 10 9 5,浪漫勇士,嘉應傳承,觔斗雲,布文,田泰安,0,123,135
2024-12-08,ST,grass,好,2000,247,11,安遇,1,10,6,97.84,98.2,1.25,24.64,1.09,122.84,2.34,3 3 3 5 11,浪漫勇士,自由島,鍵琴高奏,布文,田泰安,0,126,135
2025-01-08,HV,grass,好,1800,334,04,安遇,1,10,5,85.3,85.94,1.14,23.43,-0.72,109.37,0.42,10 10 10 11 4,喜蓮勇感,越駿歡欣,當年情,田泰安,田泰安,0,127,135
2025-01-31,ST,grass,好,1800,390,04,安遇,1,10,2,83.3,83.74,0.14,23.34,-0.16,107.08,-0.02,4 4 3 4 4,禪勝輝煌,又龍串鳳,安騁,田泰安,田泰安,0,122,135
2025-02-26,HV,grass,好,1650,461,08,安遇,1,10,1,75.91,76.11,0.36,23.54,0.19,99.65,0.55,4 3 3 8,智取神駒,喜蓮勇感,常拼常勇,田泰安,田泰安,1,131,135
2025-03-09,ST,grass,好/快,1800,494,12,安遇,1,10,1,83.87,84.43,0.48,23.69,0.34,108.12,0.82,6 8 7 7 12,有目共賞,但求開心,喜蓮勇感,奧爾民,田泰安,2,133,135
2025-05-31,ST,grass,好,1600,722,08,安遇,1,10,6,71.33,71.97,1.32,22.47,-0.78,94.44,0.54,7 7 8 8,和平波,禪勝輝煌,永遠美麗,田泰安,田泰安,0,115,135
