日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-10-27,HV,grass,好,1000,137,07,樂勝天下,6,1,5,34.13,34.89,-0.76,22.69,1.69,57.58,0.93,9 11 7,馬力,雅典武士,連連幸運,艾兆禮,潘頓,3,120,127
2024-11-17,ST,grass,好,1200,192,02,樂勝天下,6,1,1,45.76,46.04,-0.61,22.87,0.52,68.91,-0.09,4 3 2,競駿先鋒,樂勝天下,健康快車,梁家俊,潘頓,3,118,127
2024-12-08,ST,grass,好,1200,242,08,樂勝天下,6,1,13,45.57,45.81,-0.84,23.69,1.34,69.5,0.5,2 2 8,開心寶寶,皇者有利,競駿先鋒,梁家俊,潘頓,3,121,127
2024-12-22,ST,grass,好,1200,284,05,樂勝天下,6,1,7,47.13,47.69,1.04,21.96,-0.39,69.65,0.65,9 10 5,開心寶寶,健康快車,正氣青驅,梁家俊,潘頓,3,120,127
2025-01-19,ST,grass,好/快,1200,366,04,樂勝天下,6,1,13,47.15,47.83,1.18,22.07,-0.28,69.9,0.9,11 11 4,還看今朝,愛馬善,英勇快車,梁家俊,潘頓,3,120,127
2025-02-23,ST,grass,好,1400,454,03,樂勝天下,6,1,2,57.83,58.15,-0.35,22.93,-0.22,81.08,-0.57,6 5 5 3,至尊高超,穿甲戰鷹,樂勝天下,艾兆禮,潘頓,3,119,127
2025-03-15,ST,grass,好/黏,1400,513,09,樂勝天下,6,1,5,58.57,58.85,0.35,24.24,1.09,83.09,1.44,4 5 4 9,至尊高超,光年八十,瑪瑙,艾兆禮,潘頓,3,121,127
2025-04-02,HV,grass,好/快,1200,561,03,樂勝天下,6,1,1,46.55,46.83,-0.22,22.57,0.02,69.4,-0.2,3 3 3,鈦易搵,天足貓,樂勝天下,梁家俊,潘頓,3,121,127
2025-04-30,HV,grass,好/快,1200,638,02,樂勝天下,6,1,11,46.13,46.77,-0.28,22.71,0.16,69.48,-0.12,9 7 2,鈦易搵,樂勝天下,金牌活力,梁家俊,潘頓,3,120,127
2025-05-21,HV,grass,好/快,1200,694,03,樂勝天下,6,1,5,46.21,46.85,-0.2,22.86,0.31,69.71,0.11,6 6 3,人和家興,安康萬里,樂勝天下,梁家俊,潘頓,3,122,127
2025-06-14,ST,grass,好,1400,766,02,樂勝天下,6,1,13,58.69,59.01,0.51,22.66,-0.49,81.67,0.02,4 4 3 2,錶之星河,樂勝天下,勇冠群英,梁家俊,潘頓,3,121,127
2025-07-05,ST,grass,好/快,1400,818,10,樂勝天下,6,1,13,57.92,58.24,-0.26,24.05,0.9,82.29,0.64,3 4 3 10,同樣美麗,錶之星河,定數,梁家俊,潘頓,3,125,127
2025-09-21,ST,grass,軟,1200,042,04,樂勝天下,6,1,6,45.98,46.7,0.05,23.45,1.1,70.15,1.15,6 6 4,信心星,手到齊來,天福,潘明輝,潘頓,3,125,127
2025-10-08,HV,grass,好/快,1200,084,03,樂勝天下,6,1,7,46.03,46.39,-0.66,22.93,0.38,69.32,-0.28,4 5 3,家樂龍駒,天外迎天,樂勝天下,潘明輝,潘頓,3,118,127
2025-11-05,HV,grass,好/快,1650,159,06,樂勝天下,6,1,3,75.0,75.4,-0.25,23.88,-0.37,99.28,-0.62,3 3 3 6,開心三寶,銀亮奔騰,有財有勢,杜苑欣,潘頓,3,119,127
2025-11-30,ST,dirt,好,1200,222,01,樂勝天下,6,1,10,45.04,45.64,-0.86,22.51,0.46,68.15,-0.4,6 6 1,樂勝天下,錶之極光,時尚風趣,杜苑欣,潘頓,3,120,127
2026-01-04,ST,dirt,好,1200,322,01,樂勝天下,6,1,3,45.55,45.67,-0.83,22.2,0.15,67.87,-0.68,2 2 1,樂勝天下,駿步騰飛,熾烈神駒,潘頓,潘頓,3,123,127
2026-02-08,ST,dirt,好,1200,422,05,樂勝天下,6,1,8,44.64,45.72,-0.78,22.69,0.64,68.41,-0.14,9 12 5,錶之極光,穿甲戰鷹,時時歡欣,潘頓,潘頓,3,131,127
