日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-03-20,HV,grass,好,1000,514,09,辣得金,5,6,4,33.64,34.16,-1.74,23.94,2.64,58.1,0.9,4 4 9,顏色王子,胡椒軍曹,賢心星,潘頓,布文,4,128,132
2024-04-03,ST,dirt,好,1200,553,09,辣得金,5,6,10,45.98,46.7,-0.15,23.47,1.37,70.17,1.22,8 6 9,德心知遇,勝利神駒,九秒九,鍾易禮,布文,4,124,132
2024-04-20,ST,dirt,好,1200,603,11,辣得金,5,6,8,45.52,46.48,-0.37,24.55,2.45,71.03,2.08,11 10 11,八心之威,火神神樂,大眾勝利,梁家俊,布文,4,125,132
2024-07-04,HV,grass,好,1000,795,12,辣得金,5,6,7,33.58,34.34,-1.56,24.17,2.87,58.51,1.31,6 7 12,鴻圖新星,極光彗星,顏色王子,潘明輝,布文,4,122,132
2024-09-22,ST,grass,好,1000,041,13,辣得金,5,6,8,33.62,34.22,-1.68,25.01,4.26,59.23,2.58,5 5 13,不可擋,英勇快車,駿先生,何澤堯,布文,4,120,132
2024-10-06,ST,grass,好/快,1000,078,02,辣得金,5,6,3,34.73,34.73,-1.17,22.59,1.84,57.32,0.67,5 2 2,八仟財陞,辣得金,精彩勇士,黃寶妮,布文,4,109,132
2024-10-20,ST,grass,好/快,1200,114,03,辣得金,5,6,7,45.98,45.98,-0.92,23.16,0.71,69.14,-0.21,1 1 3,英勇快車,非凡達,辣得金,潘明輝,布文,4,117,132
2024-11-03,ST,grass,好/快,1200,148,08,辣得金,5,6,6,45.76,45.76,-1.14,24.17,1.72,69.93,0.58,1 1 8,增強,包裝福星,好精神,艾兆禮,布文,4,120,132
2024-11-17,ST,grass,好,1200,182,01,辣得金,5,6,2,45.77,45.77,-1.13,23.26,0.81,69.03,-0.32,1 1 1,辣得金,自己話事,勤德俱備,黃寶妮,布文,4,112,132
2024-11-20,HV,grass,好/黏,1200,197,03,辣得金,5,6,3,46.32,46.32,-0.88,23.78,1.08,70.1,0.2,1 1 3,勇霸龍,綠族威,辣得金,黃智弘,布文,4,120,132
2024-12-04,HV,grass,好,1000,234,11,辣得金,5,6,11,33.8,33.96,-1.94,23.95,2.65,57.91,0.71,3 2 11,胡椒軍曹,精益大師,勝萬金,川田將雅,布文,4,126,132
2024-12-22,ST,grass,好,1200,279,12,辣得金,5,6,2,45.46,45.46,-1.44,24.65,2.2,70.11,0.76,1 1 12,非凡達,衝上雲霄,高感,黃寶妮,布文,4,115,132
2025-01-01,ST,grass,好,1200,307,07,辣得金,5,6,7,45.6,45.6,-1.3,25.23,2.78,70.83,1.48,1 1 7,中環精英,喆喆友福,同喜,黃智弘,布文,4,117,132
2025-03-05,HV,grass,好,1200,480,11,辣得金,5,6,11,46.16,46.52,-0.68,24.31,1.61,70.83,0.93,5 5 11,金匯昇昇,砂漿金剛,競駿天下,蔡明紹,布文,4,124,132
2025-03-19,HV,grass,好/快,1000,520,01,辣得金,5,6,2,33.74,34.02,-1.88,22.77,1.47,56.79,-0.41,5 3 1,辣得金,勝萬金,鄉村樂韻,賀銘年,布文,4,119,132
2025-04-09,HV,grass,好/快,1200,573,04,辣得金,5,6,3,45.98,46.26,-0.94,23.62,0.92,69.88,-0.02,2 3 4,北地烈馬,跑得好快,嫡愛好,賀銘年,布文,4,127,132
2025-04-30,HV,grass,好/快,1200,633,05,辣得金,5,6,8,46.05,46.33,-0.87,23.66,0.96,69.99,0.09,2 3 5,廚神,幸運旅程,獵寶勤,賀銘年,布文,4,125,132
2025-05-21,HV,grass,好/快,1000,692,03,辣得金,5,6,4,33.9,34.58,-1.32,22.91,1.61,57.49,0.29,8 9 3,精益大師,萬眾開心,辣得金,賀銘年,布文,4,127,132
2025-06-11,HV,grass,好/快,1000,748,06,辣得金,5,6,11,33.98,34.18,-1.72,23.4,2.1,57.58,0.38,3 2 6,燭光晚餐,瑤瑤日上,快樂寶寶,賀銘年,布文,4,125,132
2025-09-17,HV,grass,好/快,1200,034,07,辣得金,5,6,4,46.23,46.23,-0.97,24.05,1.35,70.28,0.38,1 1 7,蓮冠皇,至合拍,翼羽陽明,蔡明紹,布文,4,126,132
2025-10-12,ST,dirt,濕慢,1200,087,09,辣得金,5,6,12,45.75,45.75,-1.1,25.26,3.16,71.01,2.06,1 1 9,日日獎,喜行,贏得爽,梁家俊,布文,4,128,132
2025-11-02,HV,grass,好/快,1000,144,08,辣得金,5,6,7,33.94,34.14,-1.76,23.41,2.11,57.55,0.35,2 2 8,瑤瑤日上,添開心,飛龍在天,梁家俊,布文,4,121,132
2025-11-26,HV,grass,好/快,1200,211,11,辣得金,5,6,11,46.36,46.36,-0.84,24.63,1.93,70.99,1.09,1 1 11,廚神,勇威神駒,飛騰騅,梁家俊,布文,4,119,132
2025-12-20,ST,grass,好,1000,276,09,辣得金,5,6,9,33.7,33.7,-2.2,24.05,3.3,57.75,1.1,1 1 9,興馳千里,辣得快,運籌帷幄,梁家俊,布文,4,119,132
2026-01-28,HV,grass,好,1000,385,04,辣得金,5,6,3,33.98,33.98,-1.97,23.22,1.82,57.2,-0.15,1 1 4,亮寶,謙謙君子,鼓浪高升,梁家俊,布文,5,135,132
2026-02-11,HV,grass,好/快,1000,426,05,辣得金,5,6,3,34.16,34.36,-1.59,23.08,1.68,57.44,0.09,4 3 5,銀亮濠俠,太行美景,謙謙君子,梁家俊,布文,5,134,132
