日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-11-17,ST,grass,好,1200,184,04,鼓浪高升,3,3,5,46.14,46.98,0.08,22.53,0.08,69.51,0.16,10 9 4,喵喵怪,多彩多姿,大利好運,田泰安,周俊樂 (-2),4,128,133
2024-12-08,ST,grass,好,1400,241,12,鼓浪高升,3,3,12,59.02,59.7,1.1,23.73,0.33,83.43,1.43,11 12 11 12,包裝福星,保羅傳奇,安泰,田泰安,周俊樂 (-2),4,129,133
2025-01-01,ST,grass,好,1200,309,04,鼓浪高升,3,3,1,46.59,46.59,-0.31,23.43,0.98,70.02,0.67,3 1 4,膨才,旺旺快駒,金創福威,潘頓,周俊樂 (-2),4,123,133
2025-01-31,ST,grass,好,1200,388,07,鼓浪高升,3,3,11,46.1,47.02,0.12,23.21,0.76,70.23,0.88,12 12 7,馬鳳凰,挺秀騰飛,前衛火影,巴米高,周俊樂 (-2),4,127,133
2025-03-02,ST,grass,好,1200,469,03,鼓浪高升,3,3,9,46.75,47.23,0.33,21.95,-0.5,69.18,-0.17,6 5 3,極速贏,天下寵兒,鼓浪高升,莫雷拉,周俊樂 (-2),4,124,133
2025-03-23,ST,grass,好/快,1400,526,12,鼓浪高升,3,3,1,57.91,58.43,-0.17,24.24,0.84,82.67,0.67,8 6 6 12,深心星,哈羅威,泰泰精神,莫雷拉,周俊樂 (-2),4,124,133
2025-04-13,ST,grass,好,1000,582,03,鼓浪高升,3,3,11,33.98,34.46,-1.44,22.4,1.65,56.86,0.21,10 10 3,勝萬金,展雄威,鼓浪高升,艾兆禮,周俊樂 (-2),4,123,133
2025-05-10,ST,grass,好,1000,660,09,鼓浪高升,3,3,8,33.65,34.49,-1.41,23.01,2.26,57.5,0.85,4 8 9,穿雲達月,展雄威,拉合爾,艾兆禮,周俊樂 (-2),4,124,133
2025-05-18,ST,grass,好/快,1000,682,11,鼓浪高升,3,3,11,33.66,34.5,-1.4,22.04,1.29,56.54,-0.11,10 14 11,舞林寶典,中環精英,英雄豪邁,艾兆禮,周俊樂 (-2),4,123,133
2025-10-22,HV,grass,好,1200,116,09,鼓浪高升,3,3,6,46.36,47.48,0.28,23.14,0.44,70.62,0.72,11 12 9,譽友駿駒,怡昌精神,領航財子,巴度,周俊樂 (-2),4,119,133
2025-11-26,HV,grass,好/快,1650,214,12,鼓浪高升,3,3,12,77.34,78.46,2.61,23.6,-0.65,102.06,1.96,12 12 12 12,凱明神駒,康昌之星,瑞祺威楓,巴度,周俊樂 (-2),4,117,133
2025-12-03,HV,grass,好,1000,227,04,鼓浪高升,3,3,4,34.03,34.95,-1.0,22.29,0.89,57.24,-0.11,11 11 4,友得盈,賢心星,有心意,霍宏聲,周俊樂 (-2),5,135,133
2025-12-17,HV,grass,好,1000,265,02,鼓浪高升,3,3,6,34.06,34.74,-1.21,22.64,1.24,57.38,0.03,11 9 2,銀亮濠俠,鼓浪高升,東方魅影,霍宏聲,周俊樂 (-2),5,135,133
2026-01-28,HV,grass,好,1000,385,03,鼓浪高升,3,3,1,33.98,34.62,-1.33,22.51,1.11,57.13,-0.22,7 6 3,亮寶,謙謙君子,鼓浪高升,霍宏聲,周俊樂 (-2),5,135,133
2026-02-11,HV,grass,好/快,1000,426,06,鼓浪高升,3,3,11,34.16,35.2,-0.75,22.34,0.94,57.54,0.19,10 12 6,銀亮濠俠,太行美景,謙謙君子,霍宏聲,周俊樂 (-2),5,135,133
