日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2023-11-19,ST,grass,好/快,1200,185,02,星運少爵,2,1,6,45.93,46.85,0.2,22.09,-0.26,68.94,-0.06,10 11 2,錶之銀河,星運少爵,爵登,何澤堯,奧爾民,3,124,129
2023-12-10,ST,grass,好,1200,240,02,星運少爵,2,1,10,45.81,46.69,0.04,22.83,0.48,69.52,0.52,12 11 2,錶之銀河,星運少爵,美麗第一,何澤堯,奧爾民,3,127,129
2023-12-23,ST,grass,好,1400,278,03,星運少爵,2,1,11,59.17,60.13,1.63,22.75,-0.4,82.88,1.23,11 12 12 3,風繼續吹,同樣美麗,星運少爵,何澤堯,奧爾民,3,123,129
2024-01-07,ST,grass,好,1400,323,04,星運少爵,2,1,10,57.99,58.47,-0.03,23.64,0.49,82.11,0.46,7 7 7 4,馬林,巴閉哥,銀騰,巴度,奧爾民,3,124,129
2024-01-21,ST,grass,好,1400,360,02,星運少爵,2,1,1,58.59,58.87,0.37,23.39,0.24,82.26,0.61,7 6 6 2,風雲武士,星運少爵,銀騰,布文,奧爾民,3,128,129
2024-06-08,ST,grass,好,1400,741,05,星運少爵,2,1,1,57.89,58.57,0.07,23.38,0.23,81.95,0.3,7 8 8 5,美麗邂逅,風繼續吹,潮州精神,布文,奧爾民,3,124,129
2024-07-01,ST,grass,好,1600,792,12,星運少爵,2,1,5,71.92,72.6,1.7,23.13,-0.67,95.73,1.03,5 6 7 12,晴王,和平波,光明傳承,布文,奧爾民,3,127,129
2024-07-14,ST,grass,好,1600,830,03,星運少爵,2,1,4,71.22,71.86,0.96,23.19,-0.61,95.05,0.35,11 12 12 3,競駿飛翔,好勁力,星運少爵,何澤堯,奧爾民,3,123,129
2024-09-15,ST,grass,好/快,1400,028,07,星運少爵,2,1,4,58.3,58.98,0.48,22.71,-0.44,81.69,0.04,9 9 11 7,陽光勇士,將義,勁進駒,何澤堯,奧爾民,3,120,129
2024-10-01,ST,grass,好/快,1400,074,04,星運少爵,2,1,9,58.46,59.14,0.64,23.01,-0.14,82.15,0.5,9 11 11 4,金勝名駒,壯志凌雲,魯班精神,霍宏聲,奧爾民,3,121,129
2024-10-16,HV,grass,好/快,1650,109,11,星運少爵,2,1,11,74.54,75.74,0.09,23.65,-0.6,99.39,-0.51,10 11 11 11,銀進,本領非凡,爭金奪冠,霍宏聲,奧爾民,3,122,129
2024-11-03,ST,grass,好/快,1400,156,04,星運少爵,2,1,8,58.02,58.58,0.08,23.54,0.39,82.12,0.47,8 6 7 4,遙遙領先,穿甲戰鷹,同樣美麗,黃智弘,奧爾民,3,113,129
2024-11-24,ST,grass,好/快,1400,209,07,星運少爵,2,1,11,57.65,58.45,-0.05,23.42,0.27,81.87,0.22,14 12 10 7,川河帥駒,本領輝煌,嘉應巨昇,希威森,奧爾民,3,117,129
2024-12-15,ST,grass,好,1400,264,02,星運少爵,2,1,2,59.25,59.57,0.97,22.73,-0.67,82.3,0.3,7 6 4 2,帥帥友福,星運少爵,極速贏,黃智弘,奧爾民,4,127,129
2025-02-16,ST,grass,好/快,1200,429,05,星運少爵,2,1,10,45.85,47.05,0.15,22.5,0.05,69.55,0.2,12 12 5,時時歡欣,英雄戰歌,騰龍四海,黃智弘,奧爾民,4,128,129
2025-03-02,ST,grass,好,1400,470,08,星運少爵,2,1,9,58.89,59.73,1.13,22.99,-0.41,82.72,0.72,10 11 11 8,幸運芙蓉,開心五月,精益大師,黃智弘,奧爾民,4,128,129
2025-03-23,ST,grass,好/快,1400,524,05,星運少爵,2,1,7,58.2,59.0,0.4,22.79,-0.61,81.79,-0.21,10 10 10 5,綠野飛馳,小皇爺,火焰閃爍,莫雷拉,奧爾民,4,132,129
2025-04-02,HV,grass,好/快,1650,558,09,星運少爵,2,1,8,75.43,75.63,-0.22,24.77,0.52,100.4,0.3,3 3 3 9,醒目先駒,神駒馬靈,奮鬥輝煌,艾道拿,奧爾民,4,130,129
2025-07-13,ST,grass,好/快,1400,833,05,星運少爵,2,1,10,58.71,59.55,0.95,22.54,-0.86,82.09,0.09,12 12 10 5,精算激流,做好自己,銳一,奧爾民,奧爾民,4,129,129
2025-09-07,ST,grass,好,1400,005,01,星運少爵,2,1,8,57.26,58.26,-0.34,23.14,-0.26,81.4,-0.6,9 11 11 1,星運少爵,旋風傳奇,做好自己,何澤堯,奧爾民,4,123,129
